vendor,Current,1-30,31-60,61-90,Over 90,total
Barrel & Stave Cooperage,9918.62,10631.99,2237.84,0.00,7420.00,30208.45
Brightline Pest Control,0.00,0.00,0.00,447.54,0.00,447.54
Cascade Glass Packaging,8146.60,2981.58,4570.00,0.00,0.00,15698.18
Cedar Ridge Electric,0.00,0.00,400.82,0.00,1079.27,1480.09
Hopkins Family Pears,0.00,2747.17,1890.00,0.00,0.00,4637.17
Label Lab Printing,2312.45,622.11,1492.23,0.00,1865.40,6292.19
Northline Freight,-385.00,0.00,2755.98,0.00,0.00,2370.98
Orchard Valley Fruit Co.,0.00,16461.69,7430.55,0.00,0.00,23892.24
Pacific Corrugated Box,5916.59,0.00,0.00,5680.67,0.00,11597.26
Summit Gas & Welding Supply,313.09,310.37,0.00,613.45,0.00,1236.91
TOTAL,26222.35,33754.91,20777.42,6741.66,10364.67,97861.01
