txn_ref,account,date,description,amount,balance
8056020,4417,2026-07-01,SQUARE INC DEPOSIT 070126,3162.48,28540.17
9577766,4417,2026-07-02,POS PURCHASE COSTCO WHSE #0891,-389.09,28151.08
6088743,4417,2026-07-06,SQUARE INC DEPOSIT 070626,3572.88,31723.96
4664860,4417,2026-07-07,ACH DEBIT PACIFIC GREEN COFFEE IMP,-2200.00,29523.96
5728454,4417,2026-07-10,ACH DEBIT GUSTO PAYROLL NET PAY,-6306.97,23216.99
5202798,4417,2026-07-13,SQUARE INC DEPOSIT 071326,4572.46,27789.45
3465603,4417,2026-07-15,TRANSFER TO SAVINGS XX2290,-2500.00,25289.45
2656973,4417,2026-07-17,ACH DEBIT CASCADE POWER UTIL,-393.27,24896.18
6539790,4417,2026-07-20,SQUARE INC DEPOSIT 072026,3895.70,28791.88
6935633,4417,2026-07-24,ACH DEBIT GUSTO PAYROLL NET PAY,-5779.44,23012.44
4430567,4417,2026-07-27,SQUARE INC DEPOSIT 072726,3763.22,26775.66
9746862,4417,2026-07-28,POS PURCHASE RESTAURANT DEPOT 114,-621.80,26153.86
1235580,4417,2026-07-31,ACCOUNT SERVICE CHARGE,-12.00,26141.86
7691148,4417,2026-07-31,WIRE OUT HARBOR TRUST ACCOUNT CLOSE,-26141.86,0.00
3182127436,8823,2026-08-03,INCOMING WIRE CASCADE CREDIT UNION,26141.86,26141.86
3144712641,8823,2026-08-03,SQUARE INC DEPOSIT 080326,3390.26,29532.12
1003,8823,2026-08-04,CHECK 1003,-2025.00,27507.12
3125644590,8823,2026-08-05,POS PURCHASE RESTAURANT DEPOT 114,-920.96,26586.16
3132026487,8823,2026-08-07,WIRE OUT PACIFIC GREEN COFFEE IMPORTS,-4450.00,22136.16
3112242798,8823,2026-08-10,SQUARE INC DEPOSIT 081026,3128.71,25264.87
1004,8823,2026-08-11,CHECK 1004,-500.00,24764.87
3165670960,8823,2026-08-12,TRANSFER FROM SAVINGS XX2290,4000.00,28764.87
3140459503,8823,2026-08-13,ACH DEBIT CASCADE POWER UTIL,-479.23,28285.64
3173476275,8823,2026-08-14,ACH DEBIT GUSTO PAYROLL PPD ID 4410092113 NET PAY 081426,-5799.30,22486.34
3180958204,8823,2026-08-17,SQUARE INC DEPOSIT 081726,3875.57,26361.91
1005,8823,2026-08-18,CHECK 1005,-765.00,25596.91
3112298651,8823,2026-08-20,ACH DEBIT HARTFORD MUTUAL INS PREM,-717.33,24879.58
3142553307,8823,2026-08-24,SQUARE INC DEPOSIT 082426,3921.04,28800.62
3124678442,8823,2026-08-26,POS PURCHASE COSTCO WHSE #0891,-341.67,28458.95
3104425482,8823,2026-08-28,ACH DEBIT GUSTO PAYROLL PPD ID 4410092113 NET PAY 082826,-6135.33,22323.62
3163958907,8823,2026-08-31,SQUARE INC DEPOSIT 083126,3110.54,25434.16
3120072305,8823,2026-08-31,MONTHLY MAINTENANCE FEE,-15.00,25419.16
S-0015,2290,2026-07-15,TRANSFER FROM CHECKING XX4417,2500.00,21193.52
S-0016,2290,2026-07-31,INTEREST PAID,15.01,21208.53
S-0017,2290,2026-08-12,TRANSFER TO CHECKING XX8823,-4000.00,17208.53
S-0018,2290,2026-08-31,INTEREST PAID,12.19,17220.72
