case_id,disputed_amount,status,evidence_due,net_loss
DP-7734100,241.85,won,2026-06-26,0.00
DP-7734137,142.82,lost,2026-07-02,162.82
DP-7734174,197.77,lost,2026-07-08,217.77
DP-7734211,46.99,lost,2026-07-09,66.99
DP-7734248,128.59,won,2026-07-17,0.00
DP-7734285,216.34,won,2026-07-24,0.00
DP-7734322,51.83,won,2026-07-29,0.00
DP-7734359,50.28,open,2026-07-30,70.28
DP-7734396,194.21,lost,2026-08-05,214.21
DP-7734433,117.49,open,2026-08-14,137.49
DP-7734470,58.34,open,2026-08-19,78.34
DP-7734507,58.25,open,2026-08-20,78.25
DP-7734544,106.85,lost,2026-08-21,126.85
DP-7734581,62.21,open,2026-08-26,82.21
DP-7734618,111.87,open,2026-09-02,131.87
DP-7734655,108.20,open,2026-09-09,128.20
DP-7734692,147.57,open,2026-09-11,167.57
DP-7734729,225.46,open,2026-09-11,245.46
DP-7734766,101.04,open,2026-09-18,121.04
