rma,customer,restocking_fee,credit_amount,applied,unapplied
RMA-2609-102,Hound Hollow Grooming,69.66,606.69,606.69,0.00
RMA-2609-110,Mudroom Dog Wash,30.48,1028.50,1028.50,0.00
RMA-2609-113,Mountain Mutt Outfitters,55.96,1738.31,1738.31,0.00
RMA-2609-122,Tailwind Pet Market,33.66,190.74,0.00,190.74
RMA-2609-130,Bayside Bark & Bath,0.00,135.48,135.48,0.00
RMA-2609-137,The Feed Bin,0.00,1189.50,1189.50,0.00
RMA-2609-156,The Feed Bin,62.41,1024.89,438.99,585.90
RMA-2609-166,Whisker Lane Pets,24.95,141.37,141.37,0.00
RMA-2609-167,Kitty Corner Pet Shop,0.00,181.83,181.83,0.00
RMA-2609-190,Fin & Feather Aquatics,12.29,69.65,69.65,0.00
