month,opening,invoiced,refunded,recognized,closing
2026-01,17370.00,2988.00,0.00,1896.00,18462.00
2026-02,18462.00,26964.00,0.00,3395.00,42031.00
2026-03,42031.00,10788.00,0.00,5042.00,47777.00
2026-04,47777.00,11964.00,0.00,5541.00,54200.00
2026-05,54200.00,0.00,0.00,6039.00,48161.00
2026-06,48161.00,13776.00,0.00,6938.00,54999.00
2026-07,54999.00,16776.00,0.00,8086.00,63689.00
2026-08,63689.00,2800.00,0.00,8585.00,57904.00
2026-09,57904.00,0.00,7245.00,7487.00,43172.00
2026-10,43172.00,0.00,0.00,7237.00,35935.00
2026-11,35935.00,17988.00,0.00,8736.00,45187.00
2026-12,45187.00,2988.00,0.00,7338.00,40837.00
