site,month,kwh,note
Hawthorn Court,2026-01,15765.8,
Hawthorn Court,2026-02,13244.9,
Hawthorn Court,2026-03,13190.6,
Hawthorn Court,2026-04,11651.5,
Hawthorn Court,2026-05,12239.5,
Hawthorn Court,2026-06,13464.2,
Mill Street Lofts,2026-01,11603.1,
Mill Street Lofts,2026-02,9801.9,
Mill Street Lofts,2026-03,9491.6,
Mill Street Lofts,2026-04,8508.5,
Mill Street Lofts,2026-05,9298.7,
Mill Street Lofts,2026-06,10288.4,
Union Square Retail,2026-01,26435.5,
Union Square Retail,2026-02,22101.2,
Union Square Retail,2026-03,22485.3,
Union Square Retail,2026-04,18972.3,
Union Square Retail,2026-05,20656.3,
Union Square Retail,2026-06,22986.4,
Riverside Business Park,2026-01,28429.4,
Riverside Business Park,2026-02,24410.6,
Riverside Business Park,2026-03,23943.4,
Riverside Business Park,2026-04,21277.3,
Riverside Business Park,2026-05,22759.0,
Riverside Business Park,2026-06,25047.4,
Depot Lane Storage,2026-01,5644.5,
Depot Lane Storage,2026-02,4753.7,
Depot Lane Storage,2026-03,4622.6,
Depot Lane Storage,2026-04,4166.5,
Depot Lane Storage,2026-05,4385.6,
Depot Lane Storage,2026-06,,no read covering this month
