sku,month,cogs
DOG-SR25,2026-01,2048.70
DOG-SR25,2026-02,2311.29
DOG-SR25,2026-03,1379.92
DOG-SR25,2026-04,1917.80
DOG-SR25,2026-05,1132.68
DOG-SR25,2026-06,2846.40
CAT-WF12,2026-01,743.73
CAT-WF12,2026-02,674.00
CAT-WF12,2026-03,997.02
CAT-WF12,2026-04,738.15
CAT-WF12,2026-05,796.62
CAT-WF12,2026-06,908.90
LIT-CC35,2026-01,561.03
LIT-CC35,2026-02,569.78
LIT-CC35,2026-03,578.08
LIT-CC35,2026-04,530.51
LIT-CC35,2026-05,485.82
LIT-CC35,2026-06,522.32
HAY-MT05,2026-01,153.80
HAY-MT05,2026-02,170.44
HAY-MT05,2026-03,178.98
HAY-MT05,2026-04,198.88
HAY-MT05,2026-05,302.15
HAY-MT05,2026-06,267.03
TOY-TR-L,2026-01,91.44
TOY-TR-L,2026-02,34.74
TOY-TR-L,2026-03,42.46
TOY-TR-L,2026-04,81.52
TOY-TR-L,2026-05,94.22
TOY-TR-L,2026-06,78.66
OIL-SO16,2026-01,117.82
OIL-SO16,2026-02,171.90
OIL-SO16,2026-03,186.35
OIL-SO16,2026-04,139.71
OIL-SO16,2026-05,103.44
OIL-SO16,2026-06,119.79
CHW-DC30,2026-01,227.23
CHW-DC30,2026-02,219.50
CHW-DC30,2026-03,237.52
CHW-DC30,2026-04,285.18
CHW-DC30,2026-05,522.72
CHW-DC30,2026-06,292.08
