vehicle,miles,gallons,mpg,fuel_cost,shop_cost,total_cost,cost_per_mile
Van 21,8347,496.32,16.82,1708.06,1373.25,3081.31,0.3692
Van 22,9221,580.95,15.87,1930.21,948.92,2879.13,0.3122
Van 23,7352,491.80,14.95,1690.85,1659.49,3350.34,0.4557
Van 24,5735,443.27,12.94,1494.10,2189.78,3683.88,0.6424
Van 25,8104,541.88,14.96,1886.98,1556.28,3443.26,0.4249
Van 26,11725,795.39,14.74,2790.69,925.42,3716.11,0.3169
Truck 27,6388,598.41,10.67,2427.59,1427.48,3855.07,0.6035
Truck 28,5734,524.24,10.94,2092.70,938.92,3031.62,0.5287
Van 29,8902,659.58,13.50,2252.55,1006.38,3258.93,0.3661
Van 30,3646,212.28,17.18,747.18,274.89,1022.07,0.2803
