vehicle,month,miles,flag
VAN-01,2026-01,1495,
VAN-01,2026-02,1429,
VAN-01,2026-03,1574,
VAN-01,2026-04,1679,
VAN-01,2026-05,1660,
VAN-01,2026-06,1695,
VAN-02,2026-01,1874,
VAN-02,2026-02,1617,
VAN-02,2026-03,1657,
VAN-02,2026-04,1784,
VAN-02,2026-05,1818,
VAN-02,2026-06,1705,
VAN-03,2026-01,2336,
VAN-03,2026-02,1648,
VAN-03,2026-03,1808,
VAN-03,2026-04,1629,
VAN-03,2026-05,2119,
VAN-03,2026-06,1792,
VAN-04,2026-01,1631,
VAN-04,2026-02,1241,
VAN-04,2026-03,1344,
VAN-04,2026-04,,no readings
VAN-04,2026-05,2985,covers 2026-03 to 2026-05
VAN-04,2026-06,1448,
VAN-05,2026-01,1451,
VAN-05,2026-02,1381,
VAN-05,2026-03,1302,
VAN-05,2026-04,1251,
VAN-05,2026-05,1691,
VAN-05,2026-06,1276,
VAN-06,2026-01,1875,
VAN-06,2026-02,1320,
VAN-06,2026-03,1542,cluster replaced
VAN-06,2026-04,1538,
VAN-06,2026-05,1644,
VAN-06,2026-06,1671,
VAN-07,2026-01,1981,
VAN-07,2026-02,1751,
VAN-07,2026-03,1627,
VAN-07,2026-04,1916,
VAN-07,2026-05,1697,
VAN-07,2026-06,1587,
VAN-08,2026-01,2111,
VAN-08,2026-02,1941,
VAN-08,2026-03,1756,
VAN-08,2026-04,1773,
VAN-08,2026-05,1981,
VAN-08,2026-06,1597,
