sku,item,system_qty,counted_qty,variance
NJ-1103,House Blend 12 oz bag,42,0,-42
NJ-1110,Espresso Roast 12 oz bag,-18,0,18
NJ-1123,Ethiopia Yirgacheffe 12 oz bag,-4,1,5
NJ-1151,Espresso Roast 5 lb bag,12,9,-3
NJ-1159,Single-serve pods 10 ct,110,114,4
NJ-1178,Cup lid 12/16 oz sleeve of 100,110,108,-2
NJ-1188,Cold cup 20 oz sleeve of 50,38,37,-1
NJ-1192,Cold cup lid sleeve of 100,40,34,-6
NJ-1200,Paper filter #4 box of 100,117,115,-2
NJ-1206,Paper filter basket box of 250,108,110,2
NJ-1212,Vanilla syrup 750 ml,77,74,-3
NJ-1223,Caramel syrup 750 ml,48,54,6
NJ-1228,Hazelnut syrup 750 ml,92,86,-6
NJ-1237,Oat milk 32 oz carton,104,108,4
NJ-1245,Whole milk 1 gal,24,36,12
NJ-1251,Chocolate sauce 64 oz,65,67,2
NJ-1263,Chai concentrate 32 oz,34,0,-34
NJ-1268,Sugar packets box of 2000,5,3,-2
NJ-1280,Stir sticks box of 1000,40,34,-6
NJ-1282,Napkins case of 3000,3,0,-3
NJ-1294,Bottled water 500 ml,336,333,-3
NJ-1317,Muffin frozen,12,14,2
NJ-1340,Cleaning tablets 100 ct,168,0,-168
NJ-1349,Descaler 1 L,7,11,4
NJ-1357,Gift card blank,27,24,-3
