sku,department,on_hand,units_valued,latest_cost,value
HOU-0261,Houseplants,99,99,23.97,2373.03
HOU-0266,Houseplants,75,75,46.06,3454.50
HOU-0362,Houseplants,102,102,7.92,807.84
HOU-0373,Houseplants,37,37,6.84,253.08
HOU-0483,Houseplants,11,11,13.87,152.57
HOU-0534,Houseplants,65,65,10.67,693.55
HOU-0547,Houseplants,-4,0,50.85,0.00
HOU-0849,Houseplants,89,89,,0.00
PER-0039,Perennials,59,59,3.84,226.56
PER-0271,Perennials,31,31,7.52,233.12
PER-0377,Perennials,20,20,3.37,67.40
PER-0552,Perennials,60,60,4.57,274.20
PER-0647,Perennials,48,48,,0.00
PER-0677,Perennials,73,73,5.52,402.96
PER-0717,Perennials,93,93,3.22,299.46
PER-0767,Perennials,35,35,7.22,252.70
PER-0769,Perennials,98,98,,0.00
PER-0824,Perennials,97,97,10.41,1009.77
PER-0870,Perennials,17,17,4.04,68.68
PER-0871,Perennials,56,56,4.40,246.40
POT-0090,Pots & Planters,80,80,22.11,1768.80
POT-0191,Pots & Planters,88,88,4.80,422.40
POT-0323,Pots & Planters,61,61,65.34,3985.74
POT-0329,Pots & Planters,6,6,16.86,101.16
POT-0334,Pots & Planters,76,76,8.34,633.84
POT-0712,Pots & Planters,51,51,38.27,1951.77
POT-0827,Pots & Planters,94,94,38.84,3650.96
SHR-0011,Shrubs,69,69,19.28,1330.32
SHR-0015,Shrubs,80,80,16.35,1308.00
SHR-0179,Shrubs,88,88,23.58,2075.04
SHR-0180,Shrubs,49,49,9.50,465.50
SHR-0213,Shrubs,46,46,16.21,745.66
SHR-0224,Shrubs,-8,0,21.88,0.00
SHR-0230,Shrubs,42,42,30.04,1261.68
SHR-0306,Shrubs,77,77,21.94,1689.38
SHR-0331,Shrubs,-9,0,23.31,0.00
SHR-0802,Shrubs,43,43,12.41,533.63
SOI-0159,Soil & Mulch,7,7,9.50,66.50
SOI-0266,Soil & Mulch,81,81,3.96,320.76
SOI-0441,Soil & Mulch,63,63,3.41,214.83
SOI-0476,Soil & Mulch,26,26,4.42,114.92
SOI-0676,Soil & Mulch,93,93,5.65,525.45
SOI-0856,Soil & Mulch,-2,0,4.72,0.00
TOL-0119,Tools,19,19,,0.00
TOL-0182,Tools,53,53,17.20,911.60
TOL-0391,Tools,58,58,4.10,237.80
TOL-0433,Tools,79,79,20.78,1641.62
TOL-0454,Tools,66,66,7.53,496.98
TOL-0816,Tools,62,62,25.81,1600.22
TRE-0199,Trees,5,5,81.53,407.65
TRE-0323,Trees,0,0,114.88,0.00
TRE-0333,Trees,11,11,158.83,1747.13
TRE-0373,Trees,4,4,244.19,976.76
TRE-0493,Trees,53,53,44.22,2343.66
TRE-0502,Trees,74,74,,0.00
TRE-0723,Trees,14,14,175.45,2456.30
TRE-0731,Trees,5,5,1281.47,6407.35
TRE-0848,Trees,6,6,203.90,1223.40
