item,quantity,net_sales,food_cost,margin,rank_quantity,rank_margin
Breakfast Sandwich,220,2317.50,811.90,1505.60,3,1
Smashed Avocado Toast,178,1954.00,667.20,1286.80,5,2
Latte,281,1531.91,353.57,1178.34,2,3
Turkey Club,130,1783.00,683.15,1099.85,10,4
Drip Coffee,369,1063.50,166.05,897.45,1,5
Greek Salad,107,1243.00,429.65,813.35,13,6
Cold Brew,198,889.72,156.72,733.00,4,7
Cappuccino,160,781.60,174.20,607.40,7,8
Oatmeal Bowl,103,750.00,164.80,585.20,14,9
Soup of the Day,121,812.00,242.00,570.00,12,10
Chai Tea,127,581.86,114.30,467.56,11,11
Croissant,162,579.35,170.10,409.25,6,12
Blueberry Muffin,145,486.50,123.25,363.25,9,13
Chocolate Chip Cookie,153,409.73,91.80,317.93,8,14
