reference,vendor,gl_account,amount
AP-8356,Arden Printing Co,6310,3245.05
BSL62514,Brightfield Stage Lighting,5120,1719.57
CSP-4666,Cobalt Scenic Paints,5130,676.25
HCPL-30745,Harbor City Power & Light,6110,2302.31
HW-69280,Hollis & Webb LLP,6210,3434.73
KM67640,Keel & Mast Plumbing,6120,995.56
PO-26-0310,Northgate Lumber & Hardware,5130,2764.15
PO-26-0312,Fabric Row Textiles,5130,550.02
PO-26-0315,Cobalt Scenic Paints,5130,781.62
PO-26-0340,Wexford Audit Partners,6210,4389.37
PO-26-0344,Tri-County Waste Services,6110,537.48
RH-93148,Rigging Hands Staffing,5110,6448.22
SAV-73666,Soundcraft AV Rentals,5120,1375.53
