region,month,revenue,rows,note
North,2026-01,100079.97,37,
North,2026-02,111446.50,40,
North,2026-03,,0,"no rows in export (data gap, not zero sales)"
North,2026-04,101653.98,36,
North,2026-05,109897.63,41,
North,2026-06,90464.24,40,
South,2026-01,117198.70,40,
South,2026-02,102379.00,36,
South,2026-03,85533.92,38,
South,2026-04,85025.55,41,
South,2026-05,122846.57,40,
South,2026-06,113686.38,39,
East,2026-01,92024.30,40,
East,2026-02,78579.14,37,
East,2026-03,82404.83,39,
East,2026-04,145027.27,40,
East,2026-05,81507.91,37,
East,2026-06,103824.33,41,
West,2026-01,119179.49,38,
West,2026-02,107703.10,37,
West,2026-03,89412.15,35,
West,2026-04,100366.75,41,
West,2026-05,97205.43,35,
West,2026-06,93838.38,43,
