invoice_id,line_id,amount_applied
INV-2026-0401,BK-63858,7380.43
INV-2026-0402,BK-63855,8154.04
INV-2026-0403,BK-63860,956.56
INV-2026-0404,BK-63852,5899.83
INV-2026-0405,BK-63856,6900.37
INV-2026-0406,BK-63870,1719.97
INV-2026-0408,BK-63918,2326.20
INV-2026-0409,BK-63872,4491.06
INV-2026-0410,BK-63874,7013.57
INV-2026-0411,BK-63861,6661.72
INV-2026-0412,BK-63854,8593.05
INV-2026-0413,BK-63866,483.47
INV-2026-0414,BK-63859,8565.64
INV-2026-0415,BK-63880,5639.08
INV-2026-0416,BK-63873,7608.43
INV-2026-0417,BK-63879,4200.38
INV-2026-0418,BK-63871,1773.79
INV-2026-0419,BK-63862,794.59
INV-2026-0420,BK-63867,6928.59
INV-2026-0421,BK-63881,4474.03
INV-2026-0422,BK-63875,8693.18
INV-2026-0423,BK-63881,8915.34
INV-2026-0424,BK-63889,5990.26
INV-2026-0425,BK-63890,180.67
INV-2026-0426,BK-63902,554.32
INV-2026-0427,BK-63876,3315.58
INV-2026-0428,BK-63878,8239.03
INV-2026-0429,BK-63894,659.62
INV-2026-0431,BK-63895,8094.57
INV-2026-0432,BK-63887,9551.58
INV-2026-0433,BK-63904,4173.62
INV-2026-0434,BK-63896,5457.17
INV-2026-0435,BK-63900,9444.42
INV-2026-0436,BK-63901,9593.86
INV-2026-0438,BK-63884,8236.25
INV-2026-0439,BK-63886,1435.62
INV-2026-0441,BK-63914,9314.65
INV-2026-0446,BK-63888,212.64
INV-2026-0447,BK-63891,317.48
INV-2026-0448,BK-63897,7440.73
INV-2026-0451,BK-63917,6680.83
INV-2026-0452,BK-63910,6068.04
INV-2026-0453,BK-63905,2012.22
INV-2026-0454,BK-63916,6032.42
INV-2026-0455,BK-63903,2089.73
INV-2026-0459,BK-63915,6803.75
INV-2026-0460,BK-63918,1932.97
INV-2026-0466,BK-63913,390.15
