change_id,account_id,effective_date,days,proration
PC-30210,ACC-4100,2026-02-11,18,109.29
PC-30217,ACC-4399,2026-02-12,17,42.50
PC-30224,ACC-4269,2026-02-14,15,42.86
PC-30231,ACC-4113,2026-02-17,12,-42.86
PC-30245,ACC-4165,2026-02-23,6,12.00
PC-30252,ACC-4295,2026-02-26,3,8.57
PC-30259,ACC-4139,2026-03-04,28,63.23
PC-30266,ACC-4230,2026-03-09,23,111.29
PC-30287,ACC-4139,2026-03-19,13,41.93
PC-30294,ACC-4347,2026-03-21,11,-28.39
PC-30301,ACC-4243,2026-03-24,8,-20.64
PC-30308,ACC-4308,2026-03-31,1,2.26
PC-30315,ACC-4126,2026-03-31,1,2.58
PC-30329,ACC-4204,2026-04-14,17,39.67
PC-30336,ACC-4217,2026-04-27,4,-9.33
PC-30343,ACC-4373,2026-04-29,2,4.67
