item_code,description,category,uom,unit_price
FT-1042,"Adapter 1-1/4"" MIP x C",Fittings,EA,7.7
FT-1415,"Elbow 45 1-1/4"" PVC sch 40",Fittings,EA,23.14
FT-1367,"Coupling 1-1/4"" PEX crimp",Fittings,EA,15.15
FT-1143,"Tee 1-1/2"" copper",Fittings,EA,7.97
FT-1819,"Elbow 90 1-1/2"" copper",Fittings,EA,7.22
FT-1830,"Elbow 45 2"" PVC sch 40",Fittings,EA,15.59
FT-1102,"Tee 1"" copper",Fittings,EA,18.64
FT-1484,"Union 1"" brass",Fittings,EA,14.59
FT-1656,"Coupling 1-1/2"" PEX crimp",Fittings,EA,23.01
FT-1267,"Adapter 1-1/2"" MIP x C",Fittings,EA,2.74
FT-1096,"Elbow 45 1/2"" PVC sch 40",Fittings,EA,18.4
FT-1845,"Adapter 2"" MIP x C",Fittings,EA,20.94
FT-1627,"Union 1/2"" brass",Fittings,EA,13.01
VL-2582,"Ball valve 3/4"" brass FIP",Valves,EA,39.75
VL-2502,"Check valve 1-1/2"" spring",Valves,EA,24.34
VL-2724,"Stop valve 1"" quarter turn",Valves,EA,26.49
VL-2295,"Stop valve 1-1/2"" quarter turn",Valves,EA,70.32
VL-2325,"Stop valve 1-1/4"" quarter turn",Valves,EA,88.21
VL-2194,"Check valve 3/4"" spring",Valves,EA,121.86
VL-2981,"Ball valve 1-1/2"" brass FIP",Valves,EA,45.01
VL-2696,"Ball valve 1/2"" brass FIP",Valves,EA,113.12
VL-2863,"Gate valve 1/2"" bronze",Valves,EA,20.39
PT-3401,"Black iron 2"" x 21 ft",Pipe & Tube,LEN,86.21
PT-3535,"Black iron 1"" x 21 ft",Pipe & Tube,LEN,83.71
PT-3282,"CPVC 1-1/2"" x 10 ft",Pipe & Tube,LEN,49.33
PT-3333,"PEX-A 1/2"" x 100 ft coil",Pipe & Tube,LEN,64.78
PT-3249,"PEX-A 3/4"" x 100 ft coil",Pipe & Tube,LEN,7.96
PT-3814,"PVC sch 40 1"" x 10 ft",Pipe & Tube,LEN,22.65
PT-3104,"CPVC 1/2"" x 10 ft",Pipe & Tube,LEN,81.0
PT-3837,"PVC sch 40 1/2"" x 10 ft",Pipe & Tube,LEN,61.06
PT-3697,"Black iron 1-1/2"" x 21 ft",Pipe & Tube,LEN,13.47
FX-4651,Lavatory faucet 4 in centerset,Fixtures,EA,361.34
FX-4123,Laundry faucet 2 handle,Fixtures,EA,560.32
FX-4854,Water heater 50 gal electric,Fixtures,EA,1276.33
FX-4621,Kitchen faucet single handle,Fixtures,EA,111.29
FX-4736,Toilet 1.28 gpf elongated,Fixtures,EA,235.53
FX-4745,Shower valve trim kit,Fixtures,EA,1057.91
FX-4436,Utility sink 24 in,Fixtures,EA,988.07
FX-4072,Water heater 40 gal gas,Fixtures,EA,353.31
FX-4185,Garbage disposal 1/2 HP,Fixtures,EA,181.63
FX-4041,Sump pump 1/3 HP,Fixtures,EA,809.73
TL-5205,Deburring tool,Tools,EA,84.45
TL-5859,Inspection mirror telescoping,Tools,EA,235.97
TL-5715,Basin wrench 11 in,Tools,EA,179.47
TL-5808,Tubing cutter 1/8-1-1/8 in,Tools,EA,180.35
TL-5543,Drain auger 25 ft,Tools,EA,75.67
TL-5665,Torch kit MAPP,Tools,EA,115.45
TL-5344,PEX crimp tool 1/2-3/4 in,Tools,EA,195.8
TL-5781,Pipe wrench 14 in,Tools,EA,248.47
CS-6625,Pipe dope 8 oz,Consumables,EA,12.72
CS-6733,PVC cement 8 oz,Consumables,EA,13.52
CS-6849,Emery cloth roll 1-1/2 x 10 yd,Consumables,EA,25.6
CS-6609,Solder lead-free 1 lb,Consumables,EA,10.57
CS-6229,Primer purple 8 oz,Consumables,EA,25.13
CS-6066,Nitrile gloves box of 100,Consumables,EA,11.7
CS-6499,Shop towels roll,Consumables,EA,34.74
