code,job,revenue,cost,margin
P-2401,Harborview Lofts,261090.55,197541.23,63549.32
P-2402,Cedar Point Clinic,281769.99,192994.43,88775.56
P-2403,Tamarack Taproom,199990.33,130041.73,69948.60
P-2404,Silverline HQ,120924.50,89007.60,31916.90
P-2405,Quarry Road Nursery,218650.54,239215.01,-20564.47
P-2406,Ellington Bakery,174186.32,109598.04,64588.28
P-2407,Wren & Sparrow Bookshop,228869.02,191771.50,37097.52
P-2408,Northfield Auto Body,141102.97,93066.67,48036.30
P-2409,Umber Ceramics Studio,0.00,46716.33,-46716.33
ALL,All jobs,1626584.22,1289952.54,336631.68
