po_line_ref,customer_id,po_number,po_date,line,part_number,description,quantity,unit_price,line_amount,need_by
PR-24920-1,C-310,PR-24920,2026-09-03,1,IF-FLS-2234,"Step flashing 5x7 aluminum, bundle of 50",150,16.29,2443.50,2026-09-25
PR-24920-2,C-310,PR-24920,2026-09-03,2,IF-FLS-2210,"Drip edge flashing 10ft 24ga, painted",120,21.46,2575.20,2026-09-25
PR-24920-3,C-310,PR-24920,2026-09-03,3,IF-BRK-1040,"Galvanized L-bracket 4x4x3/16, drilled",210,13.13,2757.30,2026-09-25
PR-24920-4,C-310,PR-24920,2026-09-03,4,IF-BRK-1062,"Galvanized U-bracket 6in, slotted",220,12.10,2662.00,2026-09-25
NAB-0926-1,C-322,NAB-0926,2026-09-07,1,IF-GRD-8015,"Bumper guard, powder coat yellow",19,256.90,4881.10,2026-10-09
NAB-0926-2,C-322,NAB-0926,2026-09-07,2,IF-RCK-9019,Dock plate lip bracket,2,65.11,130.22,2026-10-09
NAB-0926-3,C-322,NAB-0926,2026-09-07,3,IF-GRD-8008,Condenser guard cage 36in,4,243.75,975.00,2026-10-09
NAB-0926-4,C-322,NAB-0926,2026-09-07,4,IF-PLT-4105,Base plate 8x8x1/2 with 4 holes,14,49.62,694.68,2026-10-09
4500018241-10,C-341,4500018241,2026-09-07,10,IF-BRK-1040,"Galvanized L-bracket 4x4x3/16, drilled",94,13.13,1234.22,2026-10-05
4500018241-20,C-341,4500018241,2026-09-07,20,IF-BRK-1062,"Galvanized U-bracket 6in, slotted",108,12.10,1306.80,2026-09-28
4500018241-30,C-341,4500018241,2026-09-07,30,IF-PLT-4105,Base plate 8x8x1/2 with 4 holes,104,49.62,5160.48,2026-10-05
4500018241-40,C-341,4500018241,2026-09-07,40,IF-PLT-4121,Gusset plate 6x6x3/8,88,26.56,2337.28,2026-10-12
4500018241-50,C-341,4500018241,2026-09-07,50,IF-SPT-5010,"Pipe support clamp 2in, epoxy coated",84,12.58,1056.72,2026-09-21
4500018241-60,C-341,4500018241,2026-09-07,60,IF-SPT-5024,"Pipe support clamp 4in, epoxy coated",4,14.50,58.00,2026-09-21
4500018241-70,C-341,4500018241,2026-09-07,70,IF-SPT-5040,Trapeze hanger kit 24in,82,45.16,3703.12,2026-09-28
4500018241-80,C-341,4500018241,2026-09-07,80,IF-SPT-5066,"Seismic brace kit, 3/8 rod",66,72.44,4781.04,2026-09-28
4500018241-90,C-341,4500018241,2026-09-07,90,IF-BOX-6003,Service box enclosure 12x12x6,108,93.82,10132.56,2026-09-21
4500018241-100,C-341,4500018241,2026-09-07,100,IF-BOX-6017,Service box enclosure 16x16x8,114,150.70,17179.80,2026-10-19
4500018241-110,C-341,4500018241,2026-09-07,110,IF-SPT-5024,"Pipe support clamp 4in, epoxy coated",34,14.50,493.00,2026-10-19
4500018241-120,C-341,4500018241,2026-09-07,120,IF-SPT-5024,"Pipe support clamp 4in, epoxy coated",94,14.50,1363.00,2026-10-19
4500018241-130,C-341,4500018241,2026-09-07,130,IF-BRK-1062,"Galvanized U-bracket 6in, slotted",28,12.10,338.80,2026-09-21
4500018241-140,C-341,4500018241,2026-09-07,140,IF-BOX-6017,Service box enclosure 16x16x8,32,150.70,4822.40,2026-09-21
4500018241-150,C-341,4500018241,2026-09-07,150,IF-PLT-4121,Gusset plate 6x6x3/8,106,26.56,2815.36,2026-09-21
4500018241-160,C-341,4500018241,2026-09-07,160,IF-PLT-4105,Base plate 8x8x1/2 with 4 holes,106,49.62,5259.72,2026-09-28
4500018241-170,C-341,4500018241,2026-09-07,170,IF-BOX-6003,Service box enclosure 12x12x6,60,93.82,5629.20,2026-10-19
4500018241-180,C-341,4500018241,2026-09-07,180,IF-BRK-1062,"Galvanized U-bracket 6in, slotted",14,12.10,169.40,2026-10-19
4500018241-190,C-341,4500018241,2026-09-07,190,IF-SPT-5024,"Pipe support clamp 4in, epoxy coated",116,14.50,1682.00,2026-09-21
4500018241-200,C-341,4500018241,2026-09-07,200,IF-BOX-6003,Service box enclosure 12x12x6,66,93.82,6192.12,2026-10-12
4500018241-210,C-341,4500018241,2026-09-07,210,IF-BRK-1062,"Galvanized U-bracket 6in, slotted",42,12.10,508.20,2026-09-21
4500018241-220,C-341,4500018241,2026-09-07,220,IF-BOX-6003,Service box enclosure 12x12x6,40,93.82,3752.80,2026-10-05
4500018241-230,C-341,4500018241,2026-09-07,230,IF-BRK-1062,"Galvanized U-bracket 6in, slotted",74,12.10,895.40,2026-09-21
4500018241-240,C-341,4500018241,2026-09-07,240,IF-SPT-5024,"Pipe support clamp 4in, epoxy coated",108,14.50,1566.00,2026-09-21
4500018241-250,C-341,4500018241,2026-09-07,250,IF-BOX-6003,Service box enclosure 12x12x6,30,93.82,2814.60,2026-10-19
4500018241-260,C-341,4500018241,2026-09-07,260,IF-BOX-6017,Service box enclosure 16x16x8,74,150.70,11151.80,2026-09-21
4500018241-270,C-341,4500018241,2026-09-07,270,IF-BOX-6017,Service box enclosure 16x16x8,40,150.70,6028.00,2026-09-28
4500018241-280,C-341,4500018241,2026-09-07,280,IF-SPT-5066,"Seismic brace kit, 3/8 rod",14,72.44,1014.16,2026-09-28
4500018241-290,C-341,4500018241,2026-09-07,290,IF-BOX-6017,Service box enclosure 16x16x8,106,150.70,15974.20,2026-09-21
4500018241-300,C-341,4500018241,2026-09-07,300,IF-SPT-5040,Trapeze hanger kit 24in,44,45.16,1987.04,2026-10-12
4500018241-310,C-341,4500018241,2026-09-07,310,IF-BOX-6017,Service box enclosure 16x16x8,34,150.70,5123.80,2026-09-28
4500018241-320,C-341,4500018241,2026-09-07,320,IF-SPT-5010,"Pipe support clamp 2in, epoxy coated",26,12.58,327.08,2026-09-21
4500018241-330,C-341,4500018241,2026-09-07,330,IF-PLT-4121,Gusset plate 6x6x3/8,108,26.56,2868.48,2026-09-21
4500018241-340,C-341,4500018241,2026-09-07,340,IF-PLT-4105,Base plate 8x8x1/2 with 4 holes,8,49.62,396.96,2026-10-19
4500018241-350,C-341,4500018241,2026-09-07,350,IF-BOX-6017,Service box enclosure 16x16x8,88,150.70,13261.60,2026-10-12
4500018241-360,C-341,4500018241,2026-09-07,360,IF-SPT-5010,"Pipe support clamp 2in, epoxy coated",64,12.58,805.12,2026-10-19
4500018241-370,C-341,4500018241,2026-09-07,370,IF-BRK-1062,"Galvanized U-bracket 6in, slotted",14,12.10,169.40,2026-09-21
4500018241-380,C-341,4500018241,2026-09-07,380,IF-PLT-4105,Base plate 8x8x1/2 with 4 holes,116,49.62,5755.92,2026-10-05
4500018241-390,C-341,4500018241,2026-09-07,390,IF-PLT-4105,Base plate 8x8x1/2 with 4 holes,8,49.62,396.96,2026-09-21
4500018241-400,C-341,4500018241,2026-09-07,400,IF-BRK-1062,"Galvanized U-bracket 6in, slotted",118,12.10,1427.80,2026-09-28
4500018241-410,C-341,4500018241,2026-09-07,410,IF-BOX-6003,Service box enclosure 12x12x6,90,93.82,8443.80,2026-09-21
4500018241-420,C-341,4500018241,2026-09-07,420,IF-SPT-5040,Trapeze hanger kit 24in,110,45.16,4967.60,2026-10-05
4500018241-430,C-341,4500018241,2026-09-07,430,IF-BOX-6003,Service box enclosure 12x12x6,38,93.82,3565.16,2026-10-05
4500018241-440,C-341,4500018241,2026-09-07,440,IF-BOX-6003,Service box enclosure 12x12x6,106,93.82,9944.92,2026-10-12
PH-7627-1,C-356,PH-7627,2026-09-14,1,IF-GRD-8015,"Bumper guard, powder coat yellow",33,256.90,8477.70,2026-10-01
PH-7627-2,C-356,PH-7627,2026-09-14,2,IF-CUR-7101,"Equipment curb 36x36, 14ga",34,304.59,10356.06,2026-10-01
PH-7627-4,C-356,PH-7627,2026-09-14,4,IF-SPT-5024,"Pipe support clamp 4in, epoxy coated",22,14.50,319.00,2026-10-01
SL-PO-3498-1,C-367,SL-PO-3498,2026-09-14,1,IF-RCK-9019,Dock plate lip bracket,24,65.11,1562.64,2026-10-05
SL-PO-3498-2,C-367,SL-PO-3498,2026-09-14,2,IF-GRD-8008,Condenser guard cage 36in,6,243.75,1462.50,2026-10-05
SL-PO-3498-3,C-367,SL-PO-3498,2026-09-14,3,IF-BRK-1062,"Galvanized U-bracket 6in, slotted",30,12.10,363.00,2026-10-05
