refund_id,booking_ref,pms_amount,processor_amount,difference,status
RF-10437,LH-24379,240.00,240.00,0.00,prior month timing
RF-10439,LH-24391,300.00,300.00,0.00,prior month timing
RF-10445,LH-24407,885.00,885.00,0.00,matched
RF-10448,LH-24422,230.00,230.00,0.00,matched
RF-10449,LH-24438,380.00,380.00,0.00,matched
RF-10451,LH-24452,1130.00,1130.00,0.00,matched
RF-10454,LH-24464,380.00,380.00,0.00,matched
RF-10456,LH-24474,290.00,290.00,0.00,matched
RF-10459,LH-24480,605.00,605.00,0.00,matched
RF-10462,LH-24492,280.00,280.00,0.00,matched
RF-10464,LH-24507,210.00,210.00,0.00,matched
RF-10466,LH-24523,1200.00,1200.00,0.00,matched
RF-10468,LH-24526,55.00,55.00,0.00,matched
RF-10469,LH-24530,400.00,400.00,0.00,matched
RF-10470,LH-24526,290.00,290.00,0.00,matched
RF-10473,LH-24534,235.00,0.00,235.00,not in processor
RF-10475,LH-24548,1686.00,1866.00,-180.00,amount differs
RF-10481,LH-24589,400.00,400.00,0.00,timing - settled in September
RF-10482,LH-24605,260.00,260.00,0.00,timing - settled in September
re_oF3LXDvorLOnTnFt3gwSx44W,LH-24557,0.00,110.00,-110.00,not in PMS
