tracking_no,carrier,ship_date,order_no,packages,weight_lb,cost
NL306948140372,Northline,2026-09-08,SB-10501,1,35.60,26.33
NL325658799809,Northline,2026-09-08,SB-10497,1,40.70,30.30
NL709741931457,Northline,2026-09-08,SB-10441,1,23.20,41.58
NL837811162064,Northline,2026-09-08,SB-10475,3,105.00,107.02
AP5809055446,AeroPac,2026-09-09,SB-10550,1,4.63,173.37
AP9687785011,AeroPac,2026-09-09,SB-10623,2,21.61,193.32
AP9852109887,AeroPac,2026-09-09,SB-10656,1,5.07,110.60
94022458754913419025,PostPoint,2026-09-09,SB-10710,1,0.88,15.14
94027911663092514744,PostPoint,2026-09-09,SB-10688,1,1.75,13.99
94029127237070819778,PostPoint,2026-09-09,SB-10665,1,2.00,12.08
94029299399797494277,PostPoint,2026-09-09,SB-10717,1,3.12,11.87
NL244987804856,Northline,2026-09-10,SB-10503,2,62.40,55.43
NL309788010754,Northline,2026-09-10,SB-10543,1,14.70,32.85
NL807210368848,Northline,2026-09-10,SB-10542,1,41.90,27.31
94024216937586819395,PostPoint,2026-09-11,SB-10738,1,3.69,19.39
94026049434795020066,PostPoint,2026-09-11,SB-10762,1,3.50,18.60
94027656466312142990,PostPoint,2026-09-11,SB-10766,1,0.50,10.97
