order_id,zone,billable_weight,shipping_cost
UC-5310,4,12,23.50
UC-5315,5,23,40.96
UC-5316,8,6,25.40
UC-5319,6,2,20.37
UC-5322,5,18,34.56
UC-5326,5,3,20.31
UC-5330,8,8,34.27
UC-5333,2,30,55.83
UC-5335,8,22,56.76
UC-5339,4,24,36.10
UC-5341,4,17,28.75
UC-5345,8,14,41.08
UC-5346,3,10,22.84
UC-5351,4,7,23.20
UC-5354,7,14,37.37
UC-5357,6,30,85.98
UC-5359,8,13,39.12
UC-5361,8,14,46.03
UC-5364,4,8,24.25
UC-5367,2,18,25.34
UC-5370,7,7,30.14
UC-5375,8,13,39.12
UC-5377,3,21,31.75
UC-5379,3,23,33.37
UC-5382,3,24,34.18
UC-5385,8,1,20.55
UC-5390,4,1,11.95
UC-5393,6,16,36.70
UC-5396,8,23,63.67
UC-5397,2,4,16.66
UC-5400,5,2,14.08
UC-5403,5,22,39.68
UC-5407,6,24,48.86
UC-5409,4,22,34.00
UC-5412,6,15,40.13
UC-5415,7,3,23.18
UC-5419,8,1,15.60
UC-5422,7,24,59.72
UC-5426,5,24,42.24
UC-5428,5,3,15.36
UC-5432,5,22,39.68
UC-5433,2,8,19.14
UC-5436,4,21,32.95
UC-5441,4,33,78.50
UC-5442,8,12,37.16
UC-5447,8,22,56.76
UC-5449,6,19,41.26
UC-5453,8,7,32.31
UC-5456,8,16,45.00
UC-5459,5,14,34.39
UC-5461,5,16,36.95
UC-5463,3,10,17.89
UC-5468,8,7,27.36
UC-5469,5,20,37.12
UC-5474,8,22,56.76
UC-5477,7,12,33.89
UC-5478,3,23,33.37
UC-5483,2,20,21.63
UC-5486,6,15,40.13
UC-5487,6,19,46.21
UC-5491,6,1,18.85
UC-5493,2,22,22.87
