vendor,category,spend
Sysco Savannah,Food & Beverage,32649.25
Southern Coffee Roasting Co,Food & Beverage,3327.96
Coastal Linen Service,Linen & Laundry,24285.67
Lowcountry Supply Co,Housekeeping & Amenities,7623.52
Hotel Amenity Group,Housekeeping & Amenities,5997.76
Georgia Power,Utilities,16080.73
City of Savannah Water,Utilities,4417.68
Comcast Business,Utilities,2319.20
Chatham Plumbing & Heating,Repairs & Maintenance,2934.27
Tybee Pest Control,Repairs & Maintenance,1160.00
Booking.com,Booking & Marketing,24765.00
Savannah Magazine,Booking & Marketing,5801.04
Live Oak Grounds Care,Grounds,6351.80
Forsyth Florals,Guest Experience,3815.59
