Record ID,Customer Code,Month,Net Sales
EMB-1880-202603,EMB-1880,2026-03,1463.57
EMB-1880-202604,EMB-1880,2026-04,1152.38
EMB-1880-202605,EMB-1880,2026-05,658.61
EMB-1880-202606,EMB-1880,2026-06,915.06
EMB-1880-202607,EMB-1880,2026-07,404.36
EMB-1896-202511,EMB-1896,2025-11,261.79
EMB-1896-202602,EMB-1896,2026-02,562.70
EMB-1896-202603,EMB-1896,2026-03,670.32
EMB-1896-202604,EMB-1896,2026-04,675.48
EMB-1896-202605,EMB-1896,2026-05,206.33
EMB-1896-202606,EMB-1896,2026-06,404.73
EMB-1896-202607,EMB-1896,2026-07,763.88
EMB-1111-202507,EMB-1111,2025-07,382.72
EMB-1111-202508,EMB-1111,2025-08,217.47
EMB-1111-202509,EMB-1111,2025-09,285.91
EMB-1111-202511,EMB-1111,2025-11,368.15
EMB-1111-202512,EMB-1111,2025-12,160.55
EMB-1111-202601,EMB-1111,2026-01,232.95
EMB-1111-202602,EMB-1111,2026-02,-235.48
EMB-1111-202604,EMB-1111,2026-04,315.95
EMB-1111-202605,EMB-1111,2026-05,384.72
EMB-1111-202606,EMB-1111,2026-06,282.87
EMB-1111-202607,EMB-1111,2026-07,119.42
EMB-1111-202608,EMB-1111,2026-08,167.07
EMB-1583-202509,EMB-1583,2025-09,545.43
EMB-1583-202510,EMB-1583,2025-10,773.40
EMB-1583-202511,EMB-1583,2025-11,807.03
EMB-1583-202512,EMB-1583,2025-12,645.53
EMB-1583-202601,EMB-1583,2026-01,424.34
EMB-1583-202603,EMB-1583,2026-03,371.17
EMB-1583-202605,EMB-1583,2026-05,695.51
EMB-1583-202607,EMB-1583,2026-07,205.68
EMB-1333-202508,EMB-1333,2025-08,657.20
EMB-1333-202509,EMB-1333,2025-09,396.15
EMB-1333-202510,EMB-1333,2025-10,1367.37
EMB-1333-202602,EMB-1333,2026-02,698.37
EMB-1333-202603,EMB-1333,2026-03,1314.32
EMB-1333-202604,EMB-1333,2026-04,898.09
EMB-1333-202605,EMB-1333,2026-05,976.87
EMB-1333-202606,EMB-1333,2026-06,912.96
EMB-1333-202607,EMB-1333,2026-07,1174.59
EMB-1333-202608,EMB-1333,2026-08,1351.43
EMB-1219-202511,EMB-1219,2025-11,576.99
EMB-1219-202512,EMB-1219,2025-12,601.05
EMB-1219-202601,EMB-1219,2026-01,492.96
EMB-1219-202602,EMB-1219,2026-02,1105.28
EMB-1219-202603,EMB-1219,2026-03,1969.20
EMB-1219-202605,EMB-1219,2026-05,636.43
EMB-1219-202607,EMB-1219,2026-07,459.59
EMB-1219-202608,EMB-1219,2026-08,555.57
EMB-1757-202508,EMB-1757,2025-08,797.93
EMB-1757-202510,EMB-1757,2025-10,1709.13
EMB-1757-202511,EMB-1757,2025-11,1741.00
EMB-1757-202512,EMB-1757,2025-12,1651.90
EMB-1757-202602,EMB-1757,2026-02,1669.07
EMB-1757-202603,EMB-1757,2026-03,1817.23
EMB-1757-202605,EMB-1757,2026-05,1361.32
EMB-1757-202606,EMB-1757,2026-06,1585.84
EMB-1757-202607,EMB-1757,2026-07,584.38
EMB-1757-202608,EMB-1757,2026-08,1662.30
EMB-1635-202602,EMB-1635,2026-02,1344.46
EMB-1635-202603,EMB-1635,2026-03,1633.51
EMB-1635-202604,EMB-1635,2026-04,1546.93
EMB-1635-202605,EMB-1635,2026-05,809.71
EMB-1635-202606,EMB-1635,2026-06,821.64
EMB-1635-202607,EMB-1635,2026-07,1006.70
EMB-1543-202508,EMB-1543,2025-08,321.75
EMB-1543-202509,EMB-1543,2025-09,600.70
EMB-1543-202510,EMB-1543,2025-10,777.53
EMB-1543-202511,EMB-1543,2025-11,428.00
EMB-1543-202603,EMB-1543,2026-03,491.09
EMB-1543-202604,EMB-1543,2026-04,416.60
EMB-1543-202605,EMB-1543,2026-05,327.32
EMB-1543-202606,EMB-1543,2026-06,392.85
EMB-1543-202607,EMB-1543,2026-07,475.11
EMB-1543-202608,EMB-1543,2026-08,218.39
EMB-1575-202507,EMB-1575,2025-07,232.78
EMB-1575-202508,EMB-1575,2025-08,132.10
EMB-1575-202510,EMB-1575,2025-10,262.01
EMB-1575-202511,EMB-1575,2025-11,174.29
