Date,Payee,Memo,Outflow,Inflow
09/01/2026,Etsy,000046991,,937.13
09/01/2026,Millbrook Properties,000092013,1850.00,
09/02/2026,Amazon,000027162,76.47,
09/02/2026,Etsy,000028297,30.39,
09/04/2026,Etsy,000013714,,1335.23
09/03/2026,Amazon Prime,000049549,14.99,
09/03/2026,Amazon,000019835,33.69,
09/04/2026,Transfer : Studio Savings,000078150,750.00,
09/05/2026,Adobe,159445455,59.99,
09/04/2026,Talas,000083671,177.97,
09/06/2026,UPS,000068318,39.21,
09/03/2026,Office Depot,000042265,29.35,
09/04/2026,Talas,535517698,223.23,
09/07/2026,PayPal,000026475,49.28,
09/08/2026,Etsy,000028675,,823.64
09/08/2026,Shopify,000092483,39.00,
09/09/2026,Transfer : Studio Savings,965402528,,1200.00
09/10/2026,Hollander's,000042182,139.78,
09/10/2026,PG&E,000019446,96.85,
09/09/2026,Amazon,647122558,27.22,
09/08/2026,Amazon,904548527,,79.99
09/11/2026,Square,000038585,,796.21
09/11/2026,Hollander's,866669116,153.58,
09/08/2026,Amazon,000011094,63.43,
09/08/2026,USPS,000005166,19.11,
09/10/2026,The UPS Store,000017104,23.85,
09/12/2026,Blue Bottle Coffee,000002003,16.26,
