SKU,Product,Size,Retail Price,Wholesale Price,Stock
HRB-ROOIBO-2OZ,Rooibos Vanilla,2 oz tin,$12.00,$7.20,41
HRB-HIBISC-2OZ,Hibiscus Berry,2 oz tin,9.50,5.70,108
HRB-CHAMOM-2OZ,Chamomile Blossom,2 oz tin,16.00,9.60,37
GRN-SENCHA-4OZ,Sencha,4 oz pouch,$25.00,$15.00,20
MAT-CERMON-2OZ,Ceremonial Matcha,2 oz tin,10.00,6.00,18
MAT-CERMON-4OZ,Ceremonial Matcha,4 oz pouch,18.00,10.80,76
BLK-DARJ-4OZ,Darjeeling First Flush,4 oz pouch,$17.00,$10.20,121
GRN-DRAGON-4OZ,Dragonwell,4 oz pouch,24.50,14.70,139
GRN-DRAGON-1LB,Dragonwell,1 lb bag,$75.50,$45.30,13
MAT-CERMON-1LB,Ceremonial Matcha,1 lb bag,$148.00,$88.80,35
BLK-YUNNAN-2OZ,Golden Yunnan,2 oz tin,11.00,6.60,132
BLK-DARJ-2OZ,Darjeeling First Flush,2 oz tin,9.50,5.70,100
HRB-PEPMNT-1LB,Peppermint Leaf,1 lb bag,61.50,36.90,33
OOL-DHP-4OZ,Da Hong Pao,4 oz pouch,29.00,17.40,72
GRN-DRAGON-2OZ,Dragonwell,2 oz tin,13.50,8.10,65
BLK-ASSAM-2OZ,Assam Breakfast,2 oz tin,12.00,7.20,146
GRN-GENMAI-4OZ,Genmaicha,4 oz pouch,29.00,17.40,87
WHT-SILVER-4OZ,Silver Needle,4 oz pouch,20.00,12.00,46
OOL-MILK-2OZ ,Milk Oolong,2 oz tin,13.50,8.10,26
OOL-TIEGUA-4OZ,Tieguanyin,4 oz pouch,24.50,14.70,15
GRN-JASMIN-4OZ,Jasmine Pearls,4 oz pouch,21.50,12.90,34
GRN-GENMAI-1LB,Genmaicha,1 lb bag,89.50,53.70,35
PUR-SHOU-1LB,Shou Puerh,1 lb bag,61.50,36.90,17
BLK-YUNNAN-1LB,Golden Yunnan,1 lb bag,61.50,36.90,60
OOL-MILK-1LB,Milk Oolong,1 lb bag,$75.50,$45.30,41
BLK-DARJ-2OZ,Darjeeling First Flush,2 oz tin,9.50,5.70,100
BLK-EARLGR-4OZ,Earl Grey Cream,4 oz pouch,17.00,10.20,94
HRB-HIBISC-1LB,Hibiscus Berry,1 lb bag,53.00,31.80,41
BLK-DARJ-1LB,Darjeeling First Flush,1 lb bag,$53.00,$31.80,25
PUR-SHOU-4OZ,Shou Puerh,4 oz pouch,20.00,12.00,57
HRB-PEPMNT-2OZ,Peppermint Leaf,2 oz tin,11.00,6.60,-2
OOL-TIEGUA-1LB,Tieguanyin,1 lb bag,$53.00,$31.80,44
GRN-SENCHA-1LB,Sencha,1 lb bag,78.50,47.10,21
WHT-PEONY-1LB,White Peony,1 lb bag,$89.50,$53.70,25
OOL-TIEGUA-2OZ,Tieguanyin,2 oz tin,9.50,5.70,112
GRN-JASMIN-1LB,Jasmine Pearls,1 lb bag,67.00,40.20,44
BLK-EARLGR-1LB,Earl Grey Cream,1 lb bag,$53.00,$31.80,35
HRB-CHAMOM-4OZ,Chamomile Blossom,4 oz pouch,29.00,17.40,87
BLK-ASSAM-4OZ,Assam Breakfast,4 oz pouch,18.00,10.80,40
WHT-PEONY-2OZ,White Peony,2 oz tin,16.00,9.60,33
GRN-GENMAI-2OZ,Genmaicha,2 oz tin,16.00,9.60,113
OOL-DHP-2OZ,Da Hong Pao,2 oz tin,$16.00,$9.60,95
GRN-JASMIN-2OZ,Jasmine Pearls,2 oz tin,12.00,7.20,45
BLK-CHAI-2OZ,Masala Chai,2 oz tin,12.00,7.20,25
OOL-DHP-1LB,Da Hong Pao,1 lb bag,89.50,53.70,51
WHT-SILVER-2OZ,Silver Needle,2 oz tin,$11.00,$6.60,71
PUR-SHOU-2OZ,Shou Puerh,2 oz tin,11.00,6.60,84
HRB-CHAMOM-1LB,Chamomile Blossom,1 lb bag,89.50,53.70,40
OOL-MILK-2OZ,Milk Oolong,2 oz tin,13.50,8.10,26
WHT-SILVER-1LB,Silver Needle,1 lb bag,96.00,57.60,3
HRB-ROOIBO-4OZ,Rooibos Vanilla,4 oz pouch,$21.50,$12.90,150
HRB-PEPMNT-4OZ,Peppermint Leaf,4 oz pouch,20.00,12.00,83
BLK-YUNNAN-4OZ,Golden Yunnan,4 oz pouch,20.00,12.00,123
PUR-SHOU-4OZ,Shou Puerh,4 oz pouch,20.00,12.00,57
OOL-MILK-4OZ,Milk Oolong,4 oz pouch,24.50,14.70,58
HRB-ROOIBO-1LB,Rooibos Vanilla,1 lb bag,21.00,12.50,200
HRB-HIBISC-4OZ,Hibiscus Berry,4 oz pouch,17.00,10.20,91
WHT-PEONY-4OZ,White Peony,4 oz pouch,29.00,17.40,30
BLK-CHAI-1LB,Masala Chai,1 lb bag,$67.00,$40.20,5
HRB-PEPMNT-2OZ,Peppermint Leaf,2 oz tin,11.00,6.60,-2
BLK-CHAI-4OZ,Masala Chai,4 oz pouch,$21.50,$12.90,150
BLK-EARLGR-2OZ,Earl Grey Cream,2 oz tin,9.50,5.70,28
GRN-SENCHA-2OZ,Sencha,2 oz tin,14.00,8.40,117
BLK-ASSAM-1LB,Assam Breakfast,1 lb bag,67.00,40.20,24
