Building,Unit,Beds,Baths,Sq Ft,Market Rent
CEDAR TERRACE,8,2,2,950,"$2,000.00"
CEDAR TERRACE,17,2,2,960,2150.00
CEDAR TERRACE,26,3,2,990,2150.00
Cedar Ter.,2,3,2,1190,2225.00
Cedar Ter.,6,3,2,1240,1750.00
Cedar Ter.,16,2,2,950,1850
Cedar Ter.,19,2,2,1220,2300.00
Cedar Ter.,20,3,2,1070,"$1,900.00"
Cedar Ter.,23,2,1,1090,2275.00
Cedar Terrace,1,2,2,950,1950
Cedar Terrace,3,3,2,1180,2050
Cedar Terrace,4,2,1,1110,"$2,050.00"
Cedar Terrace,5,3,2,950,1875
Cedar Terrace,7,2,2,1030,2300
Cedar Terrace,9,3,2,1030,2300
Cedar Terrace,10,3,2,940,1750.00
Cedar Terrace,11,3,2,1200,"$1,925.00"
Cedar Terrace,12,3,2,1220,2150
Cedar Terrace,13,2,1,1190,2300.00
Cedar Terrace,14,3,2,1240,1900.00
Cedar Terrace,15,2,2,1040,1750.00
Cedar Terrace,18,3,2,1140,2200.00
Cedar Terrace,21,3,2,1140,"$2,200.00"
Cedar Terrace,22,2,1,1010,2200
Cedar Terrace,24,3,2,1200,2150
Cedar Terrace,25,3,2,950,"$1,950.00"
Cedar Terrace,27,3,2,1200,"$2,275.00"
Cedar Terrace,28,2,1,1010,2000.00
ELM COURT,A1,2,2,760,1625.00
ELM COURT,A2,1,1,810,1575
ELM COURT,A3,1,1,820,1550.00
ELM COURT,A4,1,1,610,1475
ELM COURT,A6,1,1,610,"$1,375.00"
ELM COURT,A7,2,2,660,1650
ELM COURT,A8,1,1,850,1625
ELM COURT,A11,2,1,820,1425.00
ELM COURT,B2,2,1,710,"$1,425.00"
ELM COURT,B4,1,1,650,"$1,525.00"
ELM COURT,B6,2,2,740,1800.00
Elm Court,A5,2,1,650,1425
Elm Court,A9,2,2,640,1725
Elm Court,A10,1,1,620,1775
Elm Court,A12,2,2,740,"$1,450.00"
Elm Court,B1,1,1,810,1550.00
Elm Court,B3,2,1,760,1450.00
Elm Court,B5,1,1,660,1475
Elm Court,B7,1,1,650,"$1,775.00"
Elm Court,B8,2,1,780,"$1,550.00"
Elm Court,B9,1,1,780,"$1,800.00"
Elm Court,B10,2,1,770,1575
Elm Court,B11,2,1,620,"$1,525.00"
Elm Court,B12,1,1,630,1725.00
Harbor View,102,1,1,750,2325
Harbor View,103,1,1,850,2050
Harbor View,104,2,2,1020,1700.00
Harbor View,105,1,1,880,1775.00
Harbor View,106,2,1,910,1775.00
Harbor View,107,1,1,670,1725
Harbor View,108,1,1,960,2325
Harbor View,109,1,1,880,2275
Harbor View,110,1,1,820,"$1,800.00"
Harbor View,202,2,2,770,"$1,950.00"
Harbor View,203,2,1,660,"$1,800.00"
Harbor View,204,2,2,670,1950.00
Harbor View,205,1,1,650,"$1,825.00"
Harbor View,206,2,1,710,"$2,125.00"
Harbor View,207,1,1,1010,1800
Harbor View,208,1,1,850,"$1,650.00"
Harbor View,210,1,1,960,1700
Harbor View,301,2,2,980,1800.00
Harbor View,302,1,1,890,"$1,800.00"
Harbor View,303,1,1,1010,1750
Harbor View,304,1,1,1020,2225.00
Harbor View,305,1,1,670,1850.00
Harbor View,306,1,1,810,2225
Harbor View,308,2,1,790,1775.00
Harbor View,309,2,1,970,"$2,100.00"
Harbor View,310,2,2,710,2325.00
Harbor View,401,2,1,770,1950
Harbor View,402,1,1,880,2275.00
Harbor View,403,2,1,640,1975.00
Harbor View,404,1,1,780,2000
Harbor View,405,2,1,840,"$2,300.00"
Harbor View,406,2,1,820,"$1,725.00"
Harbor View,407,1,1,880,2250
Harbor View,408,2,1,950,"$1,925.00"
Harbor View,410,3,2,1480,"$3,150.00"
Harbor View Apts,101,2,2,1030,1925
Harbor View Apts,201,1,1,900,"$1,700.00"
Harbor View Apts,209,1,1,720,2075.00
Harbor View Apts,307,1,1,710,"$2,325.00"
Harbor View Apts,409,1,1,910,2150.00
