Vendor,Trade,Contact,Phone,Email,Insurance Expires,Hourly Rate,W-9 On File
AirRight Services,HVAC,Ronald Gutierrez,+1 (253) 555-2686,dispatch@airrightservices.com,01-Sep-2027,$65.00,Y
All-Trades Maintenance,General; Plumbing,Deborah Reyes,1-253-555-4695,dispatch@alltradesmaint.com,2025-12-26,65/hr,Yes
Apex Plumbing LLC,Plumbing,Omar Johnson,253.555.6285,dispatch@apexplumbingtacoma.com,May 20 2027,140,Y
"Apex Plumbing, LLC",Plumbing,Omar Johnson,+1 (253) 555-6285,dispatch@apexplumbingtacoma.com,5/20/2027,140,Y
Appliance Doctor NW,appliance,Margaret Clark,253-555-2439,office@appliancedoctornw.com,2027-10-07,$125.00,N
Bright Home Cleaning,Cleaning,Michael Gray,1-253-555-9732,office@brighthomecleaning.com,Aug 13 2027,$85.00,Y
Brightline Electric,Electrical,Amanda Rivera,253.555.8054,dispatch@brightlineelectric.com,12-Mar-2027,,Yes
Brush & Roll Painting,Painting,Rahul Brooks,+1 (253) 555-3838,office@brushandroll.com,8/26/2027,65,Y
Cascade Electrical Contractors,Electrical,Leila Jones,+1 253 555 3062,leila@cascadeelectrical.com,2027-07-21,140,Yes
ClearFlow Plumbing,Plumbing,Fatima Scott,+1 (253) 555-4668,fatima@clearflowplumbing.net,2025-10-13,95/hr,N
Clearview Glass,Glass,Daniel Peterson,+1 (253) 555-4461,office@clearviewglasswa.com,Feb 28 2027,85,Y
Colorline Painting,Painting,Kimberly Patel,1-253-555-8747,dispatch@colorlinepainting.com,24-Aug-2027,$65.00,Y
Comfort Air Heating & Cooling,HVAC,Robert Mitchell,1-253-555-6240,dispatch@comfortairhc.com,8/5/2027,125,Yes
Cornerstone Property Services,general,Amara Castillo,2535559765,office@cornerstoneps.com,8/2/2027,,Y
Crestline Drain Co.,Plumbing,Jeffrey Brown,+1 253 555 1772,jeffrey@crestlinedrain.com,2027-09-21,,Y
Critter Gone,Pest Control,Chloe Lewis,1-253-555-9805,dispatch@crittergone.com,24-May-2027,$140.00,Y
Cutting Edge Lawn,Landscaping,Timothy Gonzalez,253-555-7050,office@cuttingedgelawn.com,02-May-2027,$140.00,Y
Evergreen HVAC,HVAC,Kwame Edwards,2535556333,kwame@evergreenhvac.com,3/22/2027,125/hr,N
Evergreen Pest Co.,Pest Control,Thomas Mitchell,(253) 555-2081,office@evergreenpestco.com,6/30/2027,$140.00,Y
Fixit Crew,general,Jacob Rodriguez,253.555.2041,jacob@fixitcrew.com,17-Nov-2027,110/hr,N
FixRite Appliance Repair,Appliance,Nancy Allen,(253) 555-7287,dispatch@fixriteappliance.com,Mar 21 2026,140,Y
Fresh Coat Painters,Painting,Dana Mitchell,1-253-555-1073,dana@freshcoatpainters.com,Dec 8 2027,110,N
Greenleaf Grounds,Landscaping,Michael Walker,+1 253 555 5434,michael@greenleafgrounds.com,2025-11-22,$125.00,Y
Greenway Landscaping,landscaping,Karen King,+1 (253) 555-6492,office@greenwaylandscaping.com,2027-07-23,,Y
Handy Hank's Home Repair,General,Amy Gomez,253.555.2121,amy@handyhanks.com,9/24/2027,125,Yes
Harbor Handyman Services,General; Painting,Kwame Smith,2535558330,office@harborhandyman.com,8/6/2027,,N
Harborside Plumbing,plumbing,Jacob Rivera,253-555-6581,office@harborsideplumbing.com,26-Aug-2027,95/hr,Y
Hardwood Revival,flooring,Cynthia Chavez,1-253-555-7752,office@hardwoodrevival.com,02-Aug-2027,65/hr,N
Ironwood Electrical,Electrical,Patricia Reyes,+1 253 555 7446,patricia@ironwoodelectrical.com,2027-05-15,95,Y
Keel Mechanical,HVAC,Rebecca Rivera,1-253-555-8663,office@keelmechanical.com,24-Mar-2027,,Y
Keyway Locksmiths,Locksmith,Shirley Foster,253.555.4405,office@keywaylocksmiths.com,25-Dec-2027,$75.00,N
KEYWAY LOCKSMITHS,Locksmith,Shirley Foster,+1 (253) 555-4405,office@keywaylocksmiths.com,2027-12-25,$75.00,N
Kitchen Pro Repair,appliance,Ashley Scott,253.555.1511,dispatch@kitchenprorepair.com,27-Dec-2027,$85.00,Y
Lumen Electric Co.,Electrical,Jason Young,+1 (253) 555-6927,dispatch@lumenelectricco.com,4/28/2027,65/hr,Y
Main Street Maintenance,General,Andrew Peterson,253.555.5687,dispatch@mainstreetmaint.com,9/12/2027,140,Yes
Northwest Carpet Care,Flooring,Dorothy Campbell,+1 (253) 555-5800,dorothy@nwcarpetcare.com,2027-03-19,$85.00,Y
Northwest Pipe Works,Plumbing,Chloe Scott,253-555-5774,dispatch@nwpipeworks.com,Sep 2 2027,,Y
Pacific Pest Management,Pest Control,Jeffrey Murphy,253.555.1522,dispatch@pacificpestmgmt.com,8/26/2027,,Y
Pioneer Electric,Electrical,Anthony Brooks,253.555.6748,dispatch@pioneerelectricwa.com,May 14 2027,75,Yes
Plank & Tile Flooring,Flooring,Patricia Wilson,(253) 555-6026,dispatch@plankandtile.com,2026-04-04,95/hr,Y
Polar Mechanical,HVAC,Shirley Jackson,+1 253 555 8042,dispatch@polarmechanical.com,Dec 10 2027,65/hr,Y
Pro Finish Painting,Painting,Donna Bennett,253-555-5170,office@profinishpainting.com,2027-09-18,$75.00,Y
Puget Glass & Screen,Glass,Chloe Cox,253.555.5593,dispatch@pugetglass.com,2027-03-19,$140.00,Yes
Rain Guard Gutters,Roofing,Mateo Howard,+1 253 555 1523,office@rainguardgutters.com,18-Sep-2027,75/hr,N
Rainier Climate Control,HVAC,William Brooks,1-253-555-6665,dispatch@rainierclimate.com,2027-03-21,$75.00,Y
Right Hand Maintenance,General,Richard Baker,+1 253 555 1765,dispatch@righthandmaint.com,2/14/2027,$140.00,Yes
Rooter Brothers,Plumbing,William Murphy,1-253-555-3013,office@rooterbros.com,13-Nov-2027,$65.00,N
Secure Lock & Key,Locksmith,Anthony Jones,1-253-555-4213,anthony@securelockandkey.com,5/31/2026,,N
Sound Appliance Service,Appliance,Jeffrey Thomas,2535551188,jeffrey@soundappliance.com,2027-09-11,,Y
Sparkle Pros,Cleaning,Andrew Hughes,1-253-555-4413,dispatch@sparklepros.com,2027-12-01,$125.00,Y
Spotless Turnover Cleaning,Cleaning,Chloe Hughes,253.555.3884,office@spotlessturnover.com,May 13 2027,125,Y
Summit Pest Solutions,Pest Control,Betty Allen,+1 253 555 4317,dispatch@summitpest.com,3/31/2026,140,Y
Sunday Repairs,General,Carol Ruiz,(253) 555-8502,office@sundayrepairs.com,05-Oct-2025,,Y
Tacoma Garage Door,Doors,Hiroshi Murphy,253-555-2473,office@tacomagaragedoor.com,5/24/2027,65/hr,N
Tacoma Lock Shop,Locksmith,Dorothy Price,1-253-555-5627,dispatch@tacomalockshop.com,11/26/2027,$75.00,Yes
Tideline Plumbing & Drain,Plumbing,Jessica Mensah,+1 (253) 555-4550,jessica@tidelineplumbing.com,Dec 21 2027,125/hr,Yes
Top Notch Roofing,Roofing,Edward Anderson,253-555-4185,dispatch@topnotchroofingwa.com,2027-07-13,110/hr,Yes
TurnKey Make-Ready,General; Cleaning,Jonathan Peterson,2535554021,office@turnkeymakeready.com,12/8/2027,$85.00,Y
Volt & Wire Electric,electrical,Ingrid Ross,253-555-7529,office@voltandwire.com,17-Aug-2027,85,N
Whirl Appliance Techs,Appliance,Ryan Taylor,1-253-555-2606,office@whirltechs.com,May 2 2027,75/hr,Yes
