Fiscal Year,Account Code,Department,Description,Adopted Budget
2026-27,01-1180-5600,special education,"Special Education - Rentals, Leases & Repairs",89000.00
2026-27,01-3600-5900,Transportation,Transportation - Communications,"$11,000.00"
2025-26,01-1180-5900,Special Education,Special Education - Communications,"$19,043.00"
2026-27,01-1180-6400,Special Education,Special Education - Equipment,230000.00
2026-27,01-8100-6400,Facilities & Maintenance,Facilities & Maintenance - Equipment,210500.00
2026-27,1337005200,FOOD SERVICES,Food Services - Travel & Conferences,"$5,000.00"
2026-27,01-7700-5600,Tech,"Technology - Rentals, Leases & Repairs","$105,000.00"
2026-27,01-8100-5800,M&O,Facilities & Maintenance - Professional Services,25000.00
2026-27,01-8100-4400,Facilities and Maintenance,Facilities & Maintenance - Non-capital Equipment,85000.00
2026-27,01.3600.5600,Transportation,"Transportation - Rentals, Leases & Repairs",57500.00
2026-27,01-7700-5200,Technology,Technology - Travel & Conferences,13000.00
2026-27,13-3700-4700,Food Services,Food Services - Food & Food Supplies,233000.00
2026-27,01-7700-6500,Tech,Technology - Equipment Replacement,287500.00
2026-27,01-8100-4300,Facilities & Maintenance,Facilities & Maintenance - Materials & Supplies,27500.00
2026-27,0136004200,Transportation,Transportation - Books & Reference,4000.00
2026-27,01-8100-6500,Facilities & Maintenance,Facilities & Maintenance - Equipment Replacement,184500.00
2025-26,01-2100-6500,Curriculum & Instruction,Curriculum & Instruction - Equipment Replacement,159362.00
2026-27,01-8100-5500,FACILITIES & MAINTENANCE,Facilities & Maintenance - Operations & Housekeeping,56000.00
2026-27,13-3700-4200,Nutrition Services,Food Services - Books & Reference,3000.00
2025-26,01-2100-5800,Curriculum & Instruction,Curriculum & Instruction - Professional Services,49331.00
2026-27,01-2100-4400,Curriculum & Instruction,Curriculum & Instruction - Non-capital Equipment,"$88,500.00"
2026-27,01.3600.6500,Transportation,Transportation - Equipment Replacement,420000.00
2026-27,01.1180.4300,Special Education,Special Education - Materials & Supplies,"$62,500.00"
2026-27,13-3700-6500,Food Services,Food Services - Equipment Replacement,170000.00
2025-26,01-8100-4200,Facilities & Maintenance,Facilities & Maintenance - Books & Reference,"$5,289.00"
2026-27,01-3600-5300,Transportation,Transportation - Dues & Memberships,3500.00
2026-27,01-2100-5800,Curriculum & Instruction,Curriculum & Instruction - Professional Services,54500.00
2026-27,01-2100-6400,CURRICULUM & INSTRUCTION,Curriculum & Instruction - Equipment,51000.00
2026-27,0177004300,Tech,Technology - Materials & Supplies,"$33,500.00"
2026-27,01-3600-4100,Transportation,Transportation - Textbooks & Core Materials,"$46,000.00"
2025-26,01-7700-6400,Technology,Technology - Equipment,161457.00
2025-26,01-1180-4200,Special Education,Special Education - Books & Reference,"$12,180.00"
2026-27,0136005500,Transportation,Transportation - Operations & Housekeeping,55000.00
2026-27,01-1180-5500,SPED,Special Education - Operations & Housekeeping,"$56,500.00"
2026-27,0136004200,Transportation,Transportation - Books & Reference,4000.00
2026-27,01-3600-5200,Transportation,Transportation - Travel & Conferences,12000.00
2026-27,01-2100-6500,Curriculum & Instruction,Curriculum & Instruction - Equipment Replacement,159500.00
2026-27,13-3700-5900,FOOD SERVICES,Food Services - Communications,22500.00
2026-27,01 8100 4100,Facilities & Maintenance,Facilities & Maintenance - Textbooks & Core Materials,76500.00
2026-27,01-3600-4400,transportation,Transportation - Non-capital Equipment,27000.00
2026-27,01-1180-5300,special education,Special Education - Dues & Memberships,1500.00
2026-27,01.1180.5200,Special Ed,Special Education - Travel & Conferences,"$11,500.00"
2026-27,01.7700.5300,Tech,Technology - Dues & Memberships,7000.00
2026-27,01-8100-5600,Facilities & Maintenance,"Facilities & Maintenance - Rentals, Leases & Repairs",122000.00
2026-27,01-2100-4300,Curriculum and Instruction,Curriculum & Instruction - Materials & Supplies,44000.00
2025-26,01-7700-4400,Technology,Technology - Non-capital Equipment,55763.00
2026-27,0181005900,Facilities & Maintenance,Facilities & Maintenance - Communications,"$36,500.00"
2026-27,01 2100 5500,CURRICULUM & INSTRUCTION,Curriculum & Instruction - Operations & Housekeeping,"$15,500.00"
2026-27,13-3700-5300,Food Service,Food Services - Dues & Memberships,8000.00
2026-27,01.1180.5900,Special Education,Special Education - Communications,19000.00
2026-27,01-1180-4200,Special Education,Special Education - Books & Reference,"$12,000.00"
2026-27,01-7700-6400,Technology,Technology - Equipment,"$187,000.00"
2026-27,0121005900,Curriculum & Instruction,Curriculum & Instruction - Communications,7000.00
2026-27,01 7700 5900,Technology,Technology - Communications,18000.00
2026-27,01-2100-5300,Curriculum & Instruction,Curriculum & Instruction - Dues & Memberships,4500.00
2026-27,0121005600,Curriculum & Instruction,"Curriculum & Instruction - Rentals, Leases & Repairs",114500.00
2026-27,01 3600 5800,Transp.,Transportation - Professional Services,104000.00
2026-27,01-1180-6500,SPED,Special Education - Equipment Replacement,147000.00
2026-27,01-3600-6400,Transportation,Transportation - Equipment,77500.00
2026-27,13-3700-4300,Food Services,Food Services - Materials & Supplies,31000.00
2026-27,01-8100-5200,Facilities & Maintenance,Facilities & Maintenance - Travel & Conferences,"$4,000.00"
2026-27,0181004200,Facilities & Maintenance,Facilities & Maintenance - Books & Reference,"$6,000.00"
2026-27,01-7700-4400,Technology,Technology - Non-capital Equipment,"$53,500.00"
2026-27,01-7700-4100,Technology,Technology - Textbooks & Core Materials,75000.00
2026-27,01-7700-5500,Technology,Technology - Operations & Housekeeping,"$17,500.00"
2025-26,01-2100-5600,Curriculum & Instruction,"Curriculum & Instruction - Rentals, Leases & Repairs",105232.00
2026-27,01-8100-5500,FACILITIES & MAINTENANCE,Facilities & Maintenance - Operations & Housekeeping,56000.00
2026-27,01-1180-4400,SPED,Special Education - Non-capital Equipment,39000.00
2025-26,01-8100-5200,Facilities & Maintenance,Facilities & Maintenance - Travel & Conferences,"$3,567.00"
2026-27,01-1180-4100,Special Education,Special Education - Textbooks & Core Materials,85000.00
2026-27,13-3700-5800,Food Services,Food Services - Professional Services,159000.00
2026-27,13-3700-5500,Food Service,Food Services - Operations & Housekeeping,"$15,000.00"
2026-27,13-3700-4300,Food Services,Food Services - Materials & Supplies,31000.00
2025-26,01-3600-6500,Transportation,Transportation - Equipment Replacement,428752.00
2026-27,01-2100-5300,Curriculum & Instruction,Curriculum & Instruction - Dues & Memberships,4500.00
2026-27,01-1180-5800,Special Education,Special Education - Professional Services,54500.00
2026-27,0111804200,Special Education,Special Education - Books & Reference,"$12,000.00"
2026-27,01-2100-4100,Curriculum & Instruction,Curriculum & Instruction - Textbooks & Core Materials,"$25,500.00"
2026-27,13-3700-5600,Nutrition Services,"Food Services - Rentals, Leases & Repairs",120000.00
2026-27,0111804300,Special Education,Special Education - Materials & Supplies,"$62,500.00"
2025-26,01-2100-4400,Curriculum & Instruction,Curriculum & Instruction - Non-capital Equipment,88078.00
2026-27,01-7700-4200,Technology,Technology - Books & Reference,9500.00
2026-27,01-2100-4200,Curriculum & Instruction,Curriculum & Instruction - Books & Reference,12000.00
2026-27,01-3600-4300,Transportation,Transportation - Materials & Supplies,48000.00
2026-27,01 8100 5300,FACILITIES & MAINTENANCE,Facilities & Maintenance - Dues & Memberships,"$2,000.00"
2026-27,01 7700 5800,Technology,Technology - Professional Services,"$163,000.00"
2025-26,01-3600-4100,Transportation,Transportation - Textbooks & Core Materials,43245.00
2026-27,01-2100-5200,Curriculum and Instruction,Curriculum & Instruction - Travel & Conferences,7500.00
2026-27,13-3700-4400,Food Services,Food Services - Non-capital Equipment,31500.00
2026-27,13-3700-6400,Food Services,Food Services - Equipment,160500.00
