Vendor,Tax ID,Contact Email,Phone,Status,W-9 on File,City
Anchor Legal Group,47-7539968,ar@anchorlegalgroup.com,530-555-4826,Active,Y,Modesto
Redwood Science Supply,51-2595901,billing@redwoodsciencesupply.com,916-555-5805,Active,N,Modesto
Bluewater Janitorial,32-7014770,sales@bluewaterjanitorial.com,530-555-6382,Active,Y,Modesto
Gateway Staffing Inc,421197693,SALES@GATEWAYSTAFFING.COM,209.555.2988,Active,Y,Modesto
Keystone Therapy Associates,33-9165264,sales@keystonetherapyassociates.com,209-555-3521,Active,Y,Merced
Landmark Surveying Inc.,20-7638176,sales@landmarksurveying.com,530-555-1576,Active,Y,Merced
Riverbend Produce,35-6324365,orders@riverbendproduce.com,209-555-5300,Active,Y,Stockton
Wildwood Music Supply Inc.,76-8362675,billing@wildwoodmusicsupply.com,209-555-9231,Active,Y,Merced
Zenith Copier Leasing Inc.,56-1627866,orders@zenithcopierleasing.com,530-555-3431,Active,Y,Visalia
First Student Transit Parts Inc.,40-8091339,sales@firststudenttransitparts.com,916-555-7877,Active,Y,Fresno
Juniper Kitchen Equipment,97-3223651,ar@juniperkitchenequipment.com,916-555-9166,Active,N,Visalia
Emerald Textbook Depot,39-3445730,sales@emeraldtextbookdepot.com,209-555-2979,Inactive,Y,Visalia
Delta Diesel Repair,13-6613341,billing@deltadieselrepair.com,209-555-9144,Active,Y,Fresno
Westfield Elevator Inc.,34-5224009,sales@westfieldelevator.com,916-555-6115,Active,Y,Merced
Ridgeline Transportation Consulting,38-1423396,ar@ridgelinetransportationconsulting.com,209-555-2606,Inactive,Y,Turlock
Heartland Paper Co Inc.,32-3148554,ar@heartlandpaperco.com,916-555-1145,Inactive,Y,Stockton
Orchard Fresh Farms LLC,53-1567708,orders@orchardfreshfarms.com,209-555-1861,Active,Y,Modesto
Patriot Locksmith LLC,52-4213386,sales@patriotlocksmith.com,209-555-6541,Active,Y,Modesto
Precision Auto Glass Inc.,15-8494123,sales@precisionautoglass.com,209-555-4433,Active,Y,Stockton
Bridgewater Auditors LLC,47-1191814,billing@bridgewaterauditors.com,209-555-2680,Active,Y,Stockton
Quantum Robotics Kits LLC,68-3523310,orders@quantumroboticskits.com,209-555-1655,Active,Y,Modesto
Summit Adaptive Equipment Inc.,25-9424029,billing@summitadaptiveequipment.com,209-555-7796,Active,Y,Stockton
Monarch Classroom Furniture,76-1249300,ar@monarchclassroomfurniture.com,530-555-5173,Active,Y,Fresno
Eagle Signs & Graphics,13-2751833,ar@eaglesignsandgraphics.com,530-555-1493,Active,Y,Stockton
BrightPath Learning,20-2120275,ar@brightpathlearning.com,209-555-2625,Active,Y,Fresno
Sunrise Bakery Wholesale,92-9887842,billing@sunrisebakerywholesale.com,559-555-2714,Active,Y,Merced
Hilltop Mailing Services LLC,98-2553964,ar@hilltopmailingservices.com,209-555-8274,Active,Y,Visalia
Driftwood Art Supply,30-1031642,billing@driftwoodartsupply.com,559-555-4650,Active,Y,Fresno
Northstar Assessment Group LLC,15-3994368,billing@northstarassessmentgroup.com,559-555-5743,Active,Y,Turlock
Heartland Paper Co Inc.,32-3148554,ar@heartlandpaperco.com,916-555-1145,Inactive,Y,Stockton
Valley Fleet Fuel,89-9772027,sales@valleyfleetfuel.com,916-555-4714,Active,Y,Turlock
Stellar Science Kits LLC,58-4479284,ar@stellarsciencekits.com,209-555-2386,Active,Y,Modesto
Paramount Network Solutions,85-2544971,ar@paramountnetworksolutions.com,209-555-4834,Active,Y,Fresno
Pacific Coast Dairy Inc.,43-8616484,ar@pacificcoastdairy.com,559-555-6873,Active,Y,Visalia
Jefferson Plumbing,42-5924365,sales@jeffersonplumbing.com,559-555-1729,Active,Y,Turlock
Upland Irrigation LLC,31-9734664,ar@uplandirrigation.com,530-555-3425,Active,Y,Visalia
Harbor Electrical Contractors Inc.,76-2091799,billing@harborelectricalcontractors.com,209-555-7730,Active,N,Turlock
Oakridge Lumber,77-2790740,orders@oakridgelumber.com,530-555-1105,Active,Y,Modesto
Ironclad Security Systems,60-7383468,orders@ironcladsecuritysystems.com,916-555-6797,Inactive,Y,Visalia
Lantern Special Needs Transport Inc,413556309,SALES@LANTERNSPECIALNEEDSTRANSPORT.COM,209.555.7167,Active,Y,Merced
Beacon Medical Supply,68-5374745,orders@beaconmedicalsupply.com,530-555-3480,Active,Y,Turlock
Sierra Paint Supply,47-5058959,ar@sierrapaintsupply.com,530-555-1127,Active,Y,Modesto
"Dayspring Occupational Therapy, LLC",754736753,SALES@DAYSPRINGOCCUPATIONALTHERAPY.COM,530.555.8508,Active,Y,Visalia
Granite Roofing LLC,74-9497173,orders@graniteroofing.com,559-555-7979,Active,Y,Merced
Olympus Testing Labs Inc.,95-6977415,billing@olympustestinglabs.com,209-555-6574,Active,Y,Visalia
Evergreen Landscaping,97-6571880,billing@evergreenlandscaping.com,209-555-7422,Active,Y,Fresno
Wavecrest Telecom,56-3072860,billing@wavecresttelecom.com,559-555-5874,Active,Y,Visalia
Northgate Uniform Rental Inc.,46-7990938,orders@northgateuniformrental.com,530-555-8551,Active,Y,Merced
Integrity Translation Services,80-2312439,billing@integritytranslationservices.com,530-555-5882,Active,Y,Modesto
Monarch Classroom Furniture,76-1249300,ar@monarchclassroomfurniture.com,530-555-5173,Active,Y,Fresno
Canyon Water Treatment,64-5658066,ar@canyonwatertreatment.com,559-555-4214,Active,Y,Fresno
Foothill Transmission,25-5243657,sales@foothilltransmission.com,916-555-1403,Active,N,Fresno
Cascade Office Products,15-2344602,sales@cascadeofficeproducts.com,530-555-9619,Active,Y,Visalia
Guardian Background Checks,74-8080966,orders@guardianbackgroundchecks.com,209-555-7985,Active,N,Fresno
Gateway Staffing,42-1197693,sales@gatewaystaffing.com,209-555-2988,Active,Y,Modesto
Highland Athletic Supply,59-7266521,orders@highlandathleticsupply.com,209-555-8654,Active,Y,Stockton
Silverline Audio Visual,93-1669169,sales@silverlineaudiovisual.com,559-555-7351,Active,Y,Visalia
Cobalt Cybersecurity LLC,28-9656247,billing@cobaltcybersecurity.com,559-555-4060,Active,Y,Merced
Acme Bus Parts,86-9214956,ar@acmebusparts.com,209-555-2199,Active,Y,Stockton
Tri-County Waste Services,73-4442534,billing@tricountywasteservices.com,209-555-6822,Active,Y,Modesto
Central Valley Tire Inc.,52-6991005,billing@centralvalleytire.com,530-555-7083,Active,Y,Turlock
Golden State Food Distributors Inc.,29-6562068,ar@goldenstatefooddistributors.com,209-555-2078,Active,Y,Fresno
Jadeite Lab Equipment LLC,61-1293205,sales@jadeitelabequipment.com,530-555-7091,Active,Y,Fresno
Vista Hearing Services,26-3865879,billing@vistahearingservices.com,916-555-6488,Active,Y,Stockton
Insight Software Licensing,99-8625599,ar@insightsoftwarelicensing.com,209-555-5946,Active,Y,Visalia
Rolling Hills Charter Bus,18-9106447,sales@rollinghillscharterbus.com,916-555-7685,Active,Y,Merced
Timberline Furniture Inc.,28-1045537,ar@timberlinefurniture.com,209-555-8810,Active,Y,Stockton
Kingsley Moving & Storage LLC,54-6393094,billing@kingsleymovingandstorage.com,209-555-4776,Active,Y,Modesto
Metro Fire Protection Inc.,53-3664441,sales@metrofireprotection.com,530-555-2417,Active,Y,Fresno
Cornerstone HVAC Services,47-6399137,ar@cornerstonehvacservices.com,559-555-7931,Active,Y,Fresno
Union Pest Control Inc.,60-3761338,ar@unionpestcontrol.com,559-555-6562,Active,Y,Turlock
Keel Marine & Outdoor Ed LLC,50-1857467,orders@keelmarineandoutdoored.com,559-555-5208,Active,Y,Fresno
Coastline Uniforms LLC,26-9555029,orders@coastlineuniforms.com,530-555-4927,Active,N,Stockton
Frontier Computer Recycling LLC,90-4757864,billing@frontiercomputerrecycling.com,530-555-8723,Active,Y,Merced
Yosemite Bus Sales,22-6082128,ar@yosemitebussales.com,916-555-6630,Inactive,Y,Modesto
Meridian Speech Services,82-5488263,ar@meridianspeechservices.com,530-555-8134,Active,Y,Turlock
Pinnacle Behavioral Health Inc.,89-5188374,sales@pinnaclebehavioralhealth.com,209-555-9997,Active,Y,Fresno
Clearview Glass & Glazing LLC,20-4485223,sales@clearviewglassandglazing.com,530-555-6327,Active,Y,Turlock
Madrone Mental Health Inc.,61-9714293,ar@madronementalhealth.com,530-555-3862,Active,Y,Merced
Allied Fleet Supply LLC,81-7079770,sales@alliedfleetsupply.com,530-555-7801,Active,Y,Merced
Dayspring Occupational Therapy LLC,75-4736753,sales@dayspringoccupationaltherapy.com,530-555-8508,Active,Y,Visalia
Crescent Library Services,47-1545773,billing@crescentlibraryservices.com,209-555-8008,Active,Y,Turlock
Nimbus Cloud Services Inc.,18-3116433,billing@nimbuscloudservices.com,209-555-5922,Active,Y,Merced
Apex Floor Care,30-4687146,orders@apexfloorcare.com,530-555-7573,Inactive,Y,Fresno
Anchor Legal Group,47-7539968,ar@anchorlegalgroup.com,530-555-4826,Active,Y,Modesto
Mission Linen Service,94-8535049,billing@missionlinenservice.com,916-555-9304,Active,Y,Stockton
Liberty Playground Equipment Inc.,86-6603389,billing@libertyplaygroundequipment.com,209-555-4355,Active,Y,Visalia
Horizon Educational Publishing Inc.,17-1000928,billing@horizoneducationalpublishing.com,559-555-5703,Active,Y,Stockton
Lantern Special Needs Transport,41-3556309,sales@lanternspecialneedstransport.com,209-555-7167,Active,Y,Merced
Lumen Classroom Technology,17-1522243,ar@lumenclassroomtechnology.com,530-555-3308,Active,Y,Turlock
