Code,Material,Species,Thickness,Grade,Unit,Cost per Unit,Supplier,Price Updated
WO-64-FAS,White Oak 6/4 FAS,White Oak,6/4,FAS,BF,10.50,Northland Hardwoods,05/30/26
SAP-44-FAS,Sapele 4/4 FAS,Sapele,4/4,FAS,bf,10.20,Northland Hardwoods,2026-08-10
CHE-44-FAS,Cherry 4/4 FAS,Cherry,4/4,FAS,BF,9.60,Appalachian Sawmill Supply,2026-02-05
RO-44-FAS,Red Oak 4/4 FAS,Red Oak,4/4,FAS,BF,6.20,Northland Hardwoods,07-Jul-2026
CHE-64-SEL,Cherry 6/4 Select,Cherry,6/4,Select,bf,$9.74,Keystone Lumber Co.,2026-02-24
HIC-84-SEL,Hickory 8/4 Select,Hickory,8/4,Select,board ft,7.49,Appalachian Sawmill Supply,"August 04, 2026"
WO-84-FAS,White Oak 8/4 FAS,White Oak,8/4,FAS,bf,11.75,Appalachian Sawmill Supply,02/27/26
HM-44-FAS,Hard Maple 4/4 FAS,Hard Maple,4/4,FAS,BF,$7.40,Keystone Lumber Co.,"June 03, 2026"
HIC-84-FAS,Hickory 8/4 FAS,Hickory,8/4,FAS,bf,8.71,Appalachian Sawmill Supply,07/15/2026
RO-84-SEL,Red Oak 8/4 Select,Red Oak,8/4,Select,bf,7.04,Appalachian Sawmill Supply,"January 30, 2026"
ASH-84-SEL,Ash 8/4 Select,Ash,8/4,Select,board ft,6.58,Northland Hardwoods,01/21/26
RO-64-SEL,Red Oak 6/4 Select,Red Oak,6/4,Select,bf,$6.29,Keystone Lumber Co.,2026-05-07
RO-64-FAS,Red Oak 6/4 FAS,Red Oak,6/4,FAS,BF,$7.32,Appalachian Sawmill Supply,04/07/26
MAH-44-FAS,Mahogany 4/4 FAS,Mahogany,4/4,FAS,BF,13.80,Northland Hardwoods,04/20/26
RO-44-SEL,Red Oak 4/4 Select,Red Oak,4/4,Select,bf,5.33,Riverside Timber,01/15/2026
HM-84-SEL,Hard Maple 8/4 Select,Hard Maple,8/4,Select,bf,8.40,Appalachian Sawmill Supply,01/31/2026
HM-44-SEL,Hard Maple 4/4 Select,Hard Maple,4/4,Select,bf,$6.36,Northland Hardwoods,01/21/26
SAP-84-SEL,Sapele 8/4 Select,Sapele,8/4,Select,board ft,11.58,Northland Hardwoods,06/08/2026
MAH-64-SEL,Mahogany 6/4 Select,Mahogany,6/4,Select,BF,$14.00,Appalachian Sawmill Supply,"February 23, 2026"
ASH-64-SEL,Ash 6/4 Select,Ash,6/4,Select,bf,5.89,Keystone Lumber Co.,19-May-2026
WAL-64-SEL,Walnut 6/4 Select,Walnut,6/4,Select,bf,$12.58,Riverside Timber,03/23/2026
CHE-84-SEL,Cherry 8/4 Select,Cherry,8/4,Select,bf,10.90,Northland Hardwoods,23-Apr-2026
MAH-64-FAS,Mahogany 6/4 FAS,Mahogany,6/4,FAS,bf,16.28,Keystone Lumber Co.,13-Jan-2026
POP-44-FAS,Poplar 4/4 FAS,Poplar,4/4,FAS,bf,3.90,Riverside Timber,2026-04-14
HIC-64-FAS,Hickory 6/4 FAS,Hickory,6/4,FAS,bf,7.79,Appalachian Sawmill Supply,21-Jun-2026
