Parent,Parent Description,Component,Component Description,Qty Per,UoM
TBL-3060,Work table 30x60 with undershelf,001010,SS304 sheet 16ga 48x96,1,sheet
TBL-3060,Work table 30x60 with undershelf,001012,SS304 sheet 18ga 36x96,0.5,sheet
TBL-3060,Work table 30x60 with undershelf,1030,SS leg 1-5/8in x 34in,4,ea
TBL-3060,Work table 30x60 with undershelf,2020,Adjustable bullet foot 1-5/8in,4.00,ea
TBL-3060,Work table 30x60 with undershelf,001022,SS304 round tube 1-5/8in x 20ft,0.5,ea
TBL-3060,Work table 30x60 with undershelf,2110,Undershelf gusset,4,ea
TBL-3060,Work table 30x60 with undershelf,3010,Bolt 1/4-20 x 3/4 SS,8.00,ea
TBL-3060,Work table 30x60 with undershelf,003011,Nylock nut 1/4-20 SS,8,ea
TBL-3060,Work table 30x60 with undershelf,3020,Welding wire ER308L 0.035 (lb),0.5,lb
TBL-3060,Work table 30x60 with undershelf,5020,Crate table,1.00,ea
TBL-3060,Work table 30x60 with undershelf,5030,Serial plate label,1,ea
TBL-3072,Work table 30x72 with undershelf,001010,SS304 sheet 16ga 48x96,1.50,sheet
TBL-3072,Work table 30x72 with undershelf,1012,SS304 sheet 18ga 36x96,0.50,sheet
TBL-3072,Work table 30x72 with undershelf,001030,SS leg 1-5/8in x 34in,6,ea
TBL-3072,Work table 30x72 with undershelf,002020,Adjustable bullet foot 1-5/8in,6,ea
TBL-3072,Work table 30x72 with undershelf,001022,SS304 round tube 1-5/8in x 20ft,0.50,ea
TBL-3072,Work table 30x72 with undershelf,002110,Undershelf gusset,6.00,ea
TBL-3072,Work table 30x72 with undershelf,003010,Bolt 1/4-20 x 3/4 SS,12,ea
TBL-3072,Work table 30x72 with undershelf,3011,Nylock nut 1/4-20 SS,12,ea
TBL-3072,Work table 30x72 with undershelf,003020,Welding wire ER308L 0.035 (lb),0.75,lb
TBL-3072,Work table 30x72 with undershelf,5020,Crate table,1,ea
TBL-3072,Work table 30x72 with undershelf,005030,Serial plate label,1,ea
TBL-2448,Work table 24x48 with undershelf,001010,SS304 sheet 16ga 48x96,0.5,sheet
TBL-2448,Work table 24x48 with undershelf,001012,SS304 sheet 18ga 36x96,0.5,sheet
TBL-2448,Work table 24x48 with undershelf,001030,SS leg 1-5/8in x 34in,4,ea
TBL-2448,Work table 24x48 with undershelf,2020,Adjustable bullet foot 1-5/8in,4,ea
TBL-2448,Work table 24x48 with undershelf,2110,Undershelf gusset,4,ea
TBL-2448,Work table 24x48 with undershelf,3010,Bolt 1/4-20 x 3/4 SS,8,ea
