WO #,Product,Qty,Line,Status,Start Date,Due Date,Completed On,Qty Completed,Supervisor,Notes
WO-3101,CRT-1827-2S,35,Line 2 - Carts,Cancelled,2026-03-06,3/12/2026,,0,Sam Whitaker,rush
WO-3102,TBL-3060,14,Line 1,Completed,Mar 9 2026,19-Mar-26,18-Mar-26,14,Dale Pruitt,
WO-3103,SHF-1848-4T,120,Line 3,Complete,Mar 9 2026,2026-03-17,Mar 16 2026,120,Grace Liu,customer pickup
WO-3104,SHF-2460-4T,80,Line 3,Complete,Mar 11 2026,2026-03-21,Mar 22 2026,80,Grace Liu,
WO-3105,DOL-1818,55,Line 2 - Carts,Closed,16-Mar-26,2026-03-29,2026-03-28,55,Sam Whitaker,customer pickup
WO-3106,SHF-2448-4T,45,Shelving,Complete,20-Mar-26,25-Mar-26,2026-03-24,45,Grace Liu,rush
WO-3107,SHF-1848-4T,50,Line 3,Complete,20-Mar-26,Mar 31 2026,2026-04-01,50,Grace Liu,weld rework on 2 units
WO-3108,TBL-3072,6,L1,Complete,2026-03-23,05-Apr-26,2026-04-05,6,Dale Pruitt,split from larger order
WO-3174,CRT-2436-2S,10,Line 2 - Carts,In Progress,8/28/2026,Sep 9 2026,,0,Sam Whitaker,split from larger order
WO-3109,CRT-UTIL-HD,10,Line 2 - Carts,Completed,2026-03-25,2026-04-04,04-Apr-26,10,Sam Whitaker,short on cartons - substituted
WO-3110,CRT-2436-2S,20,Line 2,Completed,Mar 25 2026,2026-04-01,03-Apr-26,20,Sam Whitaker,
WO-3111,SNK-1C18,12,Line 1 - Tables,Completed,3/27/2026,Apr 8 2026,4/8/2026,12,Dale Pruitt,short on cartons - substituted
WO-3112,CRT-2436-2S,40,L2,Closed,Apr 2 2026,17-Apr-26,4/17/2026,40,Sam Whitaker,weld rework on 2 units
WO-3113,SHF-WALL-36,35,Line 3 - Shelving,Completed,2026-04-07,4/14/2026,2026-04-11,35,Grace Liu,customer pickup
WO-3114,SHF-WALL-36,70,Line 3 - Shelving,Completed,2026-04-10,21-Apr-26,Apr 26 2026,70,Grace Liu,short on cartons - substituted
WO-3115,CRT-1827-3S,35,Line 2 - Carts,Completed,12-Apr-26,Apr 23 2026,24-Apr-26,35,Sam Whitaker,rush
WO-3116,DOL-1818,40,Line 2 - Carts,Completed,4/16/2026,23-Apr-26,2026-04-22,40,Sam Whitaker,
WO-3117,CRT-1827-3S,15,L2,Complete,4/16/2026,4/25/2026,22-Apr-26,15,Sam Whitaker,
WO-3118,CRT-UTIL-HD,30,L2,Completed,Apr 17 2026,2026-04-24,2026-04-24,30,Sam Whitaker,
WO-3119,TBL-EQ-2430,26,Line 1 - Tables,Closed,19-Apr-26,24-Apr-26,Apr 21 2026,26,Dale Pruitt,split from larger order
WO-3120,TBL-3060,28,L1,Completed,21-Apr-26,4/28/2026,2026-04-27,28,Dale Pruitt,
WO-3121,CRT-2436-2S,25,Line 2,Completed,22-Apr-26,29-Apr-26,01-May-26,25,Sam Whitaker,weld rework on 2 units
WO-3122,TBL-3060,22,Line 1 - Tables,Completed,2026-04-24,Apr 30 2026,01-May-26,22,Dale Pruitt,
