sku,product-id,product-id-type,price,item-condition,quantity,add-delete,item-note,fulfillment-center-id
ZBW-1040,258398947197,3,44.80,11,,a,,AMAZON_NA
ZBW-1053,220947112202,3,114.50,4,1,a,Heavy cosmetic wear,DEFAULT
ZBW-1066,BZ19T9RP2T,1,64.00,11,3,a,,DEFAULT
ZBW-1079,291795330414,3,54.50,3,1,a,"Visible scratches, works perfectly",DEFAULT
ZBW-1092,BZDGKQCEBH,1,75.00,1,1,a,Ridden once,DEFAULT
ZBW-1105,BZ1FZHCBNM,1,33.00,11,1,a,,DEFAULT
ZBW-1118,BZB3GSEQEV,1,38.64,11,,a,,AMAZON_NA
ZBW-1131,216345792306,3,74.48,1,,a,Box opened for photos,AMAZON_NA
ZBW-1144,BZSH4MA628,1,495.00,11,4,a,,DEFAULT
ZBW-1157,207150842379,3,60.50,2,1,a,"Minor wear, fully serviced",DEFAULT
ZBW-1183,BZ02C12CL4,1,21.84,11,,d,,AMAZON_NA
ZBW-1209,BZJA12WAPA,1,51.00,3,1,a,"Visible scratches, works perfectly",DEFAULT
ZBW-1235,BZJ9YHKTBC,1,32.00,2,1,a,Light scuffs on clamp,DEFAULT
ZBW-1248,BZZC753ZMP,1,109.20,1,,a,Box opened for photos,AMAZON_NA
ZBW-1261,224555159000,3,85.50,11,4,a,,DEFAULT
ZBW-1274,BZJUH6RDVM,1,17.36,2,,a,"Minor wear, fully serviced",AMAZON_NA
ZBW-1287,BZXV2GG66X,1,25.50,3,1,a,"Visible scratches, works perfectly",DEFAULT
ZBW-1313,230601688479,3,29.50,11,5,a,,DEFAULT
ZBW-1326,215349263515,3,13.50,11,0,a,,DEFAULT
ZBW-1339,BZNH71SPCP,1,50.00,11,9,a,,DEFAULT
ZBW-1352,BZZKG7K139,1,100.24,11,,d,,AMAZON_NA
ZBW-1365,BZNQAXWWC9,1,60.50,11,2,a,,DEFAULT
ZBW-1378,269471180134,3,19.50,11,0,d,,DEFAULT
ZBW-1391,BZ4XLK5Z80,1,60.48,11,,a,,AMAZON_NA
ZBW-1404,BZ9E3PU260,1,193.76,4,,a,Heavy cosmetic wear,AMAZON_NA
ZBW-1417,BZBAMV8SXE,1,133.00,11,7,a,,DEFAULT
ZBW-1443,BZ7FKY2C50,1,68.50,1,1,a,No visible wear,DEFAULT
ZBW-1456,BZBCJWGYN0,1,101.36,1,,a,"Opened, never mounted",AMAZON_NA
ZBW-1469,BZ5XHUJ0UH,1,38.08,1,,a,Ridden once,AMAZON_NA
