Two Rivers Cider Works - Unpaid Bills
As of 08/31/2026 (terms shown only where the bill overrides the vendor default)
Bill No,Vendor,Bill Date,Terms,Amount,Open Balance,Status
BSC-20648,Barrel & Stave Cooperage,2026-03-12,,"$7,420.00","$7,420.00",Open
LL-20570,Label Lab Printing,"April 20, 2026",,"$1,865.40","$1,865.40",Open
CRE-20538,Cedar Ridge Electric,2026-05-24,,"$1,079.27","$1,079.27",Open
SGW-20249,Summit Gas & Welding Supply,2026-05-24,,$613.45,$613.45,Open
PCB-20678,Pacific Corrugated Box,05/25/2026,,"$2,887.94","$2,887.94",Open
BPC-20630,Brightline Pest Control,05/27/2026,,$168.03,$126.02,Open
BPC-20602,Brightline Pest Control,"May 29, 2026",,$188.80,$188.80,Open
BSC-20772,Barrel & Stave Cooperage,05/30/2026,,"$4,475.68","$2,237.84",Open
NLF-20426,Northline Freight,2026-05-30,,"$1,730.97","$1,730.97",Open
NLF-20389,Northline Freight,"May 31, 2026",,"$1,366.68","$1,025.01",Open
OVF-20545,Orchard Valley Fruit Co.,2026-06-01,,"$6,135.50","$6,135.50",Open
PCB-20641,Pacific Corrugated Box,"June 01, 2026",,"$2,792.73","$2,792.73",Open
BPC-20663,Brightline Pest Control,06/14/2026,,$132.72,$132.72,Open
BSC-20732,Barrel & Stave Cooperage,2026-06-16,,"$8,128.25","$8,128.25",Open
LL-20646,Label Lab Printing,"June 17, 2026",,$909.73,$909.73,Open
BSC-20789,Barrel & Stave Cooperage,"June 20, 2026",,"$2,503.74","$2,503.74",Open
HFP-20421,Hopkins Family Pears,"June 22, 2026",,"$3,890.00","$1,890.00",Open
OVF-20578,Orchard Valley Fruit Co.,06/28/2026,,"$2,590.11","$1,295.05",Open
CGP-20896,Cascade Glass Packaging,"June 29, 2026",,"$5,210.00","$5,210.00",Open
CRE-20524,Cedar Ridge Electric,2026-07-09,,$400.82,$400.82,Open
PCB-20618,Pacific Corrugated Box,07/10/2026,Net 60,"$2,960.00","$2,960.00",Open
OVF-20510,Orchard Valley Fruit Co.,"July 14, 2026",,"$8,240.00","$8,240.00",Open
LL-20681,Label Lab Printing,2026-07-16,,$582.50,$582.50,Open
HFP-20425,Hopkins Family Pears,"July 20, 2026",,"$1,594.90","$1,594.90",Open
LL-20691,Label Lab Printing,2026-07-21,,$622.11,$622.11,Open
HFP-20432,Hopkins Family Pears,07/28/2026,,"$2,304.54","$1,152.27",Open
SGW-20179,Summit Gas & Welding Supply,07/28/2026,,$310.37,$310.37,Open
CGP-20899,Cascade Glass Packaging,07/29/2026,,"$5,963.17","$2,981.58",Open
OVF-20613,Orchard Valley Fruit Co.,07/29/2026,,"$5,616.08","$5,616.08",Open
OVF-20594,Orchard Valley Fruit Co.,07/30/2026,,"$2,605.61","$2,605.61",Open
SGW-20216,Summit Gas & Welding Supply,08/01/2026,,$339.16,$339.16,Open
BSC-20757,Barrel & Stave Cooperage,"August 02, 2026",,"$4,161.35","$4,161.35",Open
SGW-20202,Summit Gas & Welding Supply,"August 03, 2026",,$372.87,$186.43,Open
PCB-20717,Pacific Corrugated Box,08/05/2026,,"$2,505.65","$1,879.24",Open
CGP-20917,Cascade Glass Packaging,"August 06, 2026",,"$3,766.60","$3,766.60",Open
CGP-20887,Cascade Glass Packaging,2026-08-10,,"$4,380.00","$4,380.00",Open
BSC-20703,Barrel & Stave Cooperage,"August 18, 2026",,"$5,757.27","$5,757.27",Open
LL-20609,Label Lab Printing,08/18/2026,,"$2,312.45","$2,312.45",Open
BSC-20685,Barrel & Stave Cooperage,2026-08-20,,"$6,900.00","$6,900.00",Draft
NLF-20384,Northline Freight,08/28/2026,,"$1,460.00","$1,460.00",Draft
PCB-20624,Pacific Corrugated Box,"August 29, 2026",,"$1,077.35","$1,077.35",Open
