customer,current,days_1_30,days_31_60,days_61_90,over_90,total,past_due
Juniper Street Cafe,4268.32,13680.92,0.00,0.00,10439.97,28389.21,24120.89
Harborview Oyster Bar,33993.98,21247.27,7571.73,966.07,1515.97,65295.02,31301.04
Tamarack Brewing,16826.05,2417.46,5465.20,1788.36,0.00,26497.07,9671.02
Ellington Bakeries,1630.71,7562.64,3031.81,0.00,0.00,12225.16,10594.45
The Saltwater Grill,106401.46,25672.27,725.93,0.00,0.00,132799.66,26398.20
Pier 9 Fish House,25944.57,10558.22,11686.45,4276.74,13225.55,65691.53,39746.96
Blue Heron Catering,23896.40,13244.56,2644.81,0.00,0.00,39785.77,15889.37
Nightjar Supper Club,2880.15,0.00,0.00,0.00,1887.97,4768.12,1887.97
Riverbend Bistro,27394.14,25489.20,13136.15,14859.42,3492.90,84371.81,56977.67
Copper Kettle Diner,5169.87,11911.24,0.00,1237.52,5902.56,24221.19,19051.32
Larkspur Hotel Kitchen,56630.48,6408.39,900.97,1427.23,0.00,65367.07,8736.59
Driftwood Taqueria,10713.17,14325.10,0.00,0.00,0.00,25038.27,14325.10
Mossbank Country Club,19282.19,8981.92,0.00,0.00,3569.19,31833.30,12551.11
Kingfisher Charters Galley,3904.90,4897.89,3948.49,2335.53,0.00,15086.81,11181.91
