Deposit Date,Customer,Applied To,Amount,Method
2026-03-11,Juniper Street Cafe,YS-31213,2462.21,Check
2026-03-18,Kingfisher Charters Galley,YS-31203,4300.81,Check
2026-03-20,Juniper Street Cafe,YS-31202,6022.24,ACH
2026-03-24,Nightjar Supper Club,YS-31216,7639.77,Check
2026-03-26,Harborview Oyster Bar,YS-31210,6956.40,Check
2026-03-26,Kingfisher Charters Galley,YS-31232,3250.72,ACH
2026-03-27,Ellington Bakeries,YS-31212,1760.83,ACH
2026-03-28,Juniper Street Cafe,YS-31229,5301.75,Check
2026-03-29,The Saltwater Grill,YS-31206,4442.03,Check
2026-03-30,Blue Heron Catering,YS-31223,919.47,Check
2026-03-31,Mossbank Country Club,YS-31214,1211.73,ACH
2026-04-02,Blue Heron Catering,YS-31201,7448.75,ACH
2026-04-05,Tamarack Brewing,YS-31209,5659.20,Check
2026-04-06,Copper Kettle Diner,YS-31250,4123.15,Check
2026-04-08,Copper Kettle Diner,YS-31226,2753.34,Check
2026-04-08,Ellington Bakeries,YS-31240,5452.63,Check
2026-04-09,Driftwood Taqueria,YS-31211,6143.13,ACH
2026-04-09,Larkspur Hotel Kitchen,YS-31219,6182.76,Check
2026-04-11,Harborview Oyster Bar,YS-31234,3805.16,ACH
2026-04-13,Tamarack Brewing,YS-31231,3182.04,ACH
2026-04-13,Kingfisher Charters Galley,YS-31257,1996.50,ACH
2026-04-16,The Saltwater Grill,YS-31222,8624.20,ACH
2026-04-17,Copper Kettle Diner,YS-31207,2576.86,ACH
2026-04-19,The Saltwater Grill,YS-31217,7911.43,ACH
2026-04-20,Harborview Oyster Bar,YS-31224,6194.39,ACH
2026-04-20,Larkspur Hotel Kitchen,YS-31243,1541.52,Check
2026-04-20,Juniper Street Cafe,YS-31262,2023.83,ACH
2026-04-22,The Saltwater Grill,YS-31237,8050.19,ACH
2026-04-22,The Saltwater Grill,YS-31238,11826.03,ACH
2026-04-22,The Saltwater Grill,YS-31258,5008.16,ACH
2026-04-22,Juniper Street Cafe,YS-31289,2288.47,Check
2026-04-23,Ellington Bakeries,YS-31273,6676.70,Check
2026-04-24,Nightjar Supper Club,YS-31280,2106.59,Check
2026-04-25,Mossbank Country Club,YS-31254,1189.73,ACH
2026-04-26,Harborview Oyster Bar,YS-31218,2089.31,ACH
2026-04-27,Driftwood Taqueria,YS-31259,1786.41,Check
2026-04-28,Driftwood Taqueria,YS-31309,1675.74,Check
2026-04-30,The Saltwater Grill,YS-31245,6794.69,ACH
2026-05-01,Blue Heron Catering,YS-31265,3476.69,ACH
2026-05-02,Blue Heron Catering,YS-31248,2195.36,ACH
2026-05-03,Copper Kettle Diner,YS-31271,5001.93,ACH
2026-05-03,Ellington Bakeries,YS-31301,1710.74,ACH
2026-05-04,Tamarack Brewing,YS-31244,4406.64,ACH
2026-05-05,Riverbend Bistro,YS-31236,3018.80,Check
2026-05-06,Larkspur Hotel Kitchen,YS-31204,2074.96,ACH
2026-05-06,Pier 9 Fish House,YS-31208,3775.04,ACH
2026-05-06,Riverbend Bistro,YS-31225,3141.00,ACH
