date,expected_deposit,deposited,variance,note
2026-08-01,629.19,629.19,0.00,
2026-08-02,489.50,489.50,0.00,
2026-08-04,475.95,475.95,0.00,
2026-08-05,656.06,659.56,3.50,Bag over against the close-of-day reports
2026-08-06,587.60,589.35,1.75,Bag over against the close-of-day reports
2026-08-07,842.10,842.10,0.00,
2026-08-08,833.20,833.20,0.00,
2026-08-09,694.10,684.10,-10.00,Bag short against the close-of-day reports
2026-08-11,531.86,531.86,0.00,
2026-08-12,342.64,342.64,0.00,
2026-08-13,323.04,323.04,0.00,
2026-08-14,546.59,546.59,0.00,
2026-08-15,588.44,588.44,0.00,
2026-08-16,560.57,555.57,-5.00,Bag short against the close-of-day reports
2026-08-18,328.93,328.93,0.00,
2026-08-19,352.49,352.49,0.00,
2026-08-20,637.50,637.50,0.00,
2026-08-21,841.98,841.98,0.00,
2026-08-22,466.43,476.43,10.00,Bank adjusted the 08/23 deposit by +10.00 after counting the bag
2026-08-23,557.54,557.54,0.00,
2026-08-25,440.57,440.57,0.00,
2026-08-26,661.15,661.15,0.00,
2026-08-27,506.43,506.43,0.00,
2026-08-28,691.73,691.73,0.00,
2026-08-29,883.55,883.55,0.00,
2026-08-30,833.50,833.50,0.00,
