ShearLine POS - Close of day (Z) reports
Location: Copper Comb Barber Co. | 08/01/2026 - 08/31/2026
Business Day,Drawer,Z Report,Starting Float,Cash Sales,Cash Refunds,Paid Outs,Paid Out Memo,Card Sales (incl tips),Card Tips,Cash Tips Declared,Cash Expected In Drawer
Sat 08/01/2026,Front desk,Z4590,150.00,774.91,0.00,0.00,,2394.75,241.67,123.40,924.91
Sat 08/01/2026,Retail counter,Z4591,150.00,95.95,0.00,0.00,,476.63,0.00,0.00,245.95
Sun 08/02/2026,Front desk,Z4592,150.00,562.53,0.00,15.26,coffee and creamer,2081.79,162.17,102.26,697.27
Sun 08/02/2026,Retail counter,Z4593,150.00,104.40,0.00,0.00,,464.55,0.00,0.00,254.40
Tue 08/04/2026,Front desk,Z4594,150.00,495.81,0.00,0.00,,1326.17,138.44,62.39,645.81
Tue 08/04/2026,Retail counter,Z4595,150.00,118.58,0.00,0.00,,454.38,0.00,0.00,268.58
Wed 08/05/2026,Front desk,Z4596,150.00,746.92,0.00,0.00,,1138.34,256.40,113.01,896.92
Wed 08/05/2026,Retail counter,Z4597,150.00,165.54,0.00,0.00,,391.75,0.00,0.00,315.54
Thu 08/06/2026,Front desk,Z4598,150.00,618.71,0.00,38.88,hot towel cabinet part,1677.89,167.96,99.29,729.83
Thu 08/06/2026,Retail counter,Z4599,150.00,175.73,0.00,0.00,,412.13,0.00,0.00,325.73
Fri 08/07/2026,Front desk,Z4600,150.00,914.26,0.00,0.00,,2125.18,191.60,122.05,1064.26
Fri 08/07/2026,Retail counter,Z4601,150.00,119.44,0.00,0.00,,351.94,0.00,0.00,269.44
Sat 08/08/2026,Front desk,Z4602,150.00,947.06,0.00,0.00,,2409.51,228.58,114.80,1097.06
Sat 08/08/2026,Retail counter,Z4603,150.00,114.72,0.00,0.00,,265.36,0.00,0.00,264.72
Sun 08/09/2026,Front desk,Z4604,150.00,726.69,0.00,0.00,,2131.70,159.69,122.61,876.69
Sun 08/09/2026,Retail counter,Z4605,150.00,127.10,0.00,0.00,,459.31,0.00,0.00,277.10
Tue 08/11/2026,Front desk,Z4606,150.00,646.51,0.00,0.00,,1308.74,229.75,74.04,796.51
Tue 08/11/2026,Retail counter,Z4607,150.00,115.10,0.00,0.00,,455.47,0.00,0.00,265.10
Wed 08/12/2026,Front desk,Z4608,150.00,429.39,0.00,0.00,,1347.55,228.93,41.37,579.39
Wed 08/12/2026,Retail counter,Z4609,150.00,183.70,41.52,0.00,,245.43,0.00,0.00,292.18
Thu 08/13/2026,Front desk,Z4610,150.00,412.05,0.00,0.00,,1257.95,206.94,77.12,562.05
Thu 08/13/2026,Retail counter,Z4611,150.00,146.81,28.88,0.00,,189.64,0.00,0.00,267.93
Fri 08/14/2026,Front desk,Z4612,150.00,759.41,0.00,0.00,,1656.30,257.12,45.22,909.41
Fri 08/14/2026,Retail counter,Z4613,150.00,44.30,0.00,0.00,,357.47,0.00,0.00,194.30
Sat 08/15/2026,Front desk,Z4614,150.00,572.52,0.00,0.00,,1495.23,114.15,46.69,722.52
Sat 08/15/2026,Retail counter,Z4615,150.00,154.50,24.43,0.00,,133.85,0.00,0.00,280.07
Sat 08/15/2026,Retail counter,Z4615 (reprint),150.00,154.50,24.43,0.00,,133.85,0.00,0.00,280.07
Sun 08/16/2026,Front desk,Z4616,150.00,651.04,0.00,33.20,stamps,2191.66,117.07,80.60,767.84
Sun 08/16/2026,Retail counter,Z4617,150.00,59.80,0.00,0.00,,143.76,0.00,0.00,209.80
Tue 08/18/2026,Front desk,Z4618,150.00,454.13,0.00,0.00,,1274.90,165.24,120.07,604.13
Tue 08/18/2026,Retail counter,Z4619,150.00,40.04,0.00,0.00,,322.10,0.00,0.00,190.04
Wed 08/19/2026,Front desk,Z4620,150.00,409.99,0.00,0.00,,1245.95,233.80,105.83,559.99
Wed 08/19/2026,Retail counter,Z4621,150.00,176.30,0.00,0.00,,220.56,0.00,0.00,326.30
Thu 08/20/2026,Front desk,Z4622,150.00,587.29,0.00,0.00,,1033.75,113.96,113.37,737.29
Thu 08/20/2026,Retail counter,Z4623,150.00,164.17,0.00,0.00,,203.58,0.00,0.00,314.17
Fri 08/21/2026,Front desk,Z4624,150.00,1017.79,0.00,0.00,,1824.12,253.26,95.87,1167.79
Fri 08/21/2026,Retail counter,Z4625,150.00,77.45,0.00,0.00,,291.59,0.00,0.00,227.45
Sat 08/22/2026,Front desk,Z4626,150.00,587.87,0.00,26.57,stamps,2216.12,151.44,45.49,711.30
Sat 08/22/2026,Retail counter,Z4627,150.00,56.57,0.00,0.00,,225.62,0.00,0.00,206.57
Sun 08/23/2026,Front desk,Z4628,150.00,631.42,0.00,0.00,,1896.13,122.05,81.08,781.42
Sun 08/23/2026,Retail counter,Z4629,150.00,48.17,0.00,0.00,,269.55,0.00,0.00,198.17
Tue 08/25/2026,Front desk,Z4630,150.00,615.81,0.00,0.00,,1236.34,222.15,109.30,765.81
Tue 08/25/2026,Retail counter,Z4631,150.00,80.66,33.75,0.00,,464.84,0.00,0.00,196.91
Wed 08/26/2026,Front desk,Z4632,150.00,647.86,0.00,12.08,towel service,1110.02,128.21,123.89,785.78
Wed 08/26/2026,Retail counter,Z4633,150.00,153.58,0.00,0.00,,177.55,0.00,0.00,303.58
Thu 08/27/2026,Front desk,Z4634,150.00,531.73,0.00,0.00,,1037.91,145.61,44.00,681.73
Thu 08/27/2026,Retail counter,Z4635,150.00,120.31,0.00,0.00,,424.35,0.00,0.00,270.31
Fri 08/28/2026,Front desk,Z4636,150.00,848.64,0.00,32.22,towel service,2335.14,229.42,111.06,966.42
Fri 08/28/2026,Retail counter,Z4637,150.00,104.73,0.00,0.00,,455.21,0.00,0.00,254.73
Sat 08/29/2026,Front desk,Z4638,150.00,933.48,0.00,0.00,,1737.36,169.99,43.19,1083.48
Sat 08/29/2026,Retail counter,Z4639,150.00,120.06,0.00,0.00,,197.71,0.00,0.00,270.06
Sun 08/30/2026,Front desk,Z4640,150.00,874.95,0.00,0.00,,1595.14,126.57,57.20,1024.95
