Summit Community Credit Union
Business Checking ****6630

Date,Description,Withdrawal,Deposit,Balance
08/01/2026,ATM DEPOSIT CU BRANCH 0412,,530.30,"8,667.81"
08/02/2026,ATM DEPOSIT CU BRANCH 0412,,629.19,"9,297.00"
08/03/2026,ACH DEBIT RIVERSIDE PROPERTIES RENT,"3,200.00",,"6,097.00"
08/03/2026,SHEARLINE PAYMENTS SETTLEMENT,,"2,069.63","8,166.63"
08/04/2026,ATM DEPOSIT CU BRANCH 0412,,489.50,"8,656.13"
08/04/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,344.55","12,000.68"
08/05/2026,ATM DEPOSIT CU BRANCH 0412,,475.95,"12,476.63"
08/05/2026,SHEARLINE PAYMENTS SETTLEMENT,,"2,339.87","14,816.50"
08/06/2026,ATM DEPOSIT CU BRANCH 0412,,659.56,"15,476.06"
08/06/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,484.55","18,960.61"
08/07/2026,ACH DEBIT PACIFIC GAS & ELECTRIC,291.70,,"18,668.91"
08/07/2026,ATM DEPOSIT CU BRANCH 0412,,589.35,"19,258.26"
08/07/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,209.96","22,468.22"
08/08/2026,ATM DEPOSIT CU BRANCH 0412,,842.10,"23,310.32"
08/09/2026,ATM DEPOSIT CU BRANCH 0412,,833.20,"24,143.52"
08/10/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,870.57","28,014.09"
08/11/2026,ATM DEPOSIT CU BRANCH 0412,,684.10,"28,698.19"
08/11/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,605.97","32,304.16"
08/12/2026,ATM DEPOSIT CU BRANCH 0412,,531.86,"32,836.02"
08/12/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,339.59","36,175.61"
08/13/2026,ATM DEPOSIT CU BRANCH 0412,,342.64,"36,518.25"
08/13/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,109.26","39,627.51"
08/14/2026,ACH DEBIT GUSTO PAYROLL,"5,798.13",,"33,829.38"
08/14/2026,ATM DEPOSIT CU BRANCH 0412,,323.04,"34,152.42"
08/14/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,817.81","37,970.23"
08/15/2026,ATM DEPOSIT CU BRANCH 0412,,546.59,"38,516.82"
08/16/2026,ATM DEPOSIT CU BRANCH 0412,,588.44,"39,105.26"
08/17/2026,SHEARLINE PAYMENTS SETTLEMENT,,"2,789.46","41,894.72"
08/18/2026,ATM DEPOSIT CU BRANCH 0412,,555.57,"42,450.29"
08/18/2026,SHEARLINE PAYMENTS SETTLEMENT,,"1,476.03","43,926.32"
08/19/2026,ATM DEPOSIT CU BRANCH 0412,,328.93,"44,255.25"
08/19/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,602.92","47,858.17"
08/20/2026,ATM DEPOSIT CU BRANCH 0412,,352.49,"48,210.66"
08/20/2026,POS PURCHASE BARBER DEPOT,213.41,,"47,997.25"
08/20/2026,SHEARLINE PAYMENTS SETTLEMENT,,"2,620.60","50,617.85"
08/21/2026,ATM DEPOSIT CU BRANCH 0412,,637.50,"51,255.35"
08/21/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,434.12","54,689.47"
08/22/2026,ATM DEPOSIT CU BRANCH 0412,,841.98,"55,531.45"
08/23/2026,ATM DEPOSIT CU BRANCH 0412,,466.43,"55,997.88"
08/24/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,872.95","59,870.83"
08/25/2026,ATM DEPOSIT CU BRANCH 0412,,557.54,"60,428.37"
08/25/2026,SHEARLINE PAYMENTS SETTLEMENT,,"2,052.87","62,481.24"
08/26/2026,ATM DEPOSIT CU BRANCH 0412,,440.57,"62,921.81"
08/26/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,101.24","66,023.05"
08/27/2026,ATM DEPOSIT CU BRANCH 0412,,661.15,"66,684.20"
08/27/2026,SHEARLINE PAYMENTS SETTLEMENT,,"1,535.93","68,220.13"
08/28/2026,ACH DEBIT GUSTO PAYROLL,"6,225.43",,"61,994.70"
08/28/2026,ATM DEPOSIT CU BRANCH 0412,,506.43,"62,501.13"
08/28/2026,DEPOSIT ADJUSTMENT - ATM DEP 08/23/26 COUNT DIFFERENCE,,10.00,"62,511.13"
08/28/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,761.65","66,272.78"
08/29/2026,ATM DEPOSIT CU BRANCH 0412,,691.73,"66,964.51"
08/30/2026,ATM DEPOSIT CU BRANCH 0412,,883.55,"67,848.06"
08/31/2026,SHEARLINE PAYMENTS SETTLEMENT,,"1,811.17","69,659.23"
09/01/2026,ATM DEPOSIT CU BRANCH 0412,,833.50,"70,492.73"
09/01/2026,SHEARLINE PAYMENTS SETTLEMENT,,"1,696.76","72,189.49"
09/02/2026,SHEARLINE PAYMENTS SETTLEMENT,,"2,374.63","74,564.12"
09/03/2026,SHEARLINE PAYMENTS SETTLEMENT,,"2,629.63","77,193.75"
09/04/2026,SHEARLINE PAYMENTS SETTLEMENT,,"3,676.57","80,870.32"
