Date,Description,Amount,Balance
03/01/2026,Opening balance,,"41,250.00"
03/31/2026,DIVIDEND EARNED,29.74,"41,279.74"
04/01/2026,TRANSFER FROM CHECKING XXXXXX2210,"3,000.00","44,279.74"
04/15/2026,IRS USATAXPYMT 2026 Q1 ESTIMATE,"(8,096.45)","36,183.29"
04/27/2026,TRANSFER FROM CHECKING XXXXXX2210,"3,500.00","39,683.29"
04/30/2026,DIVIDEND EARNED,36.79,"39,720.08"
05/25/2026,TRANSFER FROM CHECKING XXXXXX2210,"2,500.00","42,220.08"
05/31/2026,DIVIDEND EARNED,28.99,"42,249.07"
06/10/2026,TRANSFER TO CHECKING XXXXXX2210,"(15,000.00)","27,249.07"
06/15/2026,IRS USATAXPYMT 2026 Q2 ESTIMATE,"(9,328.95)","17,920.12"
06/30/2026,DIVIDEND EARNED,20.85,"17,940.97"
06/30/2026,EXCESS WITHDRAWAL FEE,(15.00),"17,925.97"
07/31/2026,DIVIDEND EARNED,29.38,"17,955.35"
08/03/2026,TRANSFER FROM CHECKING XXXXXX2210,"3,000.00","20,955.35"
08/25/2026,TRANSFER FROM CHECKING XXXXXX2210,"3,000.00","23,955.35"
08/31/2026,DIVIDEND EARNED,38.00,"23,993.35"
