First Meridian Bank - Business Checking XXXXXX2210
Transactions 03/01/2026 through 09/02/2026

Posting Date,Description,Debit,Credit,Status
03/01/2026,CHECK 1403 HARBORVIEW COMMISSARY KITCHEN RENT,6850.00,,Posted
03/02/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,5943.45,Posted
03/03/2026,SQUARE INC DEPOSIT 0303 FERNWOOD CATERI,,1199.27,Posted
03/04/2026,ACH DEBIT SYSCO SEATTLE,4687.48,,Posted
03/04/2026,SQUARE INC DEPOSIT 0304 FERNWOOD CATERI,,1337.14,Posted
03/05/2026,SQUARE INC DEPOSIT 0305 FERNWOOD CATERI,,1751.37,Posted
03/06/2026,SQUARE INC DEPOSIT 0306 FERNWOOD CATERI,,1284.43,Posted
03/09/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,5391.90,Posted
03/09/2026,DEBIT CARD NIGHTJAR COFFEE ROASTERS,713.72,,Posted
03/09/2026,SQUARE INC DEPOSIT 0309 FERNWOOD CATERI,,1940.33,Posted
03/10/2026,SQUARE INC DEPOSIT 0310 FERNWOOD CATERI,,988.39,Posted
03/11/2026,SQUARE INC DEPOSIT 0311 FERNWOOD CATERI,,1499.92,Posted
03/12/2026,ACH DEBIT GUSTO PAYROLL NET,11455.77,,Posted
03/12/2026,ACH DEBIT GUSTO TAX,2795.13,,Posted
03/12/2026,SQUARE INC DEPOSIT 0312 FERNWOOD CATERI,,1942.81,Posted
03/16/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,3044.02,Posted
03/17/2026,DEBIT CARD RESTAURANT DEPOT,1898.14,,Posted
03/18/2026,SQUARE INC DEPOSIT 0318 FERNWOOD CATERI,,1669.34,Posted
03/20/2026,ACH DEBIT PUGET SOUND ENERGY,2175.09,,Posted
03/20/2026,SQUARE INC DEPOSIT 0320 FERNWOOD CATERI,,1277.66,Posted
03/20/2026,WA DEPT REVENUE SALES TAX,2078.22,,Posted
03/23/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,4777.39,Posted
03/23/2026,SQUARE INC DEPOSIT 0323 FERNWOOD CATERI,,1219.94,Posted
03/24/2026,ACH DEBIT PARTY RENTAL LTD LINENS TENTS,2124.32,,Posted
03/24/2026,SQUARE INC DEPOSIT 0324 FERNWOOD CATERI,,1947.78,Posted
03/26/2026,ACH DEBIT GUSTO PAYROLL NET,10045.53,,Posted
03/26/2026,ACH DEBIT GUSTO TAX,3296.38,,Posted
03/26/2026,SQUARE INC DEPOSIT 0326 FERNWOOD CATERI,,1875.27,Posted
03/27/2026,SQUARE INC DEPOSIT 0327 FERNWOOD CATERI,,1783.64,Posted
03/30/2026,SQUARE INC DEPOSIT 0330 FERNWOOD CATERI,,581.34,Posted
03/31/2026,MONTHLY SERVICE FEE,25.00,,Posted
03/31/2026,ONLINE TRANSFER TO SAVINGS XXXXXX4471,3000.00,,Posted
03/31/2026,SQUARE INC DEPOSIT 0331 FERNWOOD CATERI,,1166.21,Posted
04/01/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,6034.57,Posted
04/01/2026,CHECK 1404 HARBORVIEW COMMISSARY KITCHEN RENT,6850.00,,Posted
04/01/2026,SQUARE INC DEPOSIT 0401 FERNWOOD CATERI,,1838.22,Posted
04/02/2026,SQUARE INC DEPOSIT 0402 FERNWOOD CATERI,,2022.74,Posted
04/03/2026,SQUARE INC DEPOSIT 0403 FERNWOOD CATERI,,2278.16,Posted
04/06/2026,SQUARE INC DEPOSIT 0406 FERNWOOD CATERI,,1634.83,Posted
04/07/2026,SQUARE INC DEPOSIT 0407 FERNWOOD CATERI,,1649.65,Posted
04/08/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,7365.18,Posted
04/08/2026,DEBIT CARD NIGHTJAR COFFEE ROASTERS,660.88,,Posted
04/08/2026,SQUARE INC DEPOSIT 0408 FERNWOOD CATERI,,1614.36,Posted
04/09/2026,ACH DEBIT SYSCO SEATTLE,3376.89,,Posted
04/09/2026,SQUARE INC DEPOSIT 0409 FERNWOOD CATERI,,953.86,Posted
04/10/2026,SQUARE INC DEPOSIT 0410 FERNWOOD CATERI,,1677.84,Posted
04/13/2026,ACH DEBIT GUSTO PAYROLL NET,9414.17,,Posted
04/13/2026,ACH DEBIT GUSTO TAX,3090.23,,Posted
04/13/2026,SQUARE INC DEPOSIT 0413 FERNWOOD CATERI,,1444.87,Posted
04/14/2026,DEBIT CARD RESTAURANT DEPOT,3200.02,,Posted
04/14/2026,OUTGOING WIRE HOBART COMBI OVEN,18400.00,,Posted
