sku,name,category,pack_qty,unit_size,unit,price
18905,Sparkling Water Lime,Beverages,6,330,ml,8.49
47403,Sparkling Water Grapefruit,Beverages,6,330,ml,7.99
14235,Kombucha Ginger,Beverages,1,473,ml,2.49
26816,Cold Brew Coffee,Beverages,1,500,ml,2.49
17827,Oat Milk Barista,Dairy & Eggs,1,1000,ml,3.49
42568,Orange Juice Pulp Free,Beverages,1,1000,ml,3.99
41049,Apple Cider Vinegar,Pantry,1,473,ml,1.99
34978,Maple Syrup Grade A,Pantry,1,473,ml,4.49
23859,Coconut Water,Beverages,12,355,ml,19.49
16251,Root Beer,Beverages,6,330,ml,8.99
42072,Whole Milk,Dairy & Eggs,1,2000,ml,8.99
11957,Greek Yogurt Plain,Dairy & Eggs,1,500,g,6.49
35646,Butter Unsalted,Dairy & Eggs,1,250,g,2.49
38461,Free Range Eggs Large,Dairy & Eggs,1,12,ea,2.49
49909,Cheddar Aged,Dairy & Eggs,1,250,g,2.49
10238,Rolled Oats,Bulk,1,1000,g,12.49
39288,Brown Rice Long Grain,Bulk,1,1000,g,10.99
27554,Red Lentils,Bulk,1,1000,g,13.49
25092,Raw Almonds,Bulk,1,1000,g,24.49
48841,Chickpeas Dried,Bulk,1,1000,g,13.49
16799,Trail Mix,Snacks,1,300,g,2.99
30903,Dark Chocolate 70%,Snacks,3,100,g,2.99
12104,Sea Salt Kettle Chips,Snacks,1,227,g,2.99
11562,Granola Bars Honey Oat,Snacks,6,35,g,1.99
11767,Peanut Butter Crunchy,Pantry,1,340,g,3.49
45582,Tomato Passata,Pantry,1,680,g,6.49
10703,Spaghetti Durum,Pantry,1,1000,g,9.49
35082,Crushed Tomatoes,Pantry,2,796,ml,7.49
24295,Black Beans,Pantry,2,796,ml,8.49
37763,Green Tea,Pantry,1,20,ea,4.99
12003,Chamomile Tea,Pantry,2,20,ea,9.99
24628,Laundry Liquid Unscented,Home & Cleaning,1,2000,ml,8.49
38797,All Purpose Cleaner Refill,Home & Cleaning,1,3000,ml,11.49
42593,Compostable Trash Bags,Home & Cleaning,1,30,ea,7.99
46332,Beeswax Wraps,Home & Cleaning,2,1,ea,3.99
25375,Sponges Plant Based,Home & Cleaning,1,2,ea,3.99
32755,Shampoo Bar Rosemary,Personal Care,1,200,g,3.99
25230,Toothpaste Fluoride Free,Personal Care,1,100,ml,3.99
24438,Cotton Swabs Bamboo,Personal Care,1,200,ea,7.49
40220,Body Wash Lavender,Personal Care,1,500,ml,3.99
29091,Deodorant Stick,Personal Care,1,75,g,3.99
11508,Hand Soap Refill,Personal Care,1,1500,ml,5.49
37374,Lip Balm,Personal Care,2,1,ea,3.99
16653,Coconut Yogurt,Dairy & Eggs,1,750,g,7.49
22283,Almond Milk Unsweetened,Dairy & Eggs,1,946,ml,4.99
29524,Sourdough Crackers,Snacks,1,150,g,1.99
18022,Seaweed Snacks,Snacks,6,5,g,1.99
31903,Lemonade Sparkling,Beverages,4,355,ml,5.99
42920,Ginger Beer,Beverages,4,355,ml,6.99
43373,Cashews Roasted,Bulk,1,1000,g,22.49
