Notice ID,Case ID,Notice Date,Notice Type,Order #,Card,Reason,Transaction Amount,Disputed Amount,Respond By (est.),Message
N902100,DP-7734100,"Jun 16, 2026",Chargeback,FC-59442,**** 8809,4837 No cardholder authorization,$241.85,$241.85,"Jun 26, 2026",Funds withdrawn
N902105,DP-7734137,"Jun 23, 2026",Chargeback,FC-59649,**** 8114,10.4 Fraud - card absent,$142.82,$142.82,"Jul 03, 2026",Funds withdrawn
N902110,DP-7734174,"Jun 26, 2026",Chargeback,FC-61109,**** 1019,13.6 Credit not processed,$197.77,$197.77,"Jul 06, 2026",Funds withdrawn
N902115,DP-7734211,"Jun 29, 2026",Chargeback,FC-60190,**** 7635,13.2 Cancelled recurring,$46.99,$46.99,"Jul 09, 2026",Funds withdrawn
N902120,DP-7734248,"Jul 08, 2026",Chargeback,FC-61518,**** 3408,4853 Cardholder dispute,$257.17,$128.59,"Jul 18, 2026",Funds withdrawn
N902125,DP-7734285,"Jul 15, 2026",Chargeback,FC-61489,**** 9897,13.1 Merchandise not received,$216.34,$216.34,"Jul 25, 2026",Funds withdrawn
N902130,DP-7733900,"Jul 17, 2026",Retrieval Request,FC-60557,**** 4967,RR Retrieval request - copy of receipt,$80.65,$80.65,"Jul 27, 2026",Provide receipt; no funds withdrawn
N902135,DP-7734322,"Jul 20, 2026",Chargeback,FC-61951,**** 1231,13.2 Cancelled recurring,$51.83,$51.83,"Jul 30, 2026",Funds withdrawn
N902140,DP-7734359,"Jul 21, 2026",Chargeback,FC-58588,**** 5105,4837 No cardholder authorization,$100.57,$100.57,"Jul 31, 2026",Funds withdrawn
N902145,DP-7734359,"Jul 27, 2026",Amendment,FC-58588,**** 5105,4837 No cardholder authorization,$100.57,$50.28,"Aug 06, 2026",Issuer amended disputed amount from 100.57 to 50.28; difference credited
N902150,DP-7734396,"Jul 27, 2026",Chargeback,FC-58982,**** 4633,10.4 Fraud - card absent,$194.21,$194.21,"Aug 06, 2026",Funds withdrawn
N902155,DP-7733911,"Aug 03, 2026",Retrieval Request,FC-58975,**** 4060,RR Retrieval request - copy of receipt,$44.62,$44.62,"Aug 13, 2026",Provide receipt; no funds withdrawn
N902160,DP-7734433,"Aug 05, 2026",Chargeback,FC-60267,**** 3282,13.1 Merchandise not received,$117.49,$117.49,"Aug 15, 2026",Funds withdrawn
N902165,DP-7734433,"Aug 10, 2026",Reminder,FC-60267,**** 3282,13.1 Merchandise not received,$117.49,$117.49,"Aug 20, 2026",No response received yet
N902170,DP-7734470,"Aug 10, 2026",Chargeback,FC-59776,**** 6195,4837 No cardholder authorization,$58.34,$58.34,"Aug 20, 2026",Funds withdrawn
N902175,DP-7734507,"Aug 11, 2026",Chargeback,FC-61784,**** 9323,13.3 Not as described,$58.25,$58.25,"Aug 21, 2026",Funds withdrawn
N902180,DP-7734544,"Aug 12, 2026",Chargeback,FC-58502,**** 6410,4853 Cardholder dispute,$106.85,$106.85,"Aug 22, 2026",Funds withdrawn
N902185,DP-7734507,"Aug 14, 2026",Reminder,FC-61784,**** 9323,13.3 Not as described,$58.25,$58.25,"Aug 24, 2026",No response received yet
N902190,DP-7734581,"Aug 17, 2026",Chargeback,FC-59392,**** 3045,13.2 Cancelled recurring,$62.21,$62.21,"Aug 27, 2026",Funds withdrawn
N902195,DP-7734618,"Aug 24, 2026",Chargeback,FC-59032,**** 5713,13.2 Cancelled recurring,$111.87,$111.87,"Sep 03, 2026",Funds withdrawn
N902200,DP-7734655,"Aug 28, 2026",Chargeback,FC-61939,**** 4351,4853 Cardholder dispute,$108.20,$108.20,"Sep 07, 2026",Funds withdrawn
N902205,DP-7734692,"Sep 01, 2026",Chargeback,FC-59564,**** 4997,4837 No cardholder authorization,$147.57,$147.57,"Sep 11, 2026",Funds withdrawn
N902210,DP-7734729,"Sep 01, 2026",Chargeback,FC-61846,**** 7891,4837 No cardholder authorization,$225.46,$225.46,"Sep 11, 2026",Funds withdrawn
N902215,DP-7734692,"Sep 04, 2026",Reminder,FC-59564,**** 4997,4837 No cardholder authorization,$147.57,$147.57,"Sep 14, 2026",No response received yet
N902220,DP-7734766,"Sep 09, 2026",Chargeback,FC-61744,**** 9542,13.6 Credit not processed,$252.59,$101.04,"Sep 19, 2026",Funds withdrawn
