Line ID,Date,Old Account,New Account,New Account Name,Amount,Memo,Mapping Note
JL-02251,01/04/2026,6310,6400,Vehicle Expenses,58.15,,
JL-07985,01/05/2026,6440,6800,Licenses & Permits,89.17,see receipt,
JL-04376,01/06/2026,6440,6800,Licenses & Permits,150.54,see receipt,
JL-05745,01/07/2026,6320,6400,Vehicle Expenses,1785.91,,
JL-09772,01/10/2026,4020,4100,Service Revenue,8211.06,Job 2295,
JL-07845,01/11/2026,4010,4100,Service Revenue,1910.31,Job 2355,
JL-08900,01/11/2026,4020,4100,Service Revenue,2231.00,Job 2322,
JL-07366,01/12/2026,4010,4100,Service Revenue,679.70,Job 2361,
JL-04826,01/13/2026,5030,5200,Subcontractors,4240.74,Materials job 2349,
JL-01335,01/14/2026,5010,5100,Job Materials,1856.00,Materials job 2217,
JL-01003,01/17/2026,4020,4100,Service Revenue,4692.57,Job 2356,
JL-03981,01/17/2026,5010,5100,Job Materials,1004.47,Materials job 2204,
JL-05955,01/18/2026,6330,6400,Vehicle Expenses,410.00,monthly,
JL-09304,01/18/2026,6725,,,337.50,reimb,NEEDS MAPPING
JL-05169,01/20/2026,4020,4100,Service Revenue,1778.99,Job 2342,
JL-06450,01/22/2026,6320,6400,Vehicle Expenses,900.82,,
JL-02075,01/23/2026,6310,6400,Vehicle Expenses,91.71,,
JL-09085,01/23/2026,6999,,,574.18,monthly,NEEDS MAPPING
JL-05292,01/26/2026,4020,4100,Service Revenue,2143.74,Job 2339,
JL-05961,01/27/2026,6130,6600,Telecommunications,189.45,see receipt,
JL-07685,01/31/2026,6180,1520,Tools & Equipment,3930.22,Trailer-mounted wire puller,
JL-07294,02/01/2026,4020,4100,Service Revenue,5612.32,Job 2364,
JL-07286,02/01/2026,6110,6600,Telecommunications,114.15,,
JL-02020,02/02/2026,6320,6400,Vehicle Expenses,1560.31,,
JL-03683,02/04/2026,6180,1520,Tools & Equipment,4285.65,Trailer-mounted wire puller,
JL-03086,02/05/2026,6320,6400,Vehicle Expenses,1649.06,,
JL-04914,02/07/2026,4030,4200,Materials Billed,1457.82,Job 2372,
JL-05703,02/09/2026,5010,5100,Job Materials,420.66,Materials job 2399,
JL-06472,02/10/2026,5020,5100,Job Materials,1065.88,Materials job 2217,
JL-01909,02/16/2026,4030,4200,Materials Billed,143.97,Job 2241,
JL-01588,02/17/2026,6440,6800,Licenses & Permits,151.19,see receipt,
JL-08886,02/18/2026,4010,4100,Service Revenue,2313.49,Job 2211,
JL-07846,02/20/2026,6170,6150,Small Tools & Supplies,75.80,reimb,
JL-03308,02/21/2026,6180,6150,Small Tools & Supplies,946.59,Fish tape,
JL-09058,02/21/2026,6330,6400,Vehicle Expenses,410.00,monthly,
JL-02337,02/23/2026,5010,5100,Job Materials,2035.17,Materials job 2353,
JL-03480,02/26/2026,4010,4100,Service Revenue,2284.47,Job 2385,
JL-06779,02/26/2026,4010,4100,Service Revenue,-198.78,Job 2300,
JL-07736,03/04/2026,4020,4100,Service Revenue,3876.18,Job 2383,
JL-01576,03/09/2026,4010,4100,Service Revenue,636.73,Job 2310,
