Tanager Electric LLC
Transaction Detail by Account
January 1 through August 31, 2026

Line ID,Type,Date,Name,Memo,Account,Amount
JL-02251,Check,01/04/2026,Chevron,,6300 · Vehicle Expense:6310 · Fuel,58.15
JL-07985,Bill,01/05/2026,City of Portland BDS,see receipt,6440 · Permits,89.17
JL-04376,Check,01/06/2026,City of Portland BDS,see receipt,6440 · Permits,150.54
JL-05745,Check,01/07/2026,Firestone Complete Auto,,6300 · Vehicle Expense:6320 · Vehicle Repairs,"1,785.91"
JL-09772,Invoice,01/10/2026,Harborview HOA,Job 2295,4000 · Service Revenue:4020 · Commercial Service,"8,211.06"
JL-07845,Invoice,01/11/2026,R. Castillo,Job 2355,4000 · Service Revenue:4010 · Residential Service,"1,910.31"
JL-08900,Invoice,01/11/2026,Harborview HOA,Job 2322,4000 · Service Revenue:4020 · Commercial Service,"2,231.00"
JL-07366,Invoice,01/12/2026,Alder Creek School District,Job 2361,4000 · Service Revenue:4010 · Residential Service,679.70
JL-04826,Credit Card Charge,01/13/2026,Voltline Subcontracting,Materials job 2349,5030 · Subcontract Labor,"4,240.74"
JL-01335,Bill,01/14/2026,Graybar,Materials job 2217,5000 · Job Materials:5010 · Wire & Conduit,"1,856.00"
JL-01003,Invoice,01/17/2026,Alder Creek School District,Job 2356,4000 · Service Revenue:4020 · Commercial Service,"4,692.57"
JL-03981,Credit Card Charge,01/17/2026,CED Portland,Materials job 2204,5000 · Job Materials:5010 · Wire & Conduit,"1,004.47"
JL-05955,Credit Card Charge,01/18/2026,Progressive Commercial,monthly,6300 · Vehicle Expense:6330 · Vehicle Insurance,410.00
JL-09304,Credit Card Charge,01/18/2026,Oregon Food Bank,reimb,6725 · Charitable Contributions,337.50
JL-05169,Invoice,01/20/2026,Alder Creek School District,Job 2342,4000 · Service Revenue:4020 · Commercial Service,"1,778.99"
JL-06450,Credit Card Charge,01/22/2026,Firestone Complete Auto,,6300 · Vehicle Expense:6320 · Vehicle Repairs,900.82
