invoice,customer,balance
INV-30425,Barkside Grooming,1042.99
INV-30475,Barkside Grooming,958.39
INV-30451,Bayside Bark & Bath,1049.08
INV-30468,Fin & Feather Aquatics,1152.47
INV-30464,Four Paws Farm Store,1567.64
INV-30417,Hound Hollow Grooming,1553.49
INV-30432,Hound Hollow Grooming,1665.29
INV-30469,Hound Hollow Grooming,705.87
INV-30421,Kitty Corner Pet Shop,308.83
INV-30449,Kitty Corner Pet Shop,1081.70
INV-30478,Mountain Mutt Outfitters,0.00
INV-30483,Mountain Mutt Outfitters,501.18
INV-30420,Mudroom Dog Wash,1950.16
INV-30481,Mudroom Dog Wash,3137.12
INV-30485,Mudroom Dog Wash,0.00
INV-30423,Scratch & Sniff Pets,3597.61
INV-30460,Scratch & Sniff Pets,1007.14
INV-30486,Scratch & Sniff Pets,944.73
INV-30429,The Feed Bin,0.00
INV-30433,The Feed Bin,0.00
INV-30434,Whisker Lane Pets,1182.70
INV-30472,Whisker Lane Pets,945.77
INV-30473,Whisker Lane Pets,664.45
