Invoice,Invoice Date,Customer,SKU,Description,Qty,List Price,Cust Discount,Unit Price,Line Total
INV-30383,06/05/2026,Scratch & Sniff Pets,KC-TY-RO,Rope toy assortment (case of 24),3,71.30,8%,65.60,196.80
INV-30383,06/05/2026,Scratch & Sniff Pets,KC-LE-6,Nylon leash 6 ft (case of 10),13,63.50,8%,58.42,759.46
INV-30383,06/05/2026,Scratch & Sniff Pets,KC-TR-SB,Salmon bites treats 12 oz (case of 12),8,86.00,8%,79.12,632.96
INV-30384,06/08/2026,Mountain Mutt Outfitters,KC-LE-6,Nylon leash 6 ft (case of 10),11,63.50,12%,55.88,614.68
INV-30384,06/08/2026,Mountain Mutt Outfitters,KC-TY-RO,Rope toy assortment (case of 24),4,71.30,12%,62.74,250.96
INV-30384,06/08/2026,Mountain Mutt Outfitters,KC-CH-BU,Bully sticks 6 in (bulk 50),13,96.40,12%,84.83,"1,102.79"
INV-30384,06/08/2026,Mountain Mutt Outfitters,KC-CF-16,Indoor cat food 16 lb,9,41.20,12%,36.26,326.34
INV-30384,06/08/2026,Mountain Mutt Outfitters,KC-AQ-FL,Aquarium filter cartridges (24),8,52.80,12%,46.46,371.68
INV-30385,06/09/2026,Barkside Grooming,KC-BR-SL,Slicker brush (case of 6),9,47.10,10%,42.39,381.51
INV-30385,06/09/2026,Barkside Grooming,KC-TR-SB,Salmon bites treats 12 oz (case of 12),10,86.00,10%,77.40,774.00
INV-30385,06/09/2026,Barkside Grooming,KC-SH-OAT,Oatmeal shampoo 1 gal,10,34.90,10%,31.41,314.10
INV-30385,06/09/2026,Barkside Grooming,KC-LE-6,Nylon leash 6 ft (case of 10),9,63.50,10%,57.15,514.35
INV-30387,06/19/2026,Whisker Lane Pets,KC-CL-PRO,Professional clipper kit,4,189.00,12%,166.32,665.28
INV-30387,06/19/2026,Whisker Lane Pets,KC-LE-6,Nylon leash 6 ft (case of 10),10,63.50,12%,55.88,558.80
INV-30387,06/19/2026,Whisker Lane Pets,KC-AQ-FL,Aquarium filter cartridges (24),4,52.80,12%,46.46,185.84
INV-30388,06/19/2026,Scratch & Sniff Pets,KC-SH-OAT,Oatmeal shampoo 1 gal,4,34.90,8%,32.11,128.44
INV-30388,06/19/2026,Scratch & Sniff Pets,KC-DF-30,Grain-free dog food 30 lb,14,58.40,8%,53.73,752.22
INV-30388,06/19/2026,Scratch & Sniff Pets,KC-CH-BU,Bully sticks 6 in (bulk 50),13,96.40,8%,88.69,"1,152.97"
INV-30388,06/19/2026,Scratch & Sniff Pets,KC-LE-6,Nylon leash 6 ft (case of 10),5,63.50,8%,58.42,292.10
INV-30390,06/23/2026,Mountain Mutt Outfitters,KC-AQ-FL,Aquarium filter cartridges (24),7,52.80,12%,46.46,325.22
INV-30390,06/23/2026,Mountain Mutt Outfitters,KC-BR-SL,Slicker brush (case of 6),11,47.10,12%,41.45,455.95
INV-30390,06/23/2026,Mountain Mutt Outfitters,KC-DT-KIT,Dental care kit (case of 12),8,68.90,12%,60.63,485.04
