Ref No.,Type,Vendor,Invoice No.,Invoice Date,Due Date,Amount,Memo
BILL-1801,Bill,IVY LANE FLORIST INC,INV370,Apr 03 2026,May 03 2026,"5,791.96",Safety supplies
BILL-1802,Bill,Blue Heron Consulting Inc,382,Apr 06 2026,May 21 2026,"$6,020.54",Safety supplies
BILL-1803,Bill,Thistle & Thread Alterations Inc.,No. 883,Apr 06 2026,Apr 21 2026,"$6,067.12",Equipment rental wk 36
BILL-1804,Bill,  Driftwood Studio Inc.,INV-884,Apr 07 2026,May 07 2026,"1,986.16 USD",Equipment rental wk 36
BILL-1805,Bill,BLUE HERON CONSULTING INC,#695,04/09/2026,05/24/2026,8202.68,Equipment rental wk 32
BILL-1806,Bill,Copperfield Law  ,170,04/09/2026,04/24/2026,"$4,729.86",Job 4452 gutters
BILL-1807,Bill,TAMARACK BREWING CO.,831,04/14/2026,05/14/2026,"$9,131.99",Fuel - crew trucks
BILL-1808,Bill,Kingfisher  Charters LLC,#110,"April 15, 2026","May 30, 2026","$ 8,754.78",Job 4440 underlayment
BILL-1809,Bill,Northfield Auto Body LLC,No. 232,Apr 15 2026,May 15 2026,"8,065.93",Job 4425 gutters
BILL-1810,Bill,"Ironwood Fabrication, LLC",809,"April 16, 2026","May 16, 2026",5029.90,Job 4460 underlayment
BILL-1811,Bill,Cedar & Pine Landscaping,INV-273,"April 20, 2026","May 20, 2026","2,100.51 USD",Delivery to yard
BILL-1812,Bill,Quarry Road Nursery,Inv #799,04/20/2026,05/20/2026,"$ 1,519.38",Job 4476 gutters
BILL-1813,Bill,ivy lane florist llc,Inv #758,Apr 22 2026,May 22 2026,"$ 8,621.17",Fuel - crew trucks
BILL-1814,Bill,"Thistle & Thread Alterations, LLC",INV649,Apr 23 2026,May 08 2026,"$9,080.89",Delivery to yard
BILL-1815,Bill,"Ironwood Fabrication, LLC",488,2026-04-27,2026-05-27,"5,653.40 USD",Permit fees job 4440
BILL-1816,Bill,Copperfield Law Inc.,No. 584,May 04 2026,May 19 2026,"$1,843.59",Fuel - crew trucks
BILL-1817,Bill,DRIFTWOOD STUDIO,INV-135,2026-05-05,2026-06-04,"$3,729.70",Delivery to yard
BILL-1818,Bill,TAMARACK BREWING INC.,INV-609,May 06 2026,Jun 05 2026,"2,267.15 USD",Job 4445 underlayment
BILL-1819,Bill,Westbrook Plumbing Inc,INV194,"May 11, 2026","June 25, 2026","3,915.32",Delivery to yard
BILL-1820,Bill,Northfield Auto Body  ,INV842,2026-05-12,2026-06-11,"1,819.82 USD",Job 4489 flashing and drip edge
BILL-1821,Bill,Cedar and Pine Landscaping,#833,05/13/2026,06/12/2026,"$6,731.93",Safety supplies
BILL-1822,Bill,"Silverline Logistics, LLC",INV258,05/14/2026,05/29/2026,441.39,Job 4420 gutters
BILL-1823,Bill,WESTBROOK PLUMBING,INV257,May 15 2026,Jun 29 2026,9147.94,Job 4443 flashing and drip edge
BILL-1824,Bill,Hollowell Electric,INV856,"May 18, 2026","June 02, 2026","$ 9,446.10",Job 4429 flashing and drip edge
BILL-1825,Bill,Hollowell Electric Inc,389,"May 20, 2026","June 04, 2026","$ 6,034.63",Job 4451 - shingles
BILL-1826,Bill,Blue Heron Consulting Inc,127,May 21 2026,Jul 05 2026,"$4,291.17",Job 4491 - shingles
BILL-1827,Bill,Cedar  & Pine Landscaping Co.,Inv #690,05/21/2026,06/20/2026,"4,588.09 USD",Permit fees job 4490
BILL-1828,Bill,Silverline Logistics,271,May 21 2026,Jun 05 2026,542.90 USD,Job 4497 dumpster
BILL-1829,Bill,WESTBROOK PLUMBING CO.,INV-467,May 26 2026,Jul 10 2026,"2,780.06",Safety supplies
BILL-1830,Bill,Kingfisher Charters Inc,782,06/02/2026,07/17/2026,"7,974.43 USD",Delivery to yard
BILL-1831,Bill,  Copperfield Law,#338,Jun 04 2026,Jun 19 2026,"$ 8,570.24",Job 4461 materials
BILL-1832,Bill,Silverline Logistics  ,106,"June 10, 2026","June 25, 2026",4018.22,Job 4428 underlayment
BILL-1833,Bill,"Quarry Road Nursery, LLC",INV857,2026-06-11,2026-07-11,3050.43,Safety supplies
BILL-1834,Bill,Westbrook Plumbing Inc,625,2026-06-12,2026-07-27,"$8,133.87",Delivery to yard
BILL-1835,Bill,Ironwood Fabrication Inc.,INV486,Jun 12 2026,Jul 12 2026,"4,995.35",Delivery to yard
BILL-1836,Bill,Driftwood Studio,INV-262,"June 15, 2026","July 15, 2026","$9,007.37",Equipment rental wk 35
BILL-1837,Bill,IRONWOOD FABRICATION INC.,237,06/16/2026,07/16/2026,"5,107.95 USD",Equipment rental wk 28
BILL-1838,Bill,Quarry Road Nursery LLC,710,2026-06-22,2026-07-22,5944.42,Fuel - crew trucks
BILL-1839,Bill,  Silverline Logistics,Inv #468,2026-06-23,2026-07-08,"4,808.29",Job 4466 flashing and drip edge
BILL-1840,Bill,tamarack brewing inc,196,Jun 24 2026,Jul 24 2026,8479.36,Permit fees job 4417
,,TOTAL,,,,"$218,425.99",
