Oakline Furniture Works - AP payment detail
Payment date 01/01/2026 - 08/31/2026
Payment ID,Payment Date,Method,Check / Ref #,Vendor ID,Vendor,Invoice #,Invoice Amount,Amount Paid,Status,Memo
PMT-26-0306,01/01/2026,ACH,ACH010140,V1139,Millrace Industrial Partners,RENT-2026-01,"7,580.00","7,580.00",Cleared,Unit 4 rent 01/2026
PMT-26-0307,01/05/2026,ACH,ACH010522,V1113,Greenleaf Waste Hauling,INV-68862,"2,315.31","2,315.31",Cleared,
PMT-26-0308,01/05/2026,ACH,ACH010529,V1051,Northline Plywood & Panel,INV-35206,"7,004.47","7,004.47",Cleared,
PMT-26-0309,01/08/2026,ACH,ACH010862,V1054,Keller Hinge & Slide,#79251,215.57,215.57,Cleared,
PMT-26-0310,01/12/2026,Check,14143,V1108,Valley Welding Supply,53910,"2,887.62","2,887.62",Cleared,
PMT-26-0311,01/12/2026,Check,14147,V1105,Summit Abrasives,INV-55597,"7,433.78","7,433.78",Cleared,
PMT-26-0312,01/13/2026,ACH,ACH011388,V1094,Anchor Fastener Co,#77895,"5,448.34","5,448.34",Cleared,
PMT-26-0313,01/14/2026,Check,14148,V1099,Harmon Edgebanding,58703,"8,416.45","8,416.45",Cleared,
PMT-26-0314,01/16/2026,Check,14152,V1099,Harmon Edgebanding,#13493,"6,807.14","6,807.14",Cleared,
PMT-26-0315,01/20/2026,Check,14156,V1076,Pacific Upholstery Supply,#61617,"2,497.96","2,497.96",Cleared,
PMT-26-0316,01/21/2026,Check,14157,V1089,RIDGEWAY POWDER COAT,INV-27104,593.30,593.30,Cleared,
PMT-26-0317,01/23/2026,Check,14159,V1069,Lumen Glass & Mirror,53059,"7,820.56","7,820.56",Cleared,
PMT-26-0318,01/26/2026,ACH,ACH012641,V1054,Keller Hinge & Slide,#62666,"6,818.41","6,818.41",Cleared,
PMT-26-0319,01/28/2026,ACH,ACH012872,V1122,METRO ELECTRIC UTILITY,40456,"5,123.35","5,123.35",Cleared,
PMT-26-0320,02/02/2026,ACH,ACH020238,V1139,Millrace Industrial Partners,RENT-2026-02,"7,580.00","7,580.00",Cleared,Unit 4 rent 02/2026
PMT-26-0321,02/04/2026,Check,14161,V1122,Metro Electric Utility,15314,406.69,406.69,Cleared,
PMT-26-0322,02/05/2026,ACH,ACH020545,V1105,Summit Abrasives,#58382,"9,626.66","9,626.66",Cleared,
PMT-26-0323,02/09/2026,Check,14164,V1126,BAYSIDE STONE TOPS,25796,"6,138.35","6,138.35",Cleared,
PMT-26-0324,02/10/2026,ACH,ACH021050,V1108,Valley Welding Supply,49063,"7,948.67","7,948.67",Cleared,
