scan_id,badge_id,scanned_at,door
S50001,REG-1034,2026-09-17 08:00:47,Main entrance
S50002,REG-1015,2026-09-17 08:02:40,Hall B
S50003,REG-1004,2026-09-17 08:03:08,Main entrance
S50004,REG-1053,2026-09-17 08:03:27,Main entrance
S50005,REG-1088,2026-09-17 08:05:08,Registration desk
S50006,REG-1124,2026-09-17 08:09:00,Main entrance
S50007,REG-1069,2026-09-17 08:09:02,Registration desk
S50008,REG-1068,2026-09-17 08:09:41,Registration desk
S50009,REG-1022,2026-09-17 08:10:45,Hall B
S50010,REG-1140,2026-09-17 08:11:38,Main entrance
S50011,REG-1081,2026-09-17 08:12:38,Main entrance
S50012,REG-1145,2026-09-17 08:18:19,Main entrance
S50013,REG-1176,2026-09-17 08:19:27,Main entrance
S50014,REG-1001,2026-09-17 08:21:55,Main entrance
S50015,REG-1019,2026-09-17 08:22:06,Main entrance
S50016,REG-1174,2026-09-17 08:26:35,Main entrance
S50017,REG-1225,2026-09-17 08:26:53,Main entrance
S50018,REG-1101,2026-09-17 08:26:58,Main entrance
S50019,REG-1142,2026-09-17 08:30:52,Hall B
S50020,REG-1164,2026-09-17 08:31:12,Main entrance
S50021,REG-1133,2026-09-17 08:36:13,Main entrance
S50022,REG-1023,2026-09-17 08:37:29,Hall B
S50023,REG-1109,2026-09-17 08:40:07,Main entrance
S50024,REG-1211,2026-09-17 08:43:03,Main entrance
S50025,REG-1220,2026-09-17 08:44:47,Main entrance
S50026,REG-1218,2026-09-17 08:53:58,Registration desk
S50027,REG-1113,2026-09-17 08:55:33,Main entrance
S50028,REG-1024,2026-09-17 08:55:42,Hall B
S50029,REG-1060,2026-09-17 08:56:07,Registration desk
S50030,REG-1127,2026-09-17 09:01:07,Main entrance
S50031,REG-1152,2026-09-17 09:05:07,Registration desk
S50032,REG-1193,2026-09-17 09:05:36,Main entrance
S50033,REG-1100,2026-09-17 09:05:38,Hall B
S50034,REG-1111,2026-09-17 09:06:17,Main entrance
S50035,REG-1116,2026-09-17 09:06:28,Hall B
S50036,REG-1096,2026-09-17 09:07:32,Registration desk
S50037,REG-1090,2026-09-17 09:08:09,Registration desk
S50038,REG-1055,2026-09-17 09:08:20,Hall B
S50039,REG-1231,2026-09-17 09:10:05,Main entrance
S50040,REG-1033,2026-09-17 09:10:24,Main entrance
S50041,REG-1206,2026-09-17 09:11:07,Main entrance
S50042,REG-1074,2026-09-17 09:11:21,Hall B
S50043,REG-1058,2026-09-17 09:16:17,Main entrance
S50044,REG-1030,2026-09-17 09:18:17,Registration desk
S50045,REG-1131,2026-09-17 09:20:41,Main entrance
S50046,REG-1091,2026-09-17 09:20:42,Registration desk
S50047,REG-1184,2026-09-17 09:25:25,Main entrance
S50048,REG-1027,2026-09-17 09:26:17,Main entrance
S50049,REG-1079,2026-09-17 09:35:11,Main entrance
S50050,REG-1162,2026-09-17 09:35:22,Main entrance
S50051,REG-1092,2026-09-17 09:35:25,Main entrance
S50052,REG-1021,2026-09-17 09:35:42,Main entrance
S50053,REG-1066,2026-09-17 09:37:48,Main entrance
S50054,REG-1173,2026-09-17 09:38:20,Hall B
S50055,REG-1128,2026-09-17 09:41:38,Main entrance
S50056,REG-1183,2026-09-17 09:42:19,Main entrance
S50057,REG-1076,2026-09-17 09:44:18,Main entrance
S50058,REG-1132,2026-09-17 09:44:38,Hall B
S50059,REG-1215,2026-09-17 09:48:17,Hall B
S50060,STF-118,2026-09-17 09:51:07,Hall B
S50061,REG-1208,2026-09-17 09:51:08,Main entrance
S50062,REG-1240,2026-09-17 09:55:48,Main entrance
S50063,REG-1229,2026-09-17 09:56:15,Hall B
S50064,REG-1179,2026-09-17 09:57:08,Main entrance
S50065,REG-1080,2026-09-17 09:57:13,Hall B
S50066,REG-1104,2026-09-17 09:57:51,Main entrance
S50067,REG-1182,2026-09-17 09:58:08,Registration desk
S50068,REG-1170,2026-09-17 09:58:47,Main entrance
S50069,REG-1011,2026-09-17 10:01:49,Main entrance
S50070,REG-1029,2026-09-17 10:03:14,Registration desk
S50071,REG-1085,2026-09-17 10:05:32,Main entrance
S50072,REG-1040,2026-09-17 10:09:22,Hall B
S50073,REG-1242,2026-09-17 10:10:52,Main entrance
S50074,REG-1064,2026-09-17 10:10:53,Main entrance
S50075,REG-1049,2026-09-17 10:11:58,Hall B
S50076,REG-1097,2026-09-17 10:13:33,Main entrance
S50077,REG-1031,2026-09-17 10:16:34,Main entrance
S50078,REG-1065,2026-09-17 10:18:09,Main entrance
S50079,REG-1235,2026-09-17 10:20:58,Main entrance
S50080,REG-1018,2026-09-17 10:26:50,Main entrance
S50081,REG-1012,2026-09-17 10:28:17,Main entrance
S50082,REG-1134,2026-09-17 10:30:45,Hall B
S50083,REG-1154,2026-09-17 10:32:02,Main entrance
S50084,REG-1073,2026-09-17 10:32:07,Main entrance
S50085,REG-1052,2026-09-17 10:34:17,Hall B
S50086,REG-1166,2026-09-17 10:34:48,Main entrance
S50087,STF-134,2026-09-17 10:36:47,Main entrance
S50088,REG-1126,2026-09-17 10:39:18,Main entrance
S50089,REG-1190,2026-09-17 10:41:19,Main entrance
S50090,REG-1105,2026-09-17 10:42:09,Main entrance
S50091,REG-1161,2026-09-17 10:42:44,Main entrance
S50092,REG-1165,2026-09-17 10:43:02,Hall B
S50093,REG-1089,2026-09-17 10:44:39,Hall B
S50094,REG-1212,2026-09-17 10:47:14,Main entrance
S50095,REG-1075,2026-09-17 10:49:15,Registration desk
S50096,REG-1150,2026-09-17 10:49:42,Main entrance
S50097,REG-1108,2026-09-17 10:51:37,Main entrance
S50098,REG-1219,2026-09-17 10:53:32,Main entrance
S50099,REG-1086,2026-09-17 10:55:25,Main entrance
S50100,STF-114,2026-09-17 11:47:28,Main entrance
S50101,REG-1135,2026-09-17 13:02:05,Hall B
S50102,REG-1029,2026-09-17 13:05:19,Main entrance
S50103,REG-1189,2026-09-17 13:05:42,Hall B
S50104,REG-1125,2026-09-17 13:06:00,Main entrance
S50105,REG-1186,2026-09-17 13:10:29,Main entrance
S50106,REG-1242,2026-09-17 13:12:30,Main entrance
S50107,REG-1088,2026-09-17 13:12:55,Main entrance
S50108,REG-1097,2026-09-17 13:12:59,Main entrance
S50109,REG-1170,2026-09-17 13:16:11,Registration desk
S50110,REG-1020,2026-09-17 13:17:46,Hall B
S50111,REG-1182,2026-09-17 13:21:06,Main entrance
S50112,REG-1015,2026-09-17 13:22:18,Hall B
S50113,REG-1112,2026-09-17 13:22:21,Hall B
S50114,REG-1202,2026-09-17 13:23:48,Main entrance
S50115,REG-1162,2026-09-17 13:25:02,Registration desk
S50116,REG-1043,2026-09-17 13:27:13,Hall B
S50117,REG-1093,2026-09-17 13:27:16,Main entrance
S50118,REG-1132,2026-09-17 13:31:26,Registration desk
S50119,REG-1013,2026-09-17 13:33:30,Registration desk
S50120,REG-1078,2026-09-17 13:34:37,Hall B
S50121,REG-1120,2026-09-17 13:38:31,Hall B
S50122,REG-1003,2026-09-17 13:40:44,Main entrance
S50123,REG-1133,2026-09-17 13:42:05,Main entrance
S50124,REG-1219,2026-09-17 13:42:31,Main entrance
S50125,REG-1099,2026-09-17 13:44:41,Main entrance
S50126,REG-1036,2026-09-17 13:47:13,Main entrance
S50127,REG-1113,2026-09-17 13:48:16,Registration desk
S50128,REG-1185,2026-09-17 13:48:27,Main entrance
S50129,REG-1176,2026-09-17 13:50:38,Registration desk
S50130,REG-1107,2026-09-17 13:53:02,Hall B
S50131,reg-1179,2026-09-17 13:59:21,Main entrance
S50132,REG-1049,2026-09-17 14:00:43,Main entrance
S50133,REG-1231,2026-09-17 14:00:50,Main entrance
S50134,REG-1117,2026-09-17 14:01:24,Registration desk
S50135,REG-1139,2026-09-17 14:01:39,Hall B
S50136,REG-1143,2026-09-17 14:04:03,Hall B
S50137,REG-1221,2026-09-17 14:06:06,Registration desk
S50138,REG-1169,2026-09-17 14:10:09,Registration desk
S50139,REG-1087,2026-09-17 14:10:58,Main entrance
S50140,REG-1064,2026-09-17 14:17:16,Main entrance
S50141,REG-1233,2026-09-17 14:21:19,Main entrance
S50142,REG-1129,2026-09-17 14:22:32,Hall B
S50143,REG-1122,2026-09-17 14:23:37,Main entrance
