txn_id,date,time,description,amount,card_last4
TXN-1X31F2,2026-08-01,18:38,GRUBHUB*THAI HOUSE,82.56,6104
TXN-RWZ825,2026-08-01,20:10,VISTAPRINT,129.58,6104
TXN-QTHKJ0,2026-08-01,22:07,BART SFIA,9.83,4417
TXN-671N1B,2026-08-02,06:00,AMZN Mktp US*6ZD24A4W6,213.49,7752
TXN-EPWJA8,2026-08-02,07:07,SFO LONG TERM PARKING,74.22,6104
TXN-29ZJ20,2026-08-02,07:12,MICROSOFT*M365 BUSINESS,99.43,7752
TXN-48SN6T,2026-08-02,07:58,DELTA AIR 0063057608116 REFUND,-61.03,4417
TXN-Y95MFB,2026-08-02,14:12,CAVIAR*CATERING,136.66,7752
TXN-76BSFD,2026-08-02,14:57,ALASKA AIR 0277091634579,370.89,6104
TXN-NX31H2,2026-08-02,16:24,WEWORK 535 MISSION,2333.20,4417
TXN-B81MC2,2026-08-02,20:41,LEGALZOOM.COM,197.54,6104
TXN-F8PYDR,2026-08-02,21:08,AMZN Mktp US*P89W9D6VK REFUND,-71.66,4417
TXN-ZA4A7Y,2026-08-02,21:23,CLIPPER SYSTEMS AUTOLOAD,24.52,6104
TXN-5DZNCC,2026-08-02,22:10,AMAZON WEB SERVICES AWS.AMAZON.CO,239.47,6104
TXN-CRQTQ2,2026-08-03,12:00,CANVA* 69402-2455,46.96,6104
TXN-NP04C7,2026-08-03,16:10,EVENTBRITE SPONSORSHIP,782.35,6104
TXN-EAXWL5,2026-08-03,18:44,TST* SOUVLA - HAYES,72.50,7752
TXN-1PZACN,2026-08-04,08:29,SP+ PARKING 71428,29.72,7752
TXN-GKKZQG,2026-08-04,09:22,LINEAR ORBIT INC,68.89,7752
TXN-J9VFYN,2026-08-04,14:02,AMZN Mktp US*24C34CL6E,116.63,6104
TXN-XRTA09,2026-08-04,14:51,SPARKLE OFFICE CLEANING,317.68,6104
TXN-Y02379,2026-08-04,16:01,UBER *TRIP U6ZJ,17.34,7752
TXN-0KZJW2,2026-08-04,17:56,AMAZON.COM*7D4NFJA3,120.79,4417
TXN-8HS99R,2026-08-04,18:45,MOO.COM PRINT,113.21,6104
TXN-W2Z2QB,2026-08-05,09:11,FEDEX 45682417304,38.68,7752
TXN-C6TVMQ,2026-08-05,11:11,UBER *TRIP S8EF,35.08,6104
