Receipt,Date,SKU,Item,Qty,Unit price,Line total,Type,Return reason,Original receipt
R51004,01/02/2026 09:13 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51005,01/02/2026 09:56 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51006,01/02/2026 01:21 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51007,01/02/2026 01:40 PM,LIT-CC35,Clumping clay litter 35 lb,2,21.99,43.98,Sale,,
R51008,01/02/2026 01:42 PM,LIT-CC35,Clumping clay litter 35 lb,2,21.99,43.98,Sale,,
R51009,01/02/2026 03:33 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51010,01/02/2026 03:51 PM,TOY-TR-L,"TuffRope tug toy, large",2,12.99,25.98,Sale,,
R51011,01/02/2026 04:36 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51012,01/02/2026 05:49 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51013,01/03/2026 10:02 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51014,01/03/2026 01:38 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51015,01/03/2026 02:05 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,2,37.99,75.98,Sale,,
R51016,01/03/2026 02:52 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51017,01/03/2026 03:06 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51018,01/03/2026 04:04 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51019,01/03/2026 05:29 PM,CHW-DC30,"Dental chews, 30 count",3,28.99,86.97,Sale,,
R51020,01/05/2026 11:00 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51021,01/05/2026 11:11 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51022,01/05/2026 11:55 AM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51023,01/05/2026 02:34 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
