WEX Fleet - Transaction detail - Account 0496-00-812 WESTBROOK PLUMBING & HEATING
Posting period 01/01/2026 - 06/30/2026

Transaction Date,Card Last 4,Vehicle ID,Merchant,City,State/Prov,Product,Quantity,UOM,Unit Price (USD),Amount (USD)
01/05/2026 09:16,5426,VAN24,Mobil Mart,Essex Jct,VT,CAR WASH,1,EA,18.000,18.00
01/06/2026 06:55,7584,VAN26,Champlain Farms,S Burlington,VT,UNLEADED REG,24.395,GAL,3.714,90.60
01/06/2026 08:48,8299,TRUCK27,Champlain Farms,S Burlington,VT,CAR WASH,1,EA,12.000,12.00
01/06/2026 13:47,5426,VAN24,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,24.241,GAL,3.722,90.23
01/06/2026 15:32,6042,VAN21,Irving Oil,St Albans,VT,CAR WASH,1,EA,18.000,18.00
01/06/2026 17:26,8221,VAN29,Champlain Farms,S Burlington,VT,UNLEADED REG,21.524,GAL,3.291,70.84
01/07/2026 07:01,5980,VAN25,Maplefields,Williston,VT,UNLEADED REG,22.195,GAL,3.781,83.92
01/07/2026 08:16,6042,VAN21,Irving Oil,St Albans,VT,UNLEADED REG,20.816,GAL,3.098,64.49
01/07/2026 11:17,7584,VAN26,Maplefields,Williston,VT,CAR WASH,1,EA,18.000,18.00
01/07/2026 16:51,8937,VAN22,Stewart's Shops #312,Burlington,VT,UNLEADED REG,26.529,GAL,3.092,82.03
01/08/2026 09:18,8299,TRUCK27,Irving Oil,St Albans,VT,DIESEL #2,31.851,GAL,4.203,133.87
01/08/2026 10:09,5330,VAN23,Mobil Mart,Essex Jct,VT,UNLEADED REG,26.442,GAL,3.156,83.45
01/09/2026 16:28,6445,TRUCK28,Mobil Mart,Essex Jct,VT,DIESEL #2,32.842,GAL,4.072,133.73
01/12/2026 06:34,7584,VAN26,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,24.492,GAL,3.512,86.02
01/13/2026 06:38,8221,VAN29,Mobil Mart,Essex Jct,VT,UNLEADED REG,25.561,GAL,3.054,78.06
01/13/2026 09:33,5426,VAN24,Stewart's Shops #312,Burlington,VT,UNLEADED REG,34.565,GAL,3.479,120.25
01/13/2026 10:01,6445,TRUCK28,Champlain Farms,S Burlington,VT,MERCHANDISE,1,EA,13.630,13.63
01/14/2026 06:45,8937,VAN22,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,23.65,GAL,3.585,84.79
01/14/2026 07:29,7584,VAN26,Sunoco 0441,Plattsburgh,NY,MERCHANDISE,1,EA,20.970,20.97
01/15/2026 08:18,5980,VAN25,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,26.491,GAL,3.377,89.46
01/15/2026 15:14,6042,VAN21,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,23.765,GAL,3.688,87.65
01/16/2026 06:04,8299,TRUCK27,Sunoco 0441,Plattsburgh,NY,DIESEL #2,27.276,GAL,3.808,103.87
01/16/2026 13:15,5426,VAN24,Champlain Farms,S Burlington,VT,MERCHANDISE,1,EA,7.410,7.41
01/16/2026 14:35,5330,VAN23,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,22.566,GAL,3.502,79.03
01/17/2026 13:50,7584,VAN26,Esso,Granby,QC,UNLEADED REG,93.12,LTR,0.932,86.79
01/19/2026 14:07,6445,TRUCK28,Irving Oil,St Albans,VT,CAR WASH,1,EA,12.000,12.00
01/19/2026 17:38,6445,TRUCK28,Irving Oil,St Albans,VT,DIESEL #2,25.577,GAL,3.811,97.47
01/20/2026 06:50,5980,VAN25,Maplefields,Williston,VT,CAR WASH,1,EA,18.000,18.00
01/20/2026 07:19,8937,VAN22,Irving Oil,St Albans,VT,UNLEADED REG,17.639,GAL,3.028,53.41
01/20/2026 08:01,5426,VAN24,Maplefields,Williston,VT,UNLEADED REG,31.955,GAL,3.707,118.46
01/20/2026 08:58,6445,TRUCK28,Mobil Mart,Essex Jct,VT,MERCHANDISE,1,EA,9.500,9.50
01/20/2026 17:05,8221,VAN29,Mobil Mart,Essex Jct,VT,UNLEADED REG,24.876,GAL,3.731,92.81
01/21/2026 13:29,5980,VAN25,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,17.21,GAL,3.125,53.78
01/22/2026 06:55,7584,VAN26,Irving Oil,St Albans,VT,CAR WASH,1,EA,14.000,14.00
01/22/2026 10:10,7584,VAN26,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,23.152,GAL,3.131,72.49
01/22/2026 13:22,5426,VAN24,Sunoco 0441,Plattsburgh,NY,CAR WASH,1,EA,14.000,14.00
01/23/2026 17:17,6042,VAN21,Stewart's Shops #312,Burlington,VT,UNLEADED REG,21.702,GAL,3.442,74.70
01/24/2026 06:23,5330,VAN23,Champlain Farms,S Burlington,VT,UNLEADED REG,22.647,GAL,3.445,78.02
