invoice,eur_settled,fx_gain_loss,eur_open
AF-26001,31580.00,738.97,0.00
AF-26004,16750.00,97.15,0.00
AF-26010,22025.80,185.01,0.00
AF-26013,18765.50,326.52,0.00
AF-26016,9920.25,19.84,0.00
AF-26019,13860.25,26.34,0.00
AF-26022,16465.00,126.78,0.00
AF-26025,3705.00,28.53,0.00
AF-26028,17285.25,843.52,0.00
AF-26031,3785.00,193.41,0.00
AF-26037,3740.00,14.96,0.00
AF-26040,25275.25,649.58,0.00
AF-26043,28585.00,-583.13,0.00
AF-26046,17918.00,89.59,17917.50
AF-26049,32670.50,-114.35,0.00
AF-26052,0.00,0.00,20040.80
