Harbor Trust - Business Checking x2291 - incoming international payments
Value Date (DD/MM/YYYY),Transaction,Ordering Party,Remittance Information,Original Amount,Original Ccy,Bank Rate USD per EUR,Amount Credited USD
20/02/2026,Incoming wire FX,Strangenmeister KG,AF-26001 part payment 1/2,"12,632.00",EUR,1.0847,"13,701.93"
17/03/2026,Incoming wire,Dublin Fret Works Ltd,AF-26007,"6,090.00",USD,,"6,090.00"
20/03/2026,Incoming wire FX,Strangenmeister KG,Invoice AF-26010,"22,025.80",EUR,1.0825,"23,842.93"
23/03/2026,Incoming wire FX,Atelier Corde Paris SARL,Invoice AF-26004,"16,750.00",EUR,1.0802,"18,093.35"
31/03/2026,Incoming wire FX,Casa Ruiz Guitarras S.L.,Payment AF-26022 thank you,"16,465.00",EUR,1.0906,"17,956.73"
01/04/2026,Incoming wire FX,Atelier Corde Paris SARL,Invoice AF-26013,"18,765.50",EUR,1.0920,"20,491.93"
02/04/2026,Incoming wire FX,Luthiers Van Dijk B.V.,Invoice AF-26016,"9,920.25",EUR,1.0872,"10,785.30"
06/04/2026,Incoming wire FX,Nordic Tonewood Oy,AF-26025,"3,705.00",EUR,1.0872,"4,028.08"
06/04/2026,Incoming wire FX,Strangenmeister KG,AF-26001 final payment 2/2,"18,948.00",EUR,1.0872,"20,600.27"
09/04/2026,Incoming wire FX,Gitarrenbau Huber OG,INV AF-26019 - our bank charges deducted EUR 15.00,"13,845.25",EUR,1.0889,"15,076.09"
17/04/2026,Incoming wire,Lisboa Guitar Supply Lda,AF-26034,"13,380.00",USD,,"13,380.00"
21/04/2026,Incoming wire FX,Gitarrenbau Huber OG,"AF-26028 17.285,25 / AF-26031 3.785,00","21,070.25",EUR,1.1215,"23,630.29"
01/05/2026,Incoming wire FX,Strangenmeister KG,Invoice AF-26040,"25,275.25",EUR,1.1129,"28,128.83"
15/05/2026,Incoming wire FX,Nordic Tonewood Oy,Fact. AF-26037,"3,740.00",EUR,1.0960,"4,099.04"
09/06/2026,Incoming wire FX,Chitarre Bellini S.r.l.,Rechnung AF-26046 Teilzahlung,"17,918.00",EUR,1.1093,"19,876.44"
17/06/2026,Incoming wire FX,Strangenmeister KG,Invoice AF-26043,"28,585.00",EUR,1.0925,"31,229.11"
15/07/2026,Incoming wire FX,Klangwerk Musikhaus GmbH,Payment AF-26049 thank you,"32,670.50",EUR,1.1041,"36,071.50"
