card_last4,kind,tag,sold,last_load,expires,balance_before_expiry,liability,status
1210,legacy,legacy_5,2023-02-09,2023-02-09,2028-02-09,3.00,3.00,active
1328,new,new,2025-05-11,2025-05-11,2030-05-11,250.00,250.00,active
1380,legacy,legacy_7,2022-11-22,2022-11-22,2027-11-22,0.00,0.00,redeemed
1774,new,new,2026-04-02,2026-04-02,2031-04-02,0.00,0.00,redeemed
1791,new,new,2023-11-18,2023-11-18,2028-11-18,150.00,150.00,active
1866,new,unused,2025-09-05,2025-09-05,2030-09-05,200.00,200.00,active
1984,legacy,expired_after_redemption,2021-05-20,2021-05-20,2026-05-20,90.00,0.00,expired
2526,new,new,2024-06-23,2024-06-23,2029-06-23,150.00,150.00,active
2755,legacy,legacy_4,2022-11-17,2022-11-17,2027-11-17,75.00,75.00,active
2936,new,reversal,2024-05-18,2024-05-18,2029-05-18,200.00,200.00,active
3347,new,new,2024-10-16,2024-10-16,2029-10-16,0.00,0.00,redeemed
3474,new,new,2025-10-20,2025-10-20,2030-10-20,100.00,100.00,active
3531,new,new,2025-01-16,2025-01-16,2030-01-16,0.00,0.00,redeemed
3546,legacy,legacy_3,2023-02-19,2023-02-19,2028-02-19,30.00,30.00,active
3631,new,new,2026-03-20,2026-03-20,2031-03-20,0.00,0.00,redeemed
3921,legacy,legacy_2,2023-01-08,2023-01-08,2028-01-08,0.00,0.00,redeemed
4203,new,new,2025-12-22,2025-12-22,2030-12-22,0.00,0.00,redeemed
4248,new,new,2025-01-26,2025-01-26,2030-01-26,0.00,0.00,redeemed
4461,legacy,legacy_6,2021-10-21,2021-10-21,2026-10-21,35.00,35.00,active
4696,new,new,2026-01-20,2026-01-20,2031-01-20,178.00,178.00,active
4702,new,june_activity,2025-11-22,2025-11-22,2030-11-22,83.00,83.00,active
4757,new,reload_new,2024-05-12,2024-07-01,2029-07-01,75.00,75.00,active
5115,new,new,2025-08-26,2025-08-26,2030-08-26,0.00,0.00,redeemed
5404,new,new,2024-07-26,2024-07-26,2029-07-26,200.00,200.00,active
5415,new,new,2024-06-22,2024-06-22,2029-06-22,0.00,0.00,redeemed
5585,new,new,2024-12-01,2024-12-01,2029-12-01,0.00,0.00,redeemed
5701,new,new,2025-04-23,2025-04-23,2030-04-23,72.00,72.00,active
5801,new,split_tender,2025-06-03,2025-06-03,2030-06-03,0.00,0.00,redeemed
5852,new,new,2024-04-16,2024-04-16,2029-04-16,0.00,0.00,redeemed
6053,legacy,legacy_old_0,2020-09-11,2020-09-11,2025-09-11,200.00,0.00,expired
6072,legacy,pos_reload,2021-02-09,2025-10-04,2030-10-04,28.00,28.00,active
6101,new,new,2024-01-09,2024-01-09,2029-01-09,50.00,50.00,active
6213,legacy,legacy_1,2023-01-14,2023-01-14,2028-01-14,0.00,0.00,redeemed
6341,new,new,2024-03-18,2024-03-18,2029-03-18,0.00,0.00,redeemed
6456,new,new,2023-09-22,2023-09-22,2028-09-22,75.00,75.00,active
6572,new,new,2025-10-08,2025-10-08,2030-10-08,0.00,0.00,redeemed
6853,legacy,legacy_0,2022-11-15,2022-11-15,2027-11-15,215.00,215.00,active
7186,new,new,2025-08-30,2025-08-30,2030-08-30,0.00,0.00,redeemed
7363,legacy,plain_active,2022-06-03,2022-06-03,2027-06-03,100.00,100.00,active
7772,legacy,expired_untouched,2020-11-06,2020-11-06,2025-11-06,150.00,0.00,expired
8106,legacy,boundary,2021-09-14,2021-09-14,2026-09-14,215.00,215.00,active
8218,new,new,2025-11-06,2025-11-06,2030-11-06,0.00,0.00,redeemed
8271,new,partial_twice,2024-06-07,2024-06-07,2029-06-07,20.00,20.00,active
8486,legacy,legacy_reload,2020-09-18,2022-02-11,2027-02-11,128.00,128.00,active
8578,legacy,legacy_old_1,2020-04-28,2020-04-28,2025-04-28,75.00,0.00,expired
8857,new,new,2025-04-06,2025-04-06,2030-04-06,0.00,0.00,redeemed
