card_last4,liability,status
1210,3.00,active
1328,250.00,active
1380,0.00,redeemed
1774,0.00,redeemed
1791,150.00,active
1866,200.00,active
1984,0.00,expired
2526,150.00,active
2755,75.00,active
2936,200.00,active
3347,0.00,redeemed
3474,100.00,active
3531,0.00,redeemed
3546,30.00,active
3631,0.00,redeemed
3921,0.00,redeemed
4203,0.00,redeemed
4248,0.00,redeemed
4461,35.00,active
4696,178.00,active
4702,83.00,active
4757,75.00,active
5115,0.00,redeemed
5404,200.00,active
5415,0.00,redeemed
5585,0.00,redeemed
5701,72.00,active
5801,0.00,redeemed
5852,0.00,redeemed
6053,0.00,expired
6072,28.00,active
6101,50.00,active
6213,0.00,redeemed
6341,0.00,redeemed
6456,75.00,active
6572,0.00,redeemed
6853,215.00,active
7186,0.00,redeemed
7363,100.00,active
7772,0.00,expired
8106,215.00,active
8218,0.00,redeemed
8271,20.00,active
8486,128.00,active
8578,0.00,expired
8857,0.00,redeemed
