Cedarline POS - Gift Card Activity Detail
Location: Lantern Row Day Spa | 04/01/2023 - 08/31/2026
Date/Time,Ticket,Card Last 4,Type,Ticket Total,Card Amount,Note,Employee
2023-04-01 06:00,T604100,1210,Balance Import,$0.00,$75.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604103,1380,Balance Import,$0.00,$150.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604106,1984,Balance Import,$0.00,$150.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604109,2755,Balance Import,$0.00,$75.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604112,3546,Balance Import,$0.00,$95.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604115,3921,Balance Import,$0.00,$250.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604118,4461,Balance Import,$0.00,$100.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604121,6053,Balance Import,$0.00,$200.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604124,6072,Balance Import,$0.00,$100.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604127,6213,Balance Import,$0.00,$128.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604130,6853,Balance Import,$0.00,$215.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604133,7363,Balance Import,$0.00,$100.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604136,7772,Balance Import,$0.00,$150.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604139,8106,Balance Import,$0.00,$215.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604142,8486,Balance Import,$0.00,$128.00,Oakleaf SpaBook migration,system
2023-04-01 06:00,T604145,8578,Balance Import,$0.00,$75.00,Oakleaf SpaBook migration,system
2023-06-24 14:12,T604148,1380,Redemption,$235.00,$150.00,split: card 150.00 / Visa 85.00,Timothy
2023-07-16 13:05,T604151,6213,Redemption,$240.00,$128.00,split: card 128.00 / Visa 112.00,Sandra
2023-08-19 16:20,T604154,6072,Redemption,$110.00,$100.00,split: card 100.00 / Visa 10.00,Sarah
2023-09-22 14:05,T604157,6456,Activation,$75.00,$75.00,front desk,Nicholas
2023-09-29 13:00,T604160,3921,Redemption,$285.00,$250.00,split: card 250.00 / Visa 35.00,Sandra
2023-10-22 15:20,T604163,1210,Redemption,$72.00,$72.00,Reflexology 45,Timothy
2023-10-27 10:12,T604166,3546,Redemption,$65.00,$65.00,Brow and lash tint,Timothy
