Millbrook Watershed Alliance - Expense detail by budget line
Jan 1 - Aug 31, 2026 (cash basis)
Posted,Entry,Vendor,Description,Invoice date,Budget line,Amount
01/12/2026,JE-2272,Prairie Moon Nursery,Bare-root order (December invoice),12/14/2025,SCWF-MAT,"1,255.86"
01/28/2026,JE-2276,Payroll - Gusto,Restoration crew lead wages,01/28/2026,SCWF-PER,"3,288.39"
02/10/2026,JE-2278,Comcast Business,Office internet,02/10/2026,GEN-OPS,"1,774.76"
02/23/2026,JE-2279,Quarry Road Nursery,Native shrubs,02/23/2026,SCWF-MAT,"1,801.98"
02/27/2026,JE-2282,Payroll - Gusto,Education specialist wages,02/27/2026,HFF-EDU,"1,842.94"
02/27/2026,JE-2284,Payroll - Gusto,Restoration crew lead wages,02/27/2026,SCWF-PER,"3,142.45"
03/06/2026,JE-2288,Quill & Ink Print Shop,Student field guides,03/06/2026,HFF-PRT,"1,086.14"
03/07/2026,JE-2291,Staff mileage reimbursement,Field mileage - site visits,03/07/2026,SCWF-MIL,254.32
03/11/2026,JE-2293,Erosion Supply Co,Rock for toe protection,03/11/2026,SCWF-MAT,952.75
03/17/2026,JE-2294,Everline Insurance,General liability insurance,03/17/2026,GEN-OPS,"1,059.27"
03/20/2026,JE-2295,LaMotte Company,Water test kits and reagents,03/20/2026,CPCG-EQP,"1,235.74"
03/24/2026,JE-2297,Quill & Ink Print Shop,Monitoring volunteer recruitment flyers,03/24/2026,CPCG-OUT,514.21
03/28/2026,JE-2300,Payroll - Gusto,Education specialist wages,03/28/2026,HFF-EDU,"2,108.19"
03/28/2026,JE-2302,Payroll - Gusto,Restoration crew lead wages,03/28/2026,SCWF-PER,"3,207.51"
03/28/2026,JE-2305,Payroll - Gusto,Program coordinator wages (split),03/28/2026,SCWF-PER 60% / CPCG-STI 40%,"3,461.09"
04/03/2026,JE-2308,Blue Bird Charter Lines,Field trip buses,04/03/2026,HFF-BUS,861.52
04/07/2026,JE-2309,Staff mileage reimbursement,Field mileage - site visits,04/07/2026,SCWF-MIL,148.65
04/08/2026,JE-2312,Kessler Excavating,Streambank grading - Mill Creek reach B,04/08/2026,SCWF-CON,"9,110.22"
04/13/2026,JE-2314,Blue Bird Charter Lines,Field trip buses,04/13/2026,HFF-BUS,527.50
04/13/2026,JE-2318,Mill Street Pizza,Pizza and drinks - restoration volunteer planting day,04/13/2026,SCWF-MAT,221.89
04/14/2026,JE-2321,Prairie Moon Nursery,Live stakes and plugs,04/14/2026,SCWF-MAT,"1,226.19"
04/22/2026,JE-2324,Staff mileage reimbursement,Mileage - school visits,04/22/2026,HFF-EDU,265.67
04/28/2026,JE-2328,Payroll - Gusto,Education specialist wages,04/28/2026,HFF-EDU,"1,809.92"
04/28/2026,JE-2331,Payroll - Gusto,Restoration crew lead wages,04/28/2026,SCWF-PER,"3,160.26"
04/28/2026,JE-2335,Payroll - Gusto,Program coordinator wages (split),04/28/2026,SCWF-PER 60% / CPCG-STI 40%,"3,252.12"
05/05/2026,JE-2338,Staff mileage reimbursement,Field mileage - site visits,05/05/2026,SCWF-MIL,111.18
05/14/2026,JE-2342,Blue Bird Charter Lines,Field trip buses,05/14/2026,HFF-BUS,726.35
05/25/2026,JE-2346,Kessler Excavating,Streambank grading - Mill Creek reach C,05/25/2026,SCWF-CON,"13,413.92"
05/28/2026,JE-2347,Blue Bird Charter Lines,"Bus - students and volunteers, creek day (split)",05/28/2026,HFF-BUS 70% / CPCG-OUT 30%,866.43
05/28/2026,JE-2351,Payroll - Gusto,Education specialist wages,05/28/2026,HFF-EDU,"2,109.82"
05/28/2026,JE-2353,Payroll - Gusto,Restoration crew lead wages,05/28/2026,SCWF-PER,"3,004.46"
05/28/2026,JE-2355,Payroll - Gusto,Program coordinator wages (split),05/28/2026,SCWF-PER 60% / CPCG-STI 40%,"3,297.50"
06/01/2026,JE-2356,Riverside Deli,Volunteer lunch - joint planting and monitoring day,06/01/2026,SCWF-MAT 50% / CPCG-VOL 50%,359.91
06/03/2026,JE-2360,LaMotte Company,Water test kits and reagents,06/03/2026,CPCG-EQP,"1,262.12"
06/03/2026,JE-2364,Staff mileage reimbursement,Field mileage - site visits,06/03/2026,SCWF-MIL,208.26
06/04/2026,JE-2366,Erosion Supply Co,Coir logs and matting,06/04/2026,SCWF-MAT,"2,574.46"
06/10/2026,JE-2367,LaMotte Company,Credit memo - returned damaged reagent case,06/10/2026,CPCG-EQP,(300.91)
06/16/2026,JE-2371,Grocery Outlet,Snacks and water - volunteer monitoring training,06/16/2026,CPCG-VOL,70.89
06/19/2026,JE-2374,Carolina Biological,Macroinvertebrate classroom kits,06/19/2026,HFF-SUP,955.59
06/23/2026,JE-2377,Carolina Biological,Macroinvertebrate classroom kits,06/23/2026,HFF-SUP,"1,106.19"
06/28/2026,JE-2379,Payroll - Gusto,Education specialist wages,06/28/2026,HFF-EDU,"2,039.54"
06/28/2026,JE-2380,Payroll - Gusto,Restoration crew lead wages,06/28/2026,SCWF-PER,"3,179.79"
06/28/2026,JE-2383,Payroll - Gusto,Program coordinator wages (split),06/28/2026,SCWF-PER 60% / CPCG-STI 40%,"3,478.39"
07/03/2026,JE-2384,Grocery Outlet,Snacks and water - volunteer monitoring training,07/03/2026,CPCG-VOL,55.17
07/04/2026,JE-2386,Staff mileage reimbursement,Field mileage - site visits,07/04/2026,SCWF-MIL,176.83
07/07/2026,JE-2387,Mossbank Accounting,Annual audit deposit,07/07/2026,GEN-OPS,"1,340.94"
07/11/2026,JE-2388,Staff mileage reimbursement,Mileage - teacher workshop,07/11/2026,HFF-EDU,120.94
07/22/2026,JE-2390,Carolina Biological,Macroinvertebrate classroom kits,07/22/2026,HFF-SUP,911.47
07/28/2026,JE-2394,Payroll - Gusto,Education specialist wages,07/28/2026,HFF-EDU,"2,085.84"
07/28/2026,JE-2395,Payroll - Gusto,Restoration crew lead wages,07/28/2026,SCWF-PER,"2,923.51"
07/28/2026,JE-2396,Payroll - Gusto,Program coordinator wages (split),07/28/2026,SCWF-PER 60% / CPCG-STI 40%,"3,424.45"
07/29/2026,JE-2400,Target,Gift cards - top volunteer monitors,07/29/2026,CPCG-VOL,241.14
08/07/2026,JE-2401,Staff mileage reimbursement,Field mileage - site visits,08/07/2026,SCWF-MIL,153.15
08/12/2026,JE-2403,Vintner's Cellar,Wine for volunteer appreciation dinner,08/12/2026,CPCG-VOL,138.55
08/17/2026,JE-2406,Kessler Excavating,Streambank grading - Mill Creek reach C,08/17/2026,SCWF-CON,"13,367.52"
08/28/2026,JE-2408,Payroll - Gusto,Education specialist wages,08/28/2026,HFF-EDU,"1,952.29"
08/28/2026,JE-2409,Payroll - Gusto,Restoration crew lead wages,08/28/2026,SCWF-PER,"3,176.00"
08/28/2026,JE-2413,Payroll - Gusto,Program coordinator wages (split),08/28/2026,SCWF-PER 60% / CPCG-STI 40%,"3,476.38"
