Record ID,Company name,Company Domain Name,City,Lifecycle Stage
18800000,Acme Industrial,acmeindustrial.com,Denver,Customer
18800037,Aspen Court Condominiums,aspencourtcondos.com,Aurora,Lead
18800074,Blue Heron Consulting,blueheronconsulting.com,Golden,Customer
18800111,Brightwater Dental,brightwaterdental.com,Aurora,Customer
18800148,Cedar & Pine Landscaping,cedarpine.co,Lakewood,Customer
18800185,Copperfield Law,copperfieldlaw.com,Denver,Opportunity
18800222,Dorsey Freight,dorseyfreight.com,Denver,Opportunity
18800259,Driftwood Studio,driftwoodstudio.design,Lakewood,Customer
18800296,Ellington Bakeries,ellingtonbakes.com,Denver,Opportunity
18800333,Everline Insurance,everline.com,Golden,Customer
18800370,Fernbrook Montessori,fernbrookmontessori.org,Denver,Opportunity
18800407,Foxglove Interiors,foxgloveinteriors.com,Denver,Customer
18800444,Front Range Self Storage,frontrangestorage.com,Boulder,Opportunity
18800481,Glassworks Optical,glassworksoptical.com,Aurora,Lead
18800518,Granite Peak Outfitters,granitepeak.com,Boulder,Customer
18800555,Harbor Light Marine,harborlightmarine.com,Denver,Opportunity
18800592,Hollowell Electric,hollowellelectric.com,Boulder,Lead
18800629,Ironwood Fabrication,ironwoodfab.com,Aurora,Customer
18800666,Ivy Lane Florist,ivylaneflorist.com,Boulder,Customer
18800703,Juniper Street Cafe,juniperstreet.cafe,Denver,Opportunity
18800740,Kestrel Analytics,kestrelanalytics.io,Boulder,Customer
18800777,Kingfisher Charters,kingfishercharters.com,Aurora,Customer
18800814,Lakeside Veterinary,lakesidevet.com,Boulder,Customer
18800851,Larkspur Yoga,larkspuryoga.com,Golden,Customer
18800888,Maple Grove Senior Living,maplegroveliving.com,Lakewood,Customer
18800925,Meridian Title,meridiantitle.com,Denver,Opportunity
18800962,Mossbank Accounting,mossbank.cpa,Denver,Opportunity
18800999,Nightjar Coffee Roasters,nightjar.coffee,Golden,Lead
18801036,Northfield Auto Body,northfieldauto.com,Lakewood,Customer
18801073,Northfield Auto Glass,northfieldautoglass.com,Aurora,Customer
18801110,Oakhurst Pediatrics,oakhurstpeds.org,Lakewood,Lead
18801147,Orchard Hill Dental,orchardhilldental.com,Lakewood,Opportunity
18801184,Pemberton HVAC,pembertonhvac.com,Boulder,Lead
18801221,Quarry Road Nursery,quarryroad.com,Aurora,Opportunity
18801258,Quill & Ink Print Shop,quillandink.print,Denver,Lead
18801295,Redwood Property Mgmt,redwoodpm.com,Denver,Lead
18801332,Riverbend Physio,riverbendphysio.com,Aurora,Lead
18801369,Saltmarsh Kayaks,saltmarshkayaks.com,Denver,Opportunity
18801406,Silverline Logistics,silverlinelogistics.com,Lakewood,Lead
18801443,Summit Charter School,summitcharter.org,Boulder,Customer
18801480,Sunrise Ridge HOA,sunriseridgehoa.org,Boulder,Lead
18801517,Tamarack Brewing,tamarackbrewing.com,Golden,Lead
18801554,Thistle & Thread Alterations,thistlethread.com,Aurora,Opportunity
18801591,Umber Ceramics,umberceramics.com,Golden,Customer
18801628,Uptown Fitness,uptownfit.com,Lakewood,Customer
18801665,Valley Forge Storage,valleyforgestorage.com,Aurora,Customer
18801702,Vantage Point Media,vantagepointmedia.com,Aurora,Customer
18801739,Westbrook Plumbing,westbrookplumbing.com,Golden,Customer
18801776,Wren & Sparrow Bookshop,wrensparrowbooks.com,Aurora,Customer
18801813,Yellowtail Seafood,yellowtailseafood.com,Golden,Opportunity
18801850,Zephyr Bike Works,zephyrbikes.com,Lakewood,Customer
