ConveyorLogix event export
Site: TAC-DC1  Range: 2026-08-31 to 2026-09-05
Timestamp (local),Line,Device,Event,Source,Note
2026-08-31 06:09:00,L2,L2-INDUCT,MOTOR_OVERLOAD,AUTO,
2026-08-31 06:13:11,L2,L2-INDUCT,CLEARED,AUTO,
2026-08-31 07:36:00,L2,L2-SORT,JAM_DETECTED,AUTO,
2026-08-31 07:42:23,L2,L2-SORT,CLEARED,AUTO,
2026-08-31 09:36:00,L1,L1-SORT,PHOTOEYE_BLOCKED,AUTO,
2026-08-31 09:40:50,L1,L1-SORT,CLEARED,AUTO,
2026-08-31 12:28:00,L1,L1-INDUCT,JAM_DETECTED,AUTO,
2026-08-31 12:32:47,L1,L1-INDUCT,CLEARED,AUTO,
2026-08-31 17:24:00,L2,L2-SPUR07,JAM_DETECTED,AUTO,
2026-08-31 17:26:34,L2,L2-SPUR07,CLEARED,AUTO,
2026-09-01 07:07:00,L1,L1-SORT,JAM_DETECTED,AUTO,
2026-09-01 07:13:36,L1,L1-SORT,CLEARED,AUTO,
2026-09-01 14:06:00,L1,L1-SORT,JAM_DETECTED,AUTO,
2026-09-01 14:08:44,L1,L1-SORT,CLEARED,AUTO,
2026-09-01 15:03:00,L4,L4-INDUCT,JAM_DETECTED,AUTO,
2026-09-01 15:04:02,L4,L4-INDUCT,CLEARED,AUTO,
2026-09-01 15:49:00,L2,L2-INDUCT,JAM_DETECTED,AUTO,
2026-09-01 15:55:45,L2,L2-INDUCT,CLEARED,AUTO,
2026-09-01 16:24:00,L4,L4-MERGE,JAM_DETECTED,AUTO,
2026-09-01 16:30:11,L4,L4-MERGE,CLEARED,AUTO,
2026-09-02 10:45:00,L4,L4-INDUCT,PHOTOEYE_BLOCKED,AUTO,
2026-09-02 10:48:59,L4,L4-INDUCT,CLEARED,AUTO,
2026-09-02 11:19:00,L2,L2-INDUCT,JAM_DETECTED,AUTO,
2026-09-02 11:20:35,L2,L2-INDUCT,CLEARED,AUTO,
2026-09-02 14:11:28,L3,L3-MERGE,ESTOP_PRESSED,PB-ESTOP,maint test
2026-09-02 14:14:40,L3,L3-MERGE,ESTOP_RESET,KEY,maint test
2026-09-02 15:23:00,L4,L4-SPUR07,PHOTOEYE_BLOCKED,AUTO,
2026-09-02 15:24:12,L4,L4-SPUR07,CLEARED,AUTO,
2026-09-02 18:35:00,L4,L4-MERGE,JAM_DETECTED,AUTO,
2026-09-02 18:36:09,L4,L4-MERGE,CLEARED,AUTO,
2026-09-03 09:00:00,L1,L1-SPUR07,JAM_DETECTED,AUTO,
2026-09-03 09:05:29,L1,L1-SPUR07,CLEARED,AUTO,
2026-09-03 10:16:00,L2,L2-SPUR07,MOTOR_OVERLOAD,AUTO,
2026-09-03 10:17:33,L2,L2-SPUR07,CLEARED,AUTO,
2026-09-03 14:07:42,L3,L3-MERGE,JAM_DETECTED,AUTO,
2026-09-03 14:08:23,L3,L3-MERGE,ESTOP_PRESSED,PB-ESTOP,
2026-09-03 14:14:10,L1,L1-INDUCT,ESTOP_PRESSED,PB-ESTOP,jam clear
2026-09-03 14:18:50,L1,L1-INDUCT,ESTOP_RESET,KEY,
2026-09-03 14:39:51,L3,L3-MERGE,ESTOP_RESET,KEY,reset by supv
2026-09-03 17:11:00,L4,L4-SORT,JAM_DETECTED,AUTO,
2026-09-03 17:13:50,L4,L4-SORT,CLEARED,AUTO,
2026-09-03 19:39:00,L2,L2-INDUCT,MOTOR_OVERLOAD,AUTO,
2026-09-03 19:42:41,L2,L2-INDUCT,CLEARED,AUTO,
2026-09-04 06:24:00,L2,L2-SORT,MOTOR_OVERLOAD,AUTO,
2026-09-04 06:29:42,L2,L2-SORT,CLEARED,AUTO,
2026-09-04 08:16:00,L2,L2-SORT,PHOTOEYE_BLOCKED,AUTO,
2026-09-04 08:20:25,L2,L2-SORT,CLEARED,AUTO,
2026-09-04 14:02:00,L4,L4-SORT,MOTOR_OVERLOAD,AUTO,
2026-09-04 14:05:01,L4,L4-SORT,CLEARED,AUTO,
2026-09-04 16:53:00,L1,L1-INDUCT,MOTOR_OVERLOAD,AUTO,
2026-09-04 16:55:09,L1,L1-INDUCT,CLEARED,AUTO,
2026-09-04 17:20:00,L1,L1-SORT,MOTOR_OVERLOAD,AUTO,
2026-09-04 17:21:23,L1,L1-SORT,CLEARED,AUTO,
2026-09-05 08:10:00,L2,L2-SORT,PHOTOEYE_BLOCKED,AUTO,
2026-09-05 08:16:19,L2,L2-SORT,CLEARED,AUTO,
2026-09-05 11:04:00,L1,L1-INDUCT,MOTOR_OVERLOAD,AUTO,
2026-09-05 11:09:21,L1,L1-INDUCT,CLEARED,AUTO,
2026-09-05 18:32:00,L2,L2-SPUR07,MOTOR_OVERLOAD,AUTO,
2026-09-05 18:34:29,L2,L2-SPUR07,CLEARED,AUTO,
2026-09-05 18:37:00,L2,L2-INDUCT,JAM_DETECTED,AUTO,
2026-09-05 18:40:35,L2,L2-INDUCT,CLEARED,AUTO,
