sku,category,snapshot,expected,counted,avg_cost,value
DO-1040,Dog Food,37,37,36,41.63,41.63
DO-1047,Dog Food,49,25,21,36.46,145.84
DO-1054,Dog Food,40,41,43,1.95,-3.90
DO-1061,Dog Food,12,12,11,29.88,29.88
DO-1068,Dog Food,20,20,20,22.73,0.00
DO-1075,Dog Food,31,31,31,25.53,0.00
DO-1082,Dog Food,36,36,36,47.57,0.00
DO-1089,Dog Food,11,11,11,2.13,0.00
DO-1096,Dog Food,16,16,15,9.42,9.42
DO-1103,Dog Food,32,32,32,36.13,0.00
DO-1110,Dog Food,5,5,6,45.90,-45.90
CA-1140,Cat Food,37,39,41,27.00,-54.00
CA-1147,Cat Food,17,19,19,0.73,0.00
CA-1154,Cat Food,13,13,12,17.11,17.11
CA-1161,Cat Food,62,49,46,25.91,77.73
CA-1168,Cat Food,20,9,9,8.06,0.00
CA-1175,Cat Food,8,5,6,24.22,-24.22
CA-1182,Cat Food,23,23,23,1.22,0.00
CA-1189,Cat Food,26,24,24,22.10,0.00
CA-1196,Cat Food,15,15,12,3.99,11.97
TR-1240,Treats & Chews,33,36,36,3.88,0.00
TR-1247,Treats & Chews,21,22,21,13.93,13.93
TR-1254,Treats & Chews,13,13,13,6.82,0.00
TR-1261,Treats & Chews,14,15,16,7.69,-7.69
TR-1268,Treats & Chews,40,40,36,5.15,20.60
TR-1275,Treats & Chews,39,39,40,2.49,-2.49
TR-1282,Treats & Chews,69,44,40,2.28,9.12
TR-1289,Treats & Chews,44,32,32,5.61,0.00
TR-1296,Treats & Chews,13,14,10,11.38,45.52
TR-1303,Treats & Chews,21,22,18,1.41,5.64
TR-1310,Treats & Chews,12,13,9,8.27,33.08
TO-1340,Toys,42,42,43,4.79,-4.79
TO-1347,Toys,27,27,24,5.48,16.44
TO-1354,Toys,32,32,32,6.17,0.00
TO-1361,Toys,41,41,37,2.64,10.56
TO-1368,Toys,17,20,18,11.87,23.74
TO-1375,Toys,5,5,5,1.87,0.00
TO-1382,Toys,43,43,41,14.22,28.44
TO-1389,Toys,29,29,31,4.30,-8.60
AQ-1440,Aquarium,29,29,,65.81,0.00
AQ-1447,Aquarium,4,4,,71.90,0.00
AQ-1454,Aquarium,39,39,36,3.82,11.46
AQ-1461,Aquarium,16,16,17,5.83,-5.83
AQ-1468,Aquarium,15,16,15,14.81,14.81
AQ-1475,Aquarium,22,22,22,26.40,0.00
AQ-1482,Aquarium,46,49,45,9.52,38.08
AQ-1489,Aquarium,24,24,24,8.11,0.00
AQ-1496,Aquarium,19,19,18,2.22,2.22
GR-1540,Grooming,15,15,14,4.97,4.97
GR-1547,Grooming,34,34,35,6.45,-6.45
GR-1554,Grooming,30,30,29,7.69,7.69
GR-1561,Grooming,29,32,33,4.22,-4.22
GR-1568,Grooming,34,37,35,14.32,28.64
GR-1575,Grooming,44,44,43,4.58,4.58
GR-1582,Grooming,6,6,5,3.49,3.49
