Timestamp,Type,SKU,Qty,Register
08/30/2026 12:03 PM,Sale,GR-1547,-3,REG1
08/30/2026 12:05 PM,Sale,TR-1296,-1,REG2
08/30/2026 12:10 PM,Sale,GR-1582,-1,REG2
08/30/2026 12:34 PM,Sale,AQ-1440,-1,REG2
08/30/2026 12:35 PM,Sale,AQ-1454,-3,REG2
08/30/2026 01:06 PM,Sale,GR-1568,-3,REG2
08/30/2026 01:30 PM,Sale,TR-1275,-2,REG2
08/30/2026 01:36 PM,Sale,CA-1168,-2,REG1
08/30/2026 01:37 PM,Sale,DO-1103,-3,REG1
08/30/2026 01:44 PM,Sale,TR-1303,-2,REG1
08/30/2026 02:04 PM,Sale,TO-1354,-3,REG1
08/30/2026 02:26 PM,Sale,TO-1389,-1,REG1
08/30/2026 02:30 PM,Sale,CA-1196,-2,REG1
08/30/2026 02:36 PM,Sale,TO-1340,-2,REG2
08/30/2026 02:49 PM,Sale,AQ-1461,-1,REG1
08/30/2026 02:57 PM,Sale,AQ-1468,-2,REG2
08/30/2026 03:05 PM,Sale,TR-1310,-2,REG1
08/30/2026 03:19 PM,Sale,TO-1368,-3,REG1
08/30/2026 03:45 PM,Sale,DO-1089,-3,REG2
08/30/2026 04:03 PM,Sale,DO-1054,-1,REG2
08/30/2026 04:12 PM,Sale,AQ-1447,-2,REG1
08/30/2026 04:30 PM,Sale,GR-1540,-3,REG1
08/31/2026 09:06 AM,Sale,CA-1140,-2,REG2
08/31/2026 09:08 AM,Sale,TR-1296,-1,REG1
08/31/2026 09:09 AM,Sale,TR-1240,-3,REG1
08/31/2026 09:11 AM,Sale,CA-1154,-3,REG1
08/31/2026 09:29 AM,Sale,DO-1054,-1,REG1
08/31/2026 09:34 AM,Receipt,CA-1161,12,Receiving
08/31/2026 09:34 AM,Receipt,CA-1168,12,Receiving
08/31/2026 09:34 AM,Receipt,CA-1175,6,Receiving
08/31/2026 09:34 AM,Receipt,DO-1047,24,Receiving
08/31/2026 09:34 AM,Receipt,TR-1282,24,Receiving
08/31/2026 09:34 AM,Receipt,TR-1289,12,Receiving
08/31/2026 09:40 AM,Sale,TO-1368,-3,REG1
08/31/2026 09:52 AM,Sale,AQ-1447,-3,REG2
08/31/2026 09:54 AM,Sale,AQ-1468,-1,REG2
08/31/2026 10:01 AM,Sale,TR-1261,-1,REG1
08/31/2026 10:04 AM,Sale,CA-1168,-2,REG1
08/31/2026 10:04 AM,Sale,TR-1247,-1,REG2
08/31/2026 10:09 AM,Sale,TR-1310,-1,REG2
08/31/2026 10:10 AM,Sale,AQ-1482,-3,REG1
08/31/2026 10:10 AM,Sale,GR-1561,-3,REG1
08/31/2026 10:17 AM,Return,CA-1161,1,REG1
08/31/2026 10:32 AM,Sale,TR-1303,-2,REG1
08/31/2026 10:35 AM,Sale,CA-1175,-3,REG1
08/31/2026 10:40 AM,Return,TR-1303,1,REG1
08/31/2026 10:47 AM,Sale,CA-1147,-2,REG2
08/31/2026 10:50 AM,Return,CA-1168,1,REG1
08/31/2026 10:51 AM,Sale,GR-1568,-3,REG2
08/31/2026 12:14 PM,Sale,TO-1361,-1,REG2
08/31/2026 01:05 PM,Sale,CA-1147,-2,REG1
08/31/2026 01:13 PM,Sale,CA-1140,-1,REG1
08/31/2026 01:17 PM,Sale,CA-1196,-2,REG1
08/31/2026 03:16 PM,Sale,AQ-1461,-2,REG2
08/31/2026 03:35 PM,Sale,CA-1175,-2,REG1
08/31/2026 03:54 PM,Sale,DO-1089,-1,REG2
08/31/2026 04:50 PM,Sale,TR-1261,-1,REG2
08/31/2026 05:51 PM,Sale,TO-1340,-1,REG2
